num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
498999,2011,Cadillac,SRX,Luxury,suv,automatic,3gyfnaeyxbs639587,tx,4.1,31713.0,blue,beige,pm standley motorcars,22000,22400,Wed Jun 03 2015 03:20:00 GMT-0700 (PDT)
499000,2011,Chevrolet,Silverado 1500,LT,regular cab,automatic,1gcnkse06bz400387,tx,3.4,47214.0,black,black,pm standley motorcars,19900,21300,Wed Jun 03 2015 03:20:00 GMT-0700 (PDT)
499001,2011,BMW,7 Series,740Li,sedan,automatic,wbakb4c56bc574585,fl,3.2,41290.0,blue,—,financial services remarketing (lease),31500,29000,Thu Jun 04 2015 05:00:00 GMT-0700 (PDT)
499002,2011,Chevrolet,Cruze,1LT,sedan,automatic,1g1pf5s92b7121041,az,3.0,49029.0,gray,gray,progressive remarketing,8975,7200,Thu Jun 04 2015 05:00:00 GMT-0700 (PDT)
499003,2011,Chevrolet,Camaro,1LT,coupe,automatic,2g1fb1ed8b9101410,nj,1.9,41322.0,black,black,paul miller inc,17100,15900,Tue Jun 02 2015 03:05:00 GMT-0700 (PDT)
499004,2011,Chevrolet,Silverado 3500HD,LT,crew cab,automatic,1gc4k0c85bf173669,co,3.0,81511.0,silver,black,founders fcu,30700,27900,Wed Jun 03 2015 04:45:00 GMT-0700 (PDT)
499005,2011,Chevrolet,Equinox,LT1,suv,automatic,2cnfleec1b6404433,oh,3.7,95616.0,black,black,jr's auto city inc,10600,11500,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
499006,2011,Chevrolet,Impala,LS Fleet,sedan,automatic,2g1wf5ek8b1138546,fl,2.8,108087.0,black,gray,gm financial,5625,4700,Thu Jun 04 2015 02:35:00 GMT-0700 (PDT)
499007,2011,Chevrolet,Equinox,LT1,suv,automatic,2cnaldec6b6418249,on,4.7,56207.0,gray,black,st atanas inc,13850,14400,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
499008,2011,Chevrolet,Camaro,LS,coupe,automatic,2g1fa1ed7b9113065,oh,4.8,41069.0,black,black,stratton auto sales inc,15100,15750,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
499009,2011,Chevrolet,HHR,LT,wagon,automatic,3gnbabfw0bs531960,tx,3.2,82521.0,gray,gray,primeritus remarketing/crescent bank & trust,5975,6300,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
499010,2011,Chevrolet,Avalanche,LTZ,crew cab,automatic,3gntkge37bg115882,tn,4.0,55344.0,red,black,midtown motors,30700,29400,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
499011,2011,Chevrolet,HHR,LT,wagon,automatic,3gnbacfu4bs654861,co,4.2,29959.0,gray,black,j f r & associates inc,10950,11500,Wed Jun 03 2015 04:45:00 GMT-0700 (PDT)
499012,2011,Chevrolet,Malibu,LS Fleet,sedan,automatic,1g1za5eu0bf356888,oh,3.6,33926.0,white,gray,lease plan usa,11000,9300,Thu Jun 11 2015 03:30:00 GMT-0700 (PDT)
499013,2011,Chevrolet,Tahoe,LT,suv,automatic,1gnscbe04br350483,ga,4.4,85566.0,black,black,one source autos inc,22100,25000,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
499014,2011,Chevrolet,Impala,LT Fleet,sedan,automatic,2g1wg5ek1b1110293,mo,3.9,78904.0,black,black,hendrick toyota merriam,7700,8000,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
499015,2011,Chevrolet,Tahoe,LTZ,suv,automatic,1gnscce03br195852,tx,2.9,73341.0,silver,gray,pro financial inc,29700,29500,Wed Jun 03 2015 03:20:00 GMT-0700 (PDT)
499016,2011,Chevrolet,Traverse,LT1,suv,automatic,1gnkrged7bj372734,mo,2.9,87537.0,silver,black,elco chevrolet inc,12250,11900,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
499017,2011,Dodge,Durango,Express,suv,automatic,1d4re2gg9bc691430,pa,3.2,57747.0,red,gray,car sense inc,16700,16800,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
499018,2011,Dodge,Charger,Base,sedan,automatic,2b3cl3cgxbh543547,ga,3.3,84291.0,gray,beige,contemporary auto sales,11500,12900,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
499019,2011,Dodge,Challenger,R/T,coupe,manual,2b3cj5dt1bh597168,ca,3.5,41444.0,white,gray,orange coast chrysler jeep dodge,22700,20750,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
499020,2011,Chevrolet,Malibu,LS,sedan,automatic,1g1zb5e11bf238514,mo,1.9,87389.0,blue,gray,weber granite city chevrolet company,7500,7300,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
499021,2011,Dodge,Challenger,Base,coupe,automatic,2b3cj4dg6bh602247,ny,2.7,29736.0,white,black,chrysler capital,18850,16900,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
499022,2011,Chevrolet,Impala,LT Fleet,sedan,automatic,2g1wg5ek5b1158332,ga,3.7,68696.0,gold,black,atlanta dealer trades inc,8275,8100,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
499023,2011,Dodge,Challenger,SRT8,coupe,automatic,2b3cj7dj5bh584076,mo,4.3,43136.0,—,black,autoport llc,29400,29750,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
499024,2011,Dodge,Challenger,Base,coupe,automatic,2b3cj4dg4bh605213,ca,3.3,68302.0,orange,black,skyhigh remarketing inc,14900,15800,Wed Jun 03 2015 05:00:00 GMT-0700 (PDT)
499025,2011,Chevrolet,Malibu,LS,sedan,automatic,1g1zb5e17bf372993,ne,4.2,48760.0,blue,gray,the hertz corporation,8775,10300,Thu Jun 04 2015 05:00:00 GMT-0700 (PDT)
499026,2011,Chevrolet,Malibu,LT2,sedan,automatic,1g1zd5eu0bf340293,tx,4.4,59444.0,black,beige,lease plan usa,9175,10000,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
499027,2011,Dodge,Grand Caravan,Mainstreet,minivan,automatic,2d4rn3dg7br729173,wi,2.3,71316.0,red,gray,arlington hgts chry dod jeep,9975,8800,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
499028,2011,Dodge,Grand Caravan,Express,minivan,automatic,2d4rn4dg7br740583,mn,3.1,106891.0,gray,gray,walser leasing,7575,7700,Thu Jun 04 2015 03:45:00 GMT-0700 (PDT)
499029,2011,Dodge,Nitro,SXT Fleet,suv,automatic,1d4pu5gk3bw535611,wi,3.6,40308.0,silver,black,braeger chevrolet,15600,9500,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
499030,2011,Dodge,Durango,Citadel,suv,automatic,1d4se5gt7bc650004,tx,4.1,71233.0,blue,tan,fairway ford henderson,23200,23300,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
499031,2011,Ford,Edge,Limited,suv,automatic,2fmdk3kc1bbb68134,az,4.1,80971.0,white,black,navy fcu,15700,14600,Thu Jun 04 2015 05:00:00 GMT-0700 (PDT)
499032,2011,Dodge,Grand Caravan,Express,minivan,automatic,2d4rn4dg9br734316,fl,3.8,79168.0,white,gray,tdaf remarketing,9125,9000,Tue Jun 02 2015 02:00:00 GMT-0700 (PDT)
499033,2011,Dodge,Grand Caravan,Crew,minivan,automatic,2d4rn5dg4br688349,ga,1.9,224403.0,gray,gray,united leasing inc,6425,2300,Tue Jun 02 2015 06:10:00 GMT-0700 (PDT)
499034,2011,Dodge,Journey,Mainstreet,suv,automatic,3d4pg1fg2bt546294,mi,4.3,78193.0,blue,black,chrysler capital,9500,10500,Thu Jun 04 2015 02:30:00 GMT-0700 (PDT)
499035,2011,Ford,F-350 Super Duty,Lariat,crew cab,automatic,1ft8w3bt2beb90254,tx,4.4,73210.0,white,beige,ge fleet services for itself/servicer,32800,32000,Thu Jun 11 2015 04:00:00 GMT-0700 (PDT)
499036,2011,Ford,F-350 Super Duty,Lariat,crew cab,automatic,1ft8w3bt1beb90262,tx,3.2,87248.0,white,beige,ge fleet services for itself/servicer,31800,26000,Thu Jun 18 2015 04:00:00 GMT-0700 (PDT)
499037,2011,Ford,Altima,Base,Sedan,automatic,1fdne1bw5bda64735,ga,5.0,67159.0,white,gray,"vpsi, inc",12800,13200,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
499038,2011,Dodge,Grand Caravan,Express,minivan,automatic,2d4rn4dg8br667613,fl,3.6,55481.0,white,gray,mike albert fleet solutions,10550,10000,Wed Jun 03 2015 08:25:00 GMT-0700 (PDT)
499039,2011,Dodge,Grand Caravan,Express,minivan,automatic,2d4rn4dg2br794745,fl,2.9,98024.0,white,beige,mike albert fleet solutions,8050,7300,Wed Jun 03 2015 08:25:00 GMT-0700 (PDT)
499040,2011,Ford,F-350 Super Duty,Lariat,crew cab,automatic,1ft8w3bt9beb90266,tx,5.0,112822.0,white,beige,ge fleet services for itself/servicer,28800,27750,Thu Jun 11 2015 04:00:00 GMT-0700 (PDT)
499041,2011,Ford,F-350 Super Duty,Lariat,supercab,automatic,1ft8x3btxbeb84392,ut,2.2,115707.0,black,black,excell auto center,23300,24000,Wed Jun 17 2015 04:30:00 GMT-0700 (PDT)
499042,2011,Ford,Edge,Limited,suv,automatic,2fmdk4kc5bba63084,co,4.2,77672.0,white,tan,justus motors company inc,17400,18900,Wed Jun 03 2015 04:45:00 GMT-0700 (PDT)
499043,2011,Ford,F-250 Super Duty,XL,crew cab,automatic,1ft7w2at1beb57639,tx,3.7,69221.0,white,blue,ge fleet services for itself/servicer,17250,21250,Thu Jun 11 2015 04:00:00 GMT-0700 (PDT)
499044,2011,Ford,F-150,XLT,supercrew,automatic,1ftfw1ef4bfb26681,oh,4.4,59255.0,blue,gray,exceptional motorcar llc,21900,22800,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
499045,2011,Ford,F-150,XL,regular cab,automatic,1ftmf1cm6bkd52608,ms,4.2,80262.0,white,gray,flexco fleet services,10300,10700,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
499046,2011,Ford,F-150,XL,supercab,automatic,1ftfx1cf2bfc06755,tx,3.2,112195.0,white,gray,fusion autoplex,8950,11300,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
499047,2011,Ford,F-150,XLT,supercrew,automatic,1ftew1cm2bfc10320,ms,2.8,113443.0,—,gray,"ford motor credit company,llc",15100,12000,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
499048,2011,Ford,F-150,XL,regular cab,automatic,1ftmf1cm5bkd20099,mo,2.8,73405.0,white,gray,enterprise fm trust,10750,10000,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
499049,2011,Ford,F-150,SVT Raptor,supercrew,automatic,1ftfw1r60bfa47261,fl,3.0,44450.0,silver,black,germain bmw of naples,41200,41000,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
499050,2011,Ford,F-150,XLT,supercrew,automatic,1ftfw1ef3bfc62218,pa,2.9,43489.0,red,gray,"ford motor credit company,llc",23600,22100,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
499051,2011,Ford,F-150,XL,regular cab,automatic,1ftmf1cm0bkd12685,ms,4.0,94374.0,white,gray,flexco fleet services,9625,9900,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
499052,2011,Ford,F-150,XLT,supercab,automatic,1ftfx1ef8bkd03799,mo,4.9,68784.0,blue,gray,green chev buick pont inc,19150,20700,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
499053,2011,Ford,F-150,XL,supercab,automatic,1ftfx1ef6bfa86892,tx,3.4,91307.0,white,gray,donlen corporation,12900,13200,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
499054,2011,Ford,Expedition,King Ranch,suv,automatic,1fmju1j59bef22412,mo,3.4,81075.0,brown,brown,meridian remarketing,25500,25200,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
499055,2011,Ford,F-150,XL,regular cab,automatic,1ftmf1cmxbkd71307,mo,4.3,85975.0,white,gray,enterprise fm trust,10100,10400,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
499056,2011,Ford,F-150,FX4,supercrew,automatic,1ftfw1ef5bfc43136,nj,4.9,56363.0,white,black,ars/ford-lincoln dealer program,25800,24000,Wed Jun 10 2015 02:00:00 GMT-0700 (PDT)
499057,2011,Ford,F-150,Platinum,supercrew,automatic,1ftfw1etxbfc44949,ms,3.5,99568.0,—,brown,"ford motor credit company,llc",21900,23800,Thu Jul 02 2015 07:00:00 GMT-0700 (PDT)
499058,2011,Ford,Fusion,SEL,sedan,automatic,3fahp0ja6br311463,ga,3.1,103802.0,—,black,lease plan usa,6925,6300,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
499059,2011,Ford,Fusion,SE,sedan,automatic,3fahp0ha8br262451,ga,4.3,71943.0,—,gray,lease plan usa,8350,8500,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
499060,2011,Ford,Fusion,SEL,sedan,automatic,3fahp0jaxbr343901,oh,2.8,58694.0,burgundy,black,lease plan usa,9800,9000,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
499061,2011,Ford,Fusion,SE,sedan,manual,3fahp0ha0br137430,mo,2.5,79770.0,silver,black,auto city stl,8100,5800,Tue Jun 09 2015 04:00:00 GMT-0700 (PDT)
499062,2011,Ford,Fusion,SEL,sedan,automatic,3fahp0ja5br242975,ga,2.6,96862.0,red,gray,lease plan usa,7375,6300,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
499063,2011,Ford,F-250 Super Duty,XLT,crew cab,automatic,1ft7w2b62bea71510,ut,4.4,126761.0,white,gray,auto focus inc,14750,14700,Wed Jun 03 2015 04:30:00 GMT-0700 (PDT)
499064,2011,Ford,Fusion,SE,sedan,automatic,3fahp0ha0br346019,ga,4.1,94258.0,gray,gray,lease plan usa,7325,7200,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
499065,2011,Ford,F-250 Super Duty,XLT,crew cab,automatic,1ft7w2b63bed10921,ut,2.9,133234.0,white,gray,auto focus inc,15000,14750,Wed Jun 17 2015 04:30:00 GMT-0700 (PDT)
499066,2015,Toyota,Corolla,S,sedan,automatic,5yfburhexfp231326,ca,4.9,384.0,gray,black,toyota financial services,16350,16700,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
499067,2015,Subaru,Forester,2.5i Premium PZEV,suv,automatic,jf2sjadc4fh433316,il,4.1,23782.0,blue,gray,subaru of america,21800,22400,Tue Jun 09 2015 04:00:00 GMT-0700 (PDT)
499068,2015,Subaru,Forester,2.5i Premium PZEV,suv,automatic,jf2sjadc3fh417933,il,4.7,15509.0,black,gray,subaru of america,22700,23000,Tue Jun 09 2015 04:00:00 GMT-0700 (PDT)
499069,2015,Volkswagen,Golf GTI,S,hatchback,automatic,3vw4t7au5fm043206,nv,4.1,13113.0,black,black,budget rent a car/salt lake city,22000,21900,Fri Jun 05 2015 05:00:00 GMT-0700 (PDT)
499070,2015,Subaru,WRX,STI Launch Edition,sedan,manual,jf1va2w6xf9800633,fl,4.2,10621.0,blue,black,braman motorcars,34700,29500,Thu Jun 04 2015 02:40:00 GMT-0700 (PDT)
499071,2015,Subaru,Forester,2.5i Premium PZEV,suv,automatic,jf2sjadc9fh435174,il,4.3,21933.0,gray,gray,subaru of america,22000,22500,Tue Jun 09 2015 04:00:00 GMT-0700 (PDT)
499072,2015,Toyota,Camry,SE,sedan,automatic,4t1bf1fk3fu484152,az,5.0,8239.0,gray,gray,toyota financial services,18750,19000,Thu Jun 04 2015 05:00:00 GMT-0700 (PDT)
499073,2015,Subaru,WRX,STI Limited,sedan,manual,jf1va2u62f9800080,il,4.8,8220.0,black,black,subaru of america,35400,37600,Tue Jun 09 2015 04:00:00 GMT-0700 (PDT)
