num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
499999,2005,Hyundai,Sonata,GLS,sedan,automatic,kmhwf35h65a155657,fl,1.9,103283.0,silver,gray,napletons nissan,2025,1600,Thu Jun 04 2015 02:40:00 GMT-0700 (PDT)
500000,2005,HUMMER,H2,Base,suv,automatic,5grgn23u25h132324,mo,3.3,87438.0,green,black,meridian remarketing,19950,21200,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
500001,2005,Jeep,Grand Cherokee,Laredo,suv,automatic,1j4gr48k45c722542,oh,2.7,106022.0,silver,gray,car now acceptance co/columbus,4975,6800,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
500002,2005,Hyundai,Elantra,GLS,sedan,automatic,kmhdn46d35u984101,ma,1.9,134638.0,silver,gray,clay chevrolet hyundai,1425,1800,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
500003,2005,Jeep,Liberty,Sport,suv,automatic,1j4gl48k05w581419,md,4.4,123527.0,blue,gray,sheehy infiniti of annapolis,3450,3500,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
500004,2005,Kia,Sorento,LX,suv,automatic,kndjd733155495665,tx,2.1,167351.0,silver,gray,d&m leasing,1825,800,Wed Jun 03 2015 03:15:00 GMT-0700 (PDT)
500005,2005,Hyundai,Tiburon,SE,hatchback,manual,kmhhn65f35u163824,ma,2.6,115442.0,silver,gray,durfee street auto sales inc,2425,4000,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
500006,2005,Kia,Spectra,EX,sedan,automatic,knafe122355128787,ma,2.0,104122.0,black,gray,clay nissan,2025,1350,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
500007,2005,Jeep,Grand Cherokee,Limited,suv,automatic,1j8hr58225c697486,ca,2.4,153862.0,black,gray,california auto exchange,3825,4700,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
500008,2005,Jeep,Grand Cherokee,Limited,suv,automatic,1j8hr58215c587660,mo,1.9,146341.0,black,gray,napleton's mid river,4350,5200,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
500009,2005,Mercury,Grand Marquis,GS,sedan,automatic,2mefm74w05x609375,mi,2.0,141992.0,beige,beige,modern financial services,2675,1050,Thu Jun 04 2015 02:30:00 GMT-0700 (PDT)
500010,2005,Mercury,Mountaineer,Premier,suv,automatic,4m2du66k15uj01057,ga,2.7,96325.0,beige,gray,brand automotive financial services,5275,4900,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
500011,2005,Mitsubishi,Galant,ES,sedan,automatic,4a3ab36f75e066354,mn,2.9,130422.0,silver,black,onemain rem/us auto fleet group,1975,3100,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
500012,2005,Mercury,Grand Marquis,GS,sedan,automatic,2mefm74w45x611338,fl,2.4,84204.0,white,tan,regional acceptance corporation / greenville,3950,4100,Tue Jun 02 2015 09:00:00 GMT-0700 (PDT)
500013,2005,Mazda,Tribute,s,suv,automatic,4f2cz06105km00381,tx,2.8,121606.0,silver,black,j & m auto sales,2925,1500,Tue Jun 02 2015 03:05:00 GMT-0700 (PDT)
500014,2005,Mercedes-Benz,C-Class,C240 Luxury 4MATIC,sedan,automatic,wdbrf81j55f689760,nj,3.8,97980.0,gray,gray,crestwood motors inc,5550,5200,Tue Jun 02 2015 02:25:00 GMT-0700 (PDT)
500015,2005,MINI,Cooper,S,hatchback,automatic,wmwre33485tg95746,ca,3.7,75033.0,blue,blue,east bay bmw,5725,5700,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
500016,2005,Ford,Altima,Base,Sedan,automatic,4m2zu86e05uj14247,oh,1.9,104483.0,beige,beige,dt credit corporation,4250,500,Thu Jun 04 2015 02:00:00 GMT-0700 (PDT)
500017,2005,Mazda,Tribute,s,suv,automatic,4f2cz06115km48407,tx,2.9,91127.0,red,black,fairway ford henderson,3550,4600,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
500018,2005,Mercedes-Benz,C-Class,C230 Kompressor,sedan,automatic,wdbrf40j45a766898,tx,3.1,109433.0,silver,black,supreme fcu,5225,5500,Wed Jun 03 2015 03:20:00 GMT-0700 (PDT)
500019,2005,Mercedes-Benz,E-Class,E320,sedan,automatic,wdbuf65j75a713465,ca,2.4,155021.0,black,black,aaero sweet corporation,5800,6200,Wed Jun 03 2015 04:30:00 GMT-0700 (PDT)
500020,2014,Chevrolet,Sonic,LT,sedan,automatic,1g1jc5sh9e4230186,il,4.0,16638.0,silver,gray,gm remarketing,10300,10800,Thu Jun 11 2015 04:00:00 GMT-0700 (PDT)
500021,2014,Chevrolet,Malibu,LS Fleet,sedan,automatic,1g11a5sl5eu169008,il,4.0,27458.0,white,gray,gm remarketing,12950,14000,Thu Jun 11 2015 04:00:00 GMT-0700 (PDT)
500022,2014,Chevrolet,Malibu,LS,sedan,automatic,1g11b5sl6ef238063,ga,4.4,18673.0,silver,gray,"mtn. view nissan, inc.",13750,13300,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
500023,2014,Chevrolet,Impala Limited,LT Fleet,sedan,automatic,2g1wb5e38e1178814,il,4.0,27509.0,silver,black,gm remarketing,13300,13600,Thu Jun 11 2015 04:00:00 GMT-0700 (PDT)
500024,2014,Chevrolet,Impala Limited,LTZ Fleet,sedan,automatic,2g1wc5e31e1170048,il,4.0,28193.0,white,gray,gm remarketing,14350,15700,Thu Jun 11 2015 04:00:00 GMT-0700 (PDT)
500025,2014,Chevrolet,Impala Limited,LT Fleet,sedan,automatic,2g1wb5e36e1180397,ne,4.6,8923.0,gray,gray,galyen leasing inc,14200,15100,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
500026,2014,Chevrolet,Sonic,LT,hatchback,automatic,1g1jc6sh5e4112609,mo,3.8,37573.0,brown,black,avis corporation,9200,9800,Wed Jun 10 2015 03:30:00 GMT-0700 (PDT)
500027,2014,Chevrolet,Impala Limited,LTZ Fleet,sedan,automatic,2g1wc5e38e1174937,il,4.0,11750.0,white,black,gm remarketing,15550,16400,Thu Jun 11 2015 04:00:00 GMT-0700 (PDT)
500028,2014,Chevrolet,Sonic,LT,sedan,automatic,1g1jc5sh6e4112726,mo,4.3,32343.0,red,black,avis corporation,9825,9800,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
500029,2005,Nissan,Titan,XE,king cab,automatic,1n6ba06a25n545369,ca,2.2,70351.0,white,gray,the car store,6725,7500,Wed Jun 03 2015 05:00:00 GMT-0700 (PDT)
500030,2005,Saturn,VUE,Base,suv,manual,5gzcz23d65s814189,oh,2.1,137163.0,blue,gray,car now acceptance co/columbus,1625,1100,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
500031,2005,Nissan,Titan,LE,king cab,automatic,1n6aa06bx5n525973,tn,3.4,109696.0,white,beige,dt inventory,9750,10800,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
500032,2005,Nissan,Pathfinder,LE,suv,automatic,5n1ar18w75c743149,oh,2.6,146021.0,red,black,dt inventory,5800,5900,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
500033,2005,Nissan,Maxima,3.5 SL,sedan,automatic,1n4ba41e65c863730,nc,2.5,107108.0,silver,black,manheim statesville,4025,4100,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
500034,2005,Toyota,4Runner,SR5,suv,automatic,jtebt14r758020801,ma,2.9,111950.0,silver,gray,boch honda west,10300,8000,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
500035,2005,Pontiac,G6,Base,sedan,automatic,1g2zg528254136377,oh,1.9,86606.0,silver,black,dt inventory,3675,2000,Thu Jun 04 2015 02:00:00 GMT-0700 (PDT)
500036,2005,Nissan,Murano,SE,suv,automatic,jn8az08wx5w418741,oh,2.2,105208.0,blue,black,sullivan auto group llc,5975,7500,Thu Jun 11 2015 03:30:00 GMT-0700 (PDT)
500037,2005,Pontiac,Grand Prix,Base,sedan,automatic,2g2wp522751133338,az,3.0,138360.0,silver,black,general credit acceptance co llc,2100,2000,Wed Jun 03 2015 05:00:00 GMT-0700 (PDT)
500038,2005,Toyota,Avalon,Limited,sedan,automatic,4t1bk36b25u047457,fl,2.1,106870.0,white,beige,starling chevrolet,7225,6900,Tue Jun 02 2015 10:30:00 GMT-0700 (PDT)
500039,2005,Toyota,Avalon,Touring,sedan,automatic,4t1bk36b65u047025,nc,2.9,99629.0,black,beige,hendrick motors of charlotte,5325,8000,Wed Jun 03 2015 07:00:00 GMT-0700 (PDT)
500040,2005,Toyota,Camry,LE V6,sedan,automatic,4t1bf32k85u103878,ga,1.9,66795.0,blue,gray,atlanta dealer trades inc,6850,7100,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
500041,2005,Volkswagen,New Beetle,GLS 1.8T,convertible,automatic,3vwcd31y65m353934,ga,3.1,74318.0,gray,gray,cameron motor sports,3800,5500,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
500042,2005,Toyota,Highlander,V6,suv,automatic,jteep21a750085104,oh,3.7,100916.0,blue,gray,sullivan auto group llc,7075,8200,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
500043,2005,Toyota,Avalon,XLS,sedan,automatic,4t1bk36b15u032495,ca,3.5,97348.0,gray,tan,skyhigh remarketing inc,6500,8750,Wed Jun 03 2015 05:00:00 GMT-0700 (PDT)
500044,2004,Acura,TL,3.2,sedan,automatic,19uua66274a065584,nc,2.1,199065.0,red,tan,fred anderson toyota/scion,3100,3200,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
500045,2005,Toyota,Sienna,CE 7-Passenger,minivan,automatic,5tdza23c35s227273,ma,2.2,158173.0,silver,tan,harr toyota harr scion,4075,3600,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
500046,2005,Toyota,Camry,LE V6,sedan,automatic,4t1bf30k55u607341,ma,2.7,86633.0,silver,gray,boch new to you superstore,6950,7000,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
500047,2005,Toyota,Avalon,Touring,sedan,automatic,4t1bk36bx5u022192,fl,2.3,160676.0,black,black,gm financial,4225,3600,Tue Jun 02 2015 09:00:00 GMT-0700 (PDT)
500048,2005,Volvo,XC70,Base,wagon,automatic,yv1sz592651198739,wi,3.6,100839.0,silver,black,arlington hgts chry dod jeep,5325,5300,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
500049,2005,Toyota,Matrix,Base,wagon,automatic,2t1kr32e15c361565,oh,1.9,124642.0,white,gray,credit acceptance corp/vrs/southfield,3325,3000,Thu Jun 04 2015 02:00:00 GMT-0700 (PDT)
500050,2005,Toyota,Avalon,Touring,sedan,automatic,4t1bk36b95u049352,tx,2.5,97849.0,burgundy,tan,supreme fcu,5375,6800,Wed Jun 03 2015 03:20:00 GMT-0700 (PDT)
500051,2004,BMW,5 Series,525i,sedan,automatic,wbana53544b175544,tx,3.3,156095.0,brown,black,improved credit lending,3625,3900,Wed Jun 03 2015 03:20:00 GMT-0700 (PDT)
500052,2004,Audi,A4,1.8T,convertible,automatic,wauac48h84k012532,ca,2.0,192478.0,gray,gray,veros credit,1400,500,Wed Jun 03 2015 04:00:00 GMT-0700 (PDT)
500053,2004,Audi,A6,3.0,sedan,automatic,waujt64b34n041948,ca,2.5,103578.0,gray,black,mckenna volkswagen,1925,2500,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
500054,2004,Chevrolet,Silverado 2500HD,LS,extended cab,automatic,1gchk29264e358810,oh,1.9,139913.0,black,gray,pat obrien chevrolet south,11250,9600,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
500055,2004,Chevrolet,Silverado 2500HD,LS,crew cab,automatic,1gchk23104f162436,ga,3.1,165879.0,white,gray,young motors llc,13350,17000,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
500056,2004,Cadillac,CTS,Base,sedan,automatic,1g6dm577940114819,md,2.7,111477.0,gray,tan,jim coleman cadillac infiniti,3725,3700,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
500057,2004,BMW,5 Series,545i,sedan,automatic,wbanb33544b111103,wa,2.2,129144.0,white,gray,lexus of seattle llc,4975,6500,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
500058,2004,Cadillac,DeVille,Base,sedan,automatic,1g6kd54yx4u225523,ga,1.9,155180.0,beige,tan,us auto sales inc,1600,1100,Tue Jun 02 2015 06:00:00 GMT-0700 (PDT)
500059,2004,Acura,TSX,Base,sedan,automatic,jh4cl96844c018588,mo,2.1,104378.0,silver,black,plaza motor company,6050,4900,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
500060,2004,Cadillac,Escalade,Base,suv,automatic,1gyec63t94r102155,ga,2.9,116400.0,—,beige,kern automotive group inc,6800,8900,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
500061,2004,Audi,A4,1.8T quattro,sedan,automatic,waulc68e84a193681,nj,2.5,217396.0,gray,black,j & s auto haus,1425,1300,Wed Jun 03 2015 02:00:00 GMT-0700 (PDT)
500062,2004,Dodge,Ram Pickup 1500,SLT,quad cab,automatic,1d7ha18d24j162201,az,1.9,168381.0,blue,black,california auto finance,5525,3100,Thu Jun 04 2015 05:00:00 GMT-0700 (PDT)
500063,2004,Chevrolet,Impala,Base,sedan,automatic,2g1wf55e249146060,ga,1.9,190134.0,gold,tan,nextgear capital,800,750,Tue Jun 02 2015 06:10:00 GMT-0700 (PDT)
500064,2004,Chevrolet,Malibu Maxx,LS,hatchback,automatic,1g1zt628x4f190986,ga,3.3,84979.0,white,gray,carl black chevrolet buick gmc,3300,3900,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
500065,2004,Ford,Altima,Base,Sedan,automatic,2c4gm68484r546988,fl,1.9,94608.0,blue,beige,dt credit corporation,2850,3600,Wed Jun 03 2015 08:25:00 GMT-0700 (PDT)
500066,2004,Chevrolet,Tahoe,LS,suv,automatic,1gnec13z84r276142,ga,3.5,214453.0,red,tan,us auto sales inc,3350,3100,Tue Jun 02 2015 06:00:00 GMT-0700 (PDT)
500067,2004,Chevrolet,Venture,Plus,minivan,automatic,1gndu03e84d247222,oh,2.5,126901.0,blue,gray,dt inventory,2000,1100,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
500068,2004,Chevrolet,Tahoe,LS,suv,automatic,1gnek13z44r303906,md,2.5,153694.0,black,gray,belair road discount auto sales,5575,5600,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
500069,2004,Chevrolet,Silverado 3500,Base,crew cab,automatic,1gcjk33134f140681,tn,2.0,310635.0,red,—,wholesale inc # 2,6025,2700,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
500070,2004,Ford,F-150,Lariat,supercrew,automatic,1ftpw12594kc84945,az,2.6,147261.0,black,beige,california auto finance,7175,6500,Thu Jun 04 2015 05:00:00 GMT-0700 (PDT)
500071,2004,Ford,F-150,XLT,supercab,automatic,1ftpx14504nb70096,oh,1.9,139302.0,gray,gray,dt inventory,5900,5900,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
500072,2004,Ford,Expedition,Eddie Bauer,suv,automatic,1fmpu17l64la91297,ca,2.1,164259.0,black,beige,ideal transportation,3575,3100,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
500073,2004,Ford,Altima,Base,Sedan,automatic,1fmyu93104da11204,oh,3.6,139801.0,black,beige,dt inventory,2425,2600,Thu Jun 04 2015 02:00:00 GMT-0700 (PDT)
500074,2004,Ford,Altima,Base,Sedan,automatic,1fmzu74e34uc19099,oh,1.9,111219.0,green,tan,credit acceptance corp/vrs/southfield,3200,900,Thu Jun 04 2015 02:00:00 GMT-0700 (PDT)
500075,2004,Ford,Focus,ZX3,hatchback,manual,3fafp31354r127211,oh,3.6,122640.0,black,gray,car now acceptance co/columbus,1600,2600,Thu Jun 04 2015 02:00:00 GMT-0700 (PDT)
500076,2004,Ford,Explorer,XLS,SUV,automatic,1fmdu72k54ua42462,ma,3.7,113725.0,red,tan,clay nissan,2225,2600,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
500077,2004,Ford,Altima,Base,Sedan,automatic,1fmzu73e74za91860,nj,2.2,102080.0,black,gray,crestwood motors inc,2850,4300,Tue Jun 02 2015 02:25:00 GMT-0700 (PDT)
