num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
500999,2013,Lincoln,MKS,Base,sedan,automatic,1lnhl9dk4dg605500,pa,3.9,61010.0,black,beige,ge fleet services for itself/servicer,18250,19800,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501000,2013,Lincoln,MKX,Base,suv,automatic,2lmdj6jk9dbl14705,tx,3.6,30753.0,silver,black,ars/avis budget group,24700,22800,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
501001,2013,Mazda,Mazda2,Touring,hatchback,automatic,jm1de1ly7d0160408,pa,3.4,50365.0,gray,black,the hertz corporation,8350,8400,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
501002,2013,Mazda,Mazda3,i Sport,sedan,automatic,jm1bl1u75d1771745,pa,3.5,53381.0,gray,gray,the hertz corporation,9450,9500,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501003,2013,Mazda,Mazda3,i Sport,sedan,automatic,jm1bl1u70d1754478,pa,3.9,51161.0,white,black,the hertz corporation,9575,10800,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501004,2013,Mazda,3,i Sport,sedan,automatic,jm1bl1uf3d1736936,on,3.1,76142.0,white,black,dollar/thrifty car and truck rentals,9625,10200,Tue Jun 09 2015 03:00:00 GMT-0700 (PDT)
501005,2013,Mazda,Mazda2,Touring,hatchback,automatic,jm1de1lyxd0158751,pa,3.5,56077.0,red,black,the hertz corporation,8175,7700,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501006,2013,MINI,Cooper Coupe,Base,hatchback,automatic,wmwsx1c52dt507288,fl,4.2,48174.0,beige,black,braman motorcars,11100,12400,Thu Jul 02 2015 08:00:00 GMT-0700 (PDT)
501007,2013,Mazda,Mazda3,i Sport,sedan,automatic,jm1bl1u79d1703562,tx,4.3,43124.0,gray,black,cadillacs of houston,10100,9600,Tue Jun 02 2015 03:45:00 GMT-0700 (PDT)
501008,2013,Mercedes-Benz,C-Class,C250 Sport,sedan,automatic,wddgf4hb3da835932,fl,4.1,47009.0,gray,gray,santander consumer,18750,18300,Thu Jun 04 2015 02:35:00 GMT-0700 (PDT)
501009,2013,Mazda,Mazda5,Sport,minivan,automatic,jm1cw2bl8d0149146,pa,3.5,55791.0,red,tan,the hertz corporation,9925,9900,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501010,2013,Mazda,Mazda5,Touring,minivan,automatic,jm1cw2clxd0152869,pa,3.6,49279.0,white,gray,the hertz corporation,11000,11500,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501011,2013,Mercedes-Benz,E-Class,E350 Sport,sedan,automatic,wddhf5kb7da704943,ca,2.0,52381.0,black,black,hertz damaged liquidation,23800,17600,Wed Jun 03 2015 08:05:00 GMT-0700 (PDT)
501012,2013,Mercedes-Benz,GL-Class,GL450 4MATIC,suv,automatic,4jgdf7ce5da235621,az,3.2,42920.0,black,black,the hertz corporation,39900,41250,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
501013,2013,Mercedes-Benz,M-Class,ML350 BlueTEC 4MATIC,suv,automatic,4jgda2eb7da197071,ca,4.1,33215.0,silver,gray,skyhigh remarketing inc,36600,36750,Wed Jun 03 2015 05:00:00 GMT-0700 (PDT)
501014,2013,Mercedes-Benz,GL-Class,GL450 4MATIC,suv,automatic,4jgdf7ce2da223149,az,3.6,36794.0,black,black,the hertz corporation,40600,39250,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
501015,2013,Mercedes-Benz,GL-Class,GL350 BlueTEC 4MATIC,suv,automatic,4jgdf2ee8da179576,pa,3.7,24536.0,black,black,ge fleet services for itself/servicer,52300,48750,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
501016,2013,Mercedes-Benz,GLK-Class,GLK350 4MATIC,suv,automatic,wdcgg8jb5dg074871,wi,3.7,27871.0,black,black,mercedes-benz finc wholesale advantage,27000,28000,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
501017,2013,Mitsubishi,Lancer Evolution,GSR,sedan,manual,ja32w8fv5du023733,pa,5.0,21483.0,white,black,"mmca, inc",28600,29750,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501018,2013,Nissan,Altima,2.5,sedan,automatic,1n4al3ap4dn531631,pa,3.6,56120.0,black,black,dtg operations inc,10850,10800,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501019,2013,Nissan,Altima,2.5,sedan,automatic,1n4al3ap2dn534348,pa,3.8,55177.0,silver,black,the hertz corporation,10900,11800,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501020,2013,Nissan,Altima,2.5,sedan,automatic,1n4al3ap5dn549006,fl,3.8,54966.0,gray,black,dtg operations inc,10950,11800,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501021,2013,Nissan,Altima,2.5,sedan,automatic,1n4al3ap5dn516555,pa,3.8,57580.0,white,black,dtg operations inc,10750,11000,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501022,2013,Nissan,Altima,2.5,sedan,automatic,1n4al3ap2dc255784,pa,3.6,51483.0,black,black,the hertz corporation,11150,11000,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501023,2013,Nissan,Altima,2.5,sedan,automatic,1n4al3ap3dn525500,az,3.6,55856.0,gray,gray,the hertz corporation,10850,11300,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
501024,2013,Nissan,Altima,2.5,sedan,automatic,1n4al3ap9dn547940,tx,3.2,55241.0,red,black,tdaf remarketing,10900,11400,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
501025,2013,Nissan,Altima,2.5,sedan,automatic,1n4al3ap6dn514202,pa,3.5,54070.0,brown,black,dtg operations inc,11000,10800,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501026,2013,Nissan,Frontier,S,crew cab,automatic,1n6ad0er7dn729196,tx,4.2,30906.0,black,gray,hopper motorplex inc,18500,18000,Wed Jun 03 2015 03:15:00 GMT-0700 (PDT)
501027,2013,Nissan,Armada,SV,suv,automatic,5n1aa0nc2dn608272,pa,3.7,58121.0,gray,black,the hertz corporation,22100,21100,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501028,2013,Nissan,Frontier,SV,crew cab,automatic,1n6ad0ev1dn721415,az,1.9,49974.0,silver,gray,the hertz corporation,19050,18800,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
501029,2013,Nissan,Maxima,3.5 S,sedan,automatic,1n4aa5ap5dc813421,pa,2.6,53535.0,white,black,the hertz corporation,13600,13600,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501030,2013,Nissan,Maxima,3.5 S,sedan,automatic,1n4aa5ap0dc842888,pa,2.2,55653.0,silver,black,dtg operations inc,13450,13100,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501031,2015,Hyundai,Veloster,Base,hatchback,automatic,kmhtc6ad1fu224884,ga,4.1,17421.0,white,black,economy rent a car & sales inc,15400,15200,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
501032,2015,Jeep,Cherokee,Trailhawk,suv,automatic,1c4pjmbb0fw634402,co,5.0,21356.0,green,black,brac of salt lake city,27200,26400,Wed Jun 17 2015 04:15:00 GMT-0700 (PDT)
501033,2015,Jeep,Cherokee,Trailhawk,suv,automatic,1c4pjmbb2fw634398,co,4.7,18943.0,gray,black,brac of salt lake city,27200,27000,Wed Jun 17 2015 04:15:00 GMT-0700 (PDT)
501034,2015,Jeep,Cherokee,Latitude,suv,automatic,1c4pjmcbxfw636107,pa,4.8,8449.0,white,black,general american rentals,22900,23500,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501035,2013,Nissan,Maxima,3.5 SV,sedan,automatic,1n4aa5ap4dc830565,pa,3.4,55732.0,silver,black,the hertz corporation,14050,13900,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501036,2013,Nissan,Pathfinder,SV,suv,automatic,5n1ar2mm5dc638456,or,3.4,53070.0,silver,black,remarketing by ge/larry h miller-fleet lease,17750,20000,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
501037,2013,Nissan,Rogue,S,suv,automatic,jn8as5mv1dw621904,co,3.5,24687.0,silver,gray,the auto connection,14300,15700,Wed Jun 03 2015 04:45:00 GMT-0700 (PDT)
501038,2013,Nissan,Rogue,SV,suv,automatic,jn8as5mv3dw627736,pa,3.7,47722.0,white,black,the hertz corporation,13550,13600,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501039,2013,Nissan,Rogue,S,suv,automatic,jn8as5mv1dw632515,pa,3.6,52889.0,gray,black,the hertz corporation,12450,12500,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501040,2013,Nissan,Sentra,SR,sedan,automatic,3n1ab7ap4dl773486,ca,3.5,21025.0,gray,black,aaero sweet corporation,10800,11000,Wed Jun 03 2015 05:00:00 GMT-0700 (PDT)
501041,2013,Nissan,Rogue,SV,suv,automatic,jn8as5mt4dw527496,az,3.5,46884.0,blue,black,dtg operations inc,12650,12500,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
501042,2013,Nissan,Rogue,S,suv,automatic,jn8as5mv6dw626726,az,3.2,55773.0,gray,black,the hertz corporation,12300,13000,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
501043,2013,Nissan,Sentra,SR,sedan,automatic,3n1ab7ap7dl723519,tx,4.6,15435.0,gray,black,nissan-infiniti lt,12500,12600,Wed Jun 10 2015 17:00:00 GMT-0700 (PDT)
501044,2013,Porsche,911,Carrera S,convertible,automatic,wp0cb2a94ds156410,tx,4.9,9361.0,white,black,flag/ald motors inc,90000,89750,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
501045,2013,Nissan,Sentra,SV,sedan,automatic,3n1ab7ap1dl671367,co,4.0,9414.0,silver,black,the auto connection,11800,13300,Wed Jun 03 2015 04:45:00 GMT-0700 (PDT)
501046,2013,Nissan,Xterra,S,suv,automatic,5n1an0nw8dn811455,pa,3.7,50093.0,silver,gray,the hertz corporation,16300,16400,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501047,2013,Nissan,Versa,1.6 S Plus,sedan,automatic,3n1cn7ap6dl877087,or,3.5,52791.0,white,black,the hertz corporation,8425,8500,Tue Jun 09 2015 05:30:00 GMT-0700 (PDT)
501048,2013,Nissan,Versa,1.6 S Plus,sedan,automatic,3n1cn7ap6dl885125,pa,3.3,54656.0,gray,black,the hertz corporation,8350,8000,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501049,2013,Nissan,Xterra,S,suv,automatic,5n1an0nw4dn812862,pa,4.2,55424.0,white,black,the hertz corporation,15900,16000,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501050,2013,Nissan,Versa,1.6 S Plus,sedan,automatic,3n1cn7ap3dl851451,pa,3.6,53832.0,gray,black,the hertz corporation,7425,8000,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
501051,2013,Ram,2500,Tradesman,crew cab,automatic,3c6ur5hl7dg603345,ne,2.0,24519.0,white,gray,manheim omaha,33300,22000,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
501052,2013,Ram,1500,Tradesman,crew cab,automatic,1c6rr7kt0ds526305,mi,5.0,20397.0,silver,gray,kevins marysville auto sales inc,26700,27000,Thu Jun 18 2015 02:30:00 GMT-0700 (PDT)
501053,2013,Ram,1500,SLT,crew cab,automatic,1c6rr6lg8ds607371,tn,4.2,16611.0,white,gray,sullivan auto group llc,23000,23000,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
501054,2013,Ram,1500,Laramie,crew cab,automatic,1c6rr7nt0ds721221,nc,3.9,28007.0,black,beige,sanford honda,33200,32900,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
501055,2013,Ram,1500,SLT,crew cab,automatic,1c6rr7lt6ds563180,wi,3.6,125871.0,blue,gray,emkay inc,18450,18000,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
501056,2013,Scion,FR-S,Base,coupe,manual,jf1znaa16d1720060,ga,1.9,23441.0,white,black,toyota financial services,18250,16500,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
501057,2013,Ram,1500,SLT,crew cab,automatic,1c6rr7lt8ds691470,tn,4.7,77761.0,white,gray,sullivan auto group llc,21800,23000,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
501058,2013,Toyota,Camry,SE,sedan,automatic,4t1bf1fk0du273827,tn,3.5,30803.0,silver,black,toyota financial services,14250,14200,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
