num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
503999,2013,GMC,Yukon,Denali,suv,automatic,1gks1eef1dr244570,tx,4.3,20009.0,red,beige,cm investments,41200,42000,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
504000,2013,Honda,Civic,LX,sedan,automatic,19xfb2f51de065553,il,1.9,31233.0,white,beige,"ahfc/honda lease trust/hvt, inc.",12450,11500,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
504001,2013,Honda,CR-Z,EX,hatchback,manual,jhmzf1c63ds001860,or,4.4,41352.0,black,black,gm financial,11950,13000,Tue Jun 16 2015 05:00:00 GMT-0700 (PDT)
504002,2013,Honda,Accord,EX-L,sedan,automatic,1hgcr2f85da170612,il,3.4,162297.0,gray,black,"ahfc/honda lease trust/hvt, inc.",16150,14800,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
504003,2013,Honda,Pilot,EX-L,suv,automatic,5fnyf4h54db082282,fl,4.2,30378.0,silver,beige,lokey motor company,26500,26700,Thu Jun 04 2015 02:45:00 GMT-0700 (PDT)
504004,2013,Honda,Accord,EX-L,coupe,automatic,1hgct1b81da019283,wa,4.4,23787.0,gray,black,acura of seattle,19900,20600,Wed Jun 03 2015 06:20:00 GMT-0700 (PDT)
504005,2013,Honda,Civic,LX,sedan,automatic,19xfb2f56de074698,il,3.6,26389.0,black,gray,"ahfc/honda lease trust/hvt, inc. eot",12750,13200,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
504006,2013,Hyundai,Accent,GLS,sedan,automatic,kmhct4ae1du449087,ga,4.2,58919.0,blue,beige,the hertz corporation,8475,8800,Mon Jun 08 2015 17:00:00 GMT-0700 (PDT)
504007,2013,Hyundai,Accent,GLS,sedan,automatic,kmhct4ae1du550372,nv,3.9,28234.0,gray,gray,merchants automotive group,9275,9200,Fri Jun 12 2015 05:00:00 GMT-0700 (PDT)
504008,2013,Hyundai,Accent,GLS,sedan,automatic,kmhct4ae6du476494,ga,3.6,45817.0,silver,gray,the hertz corporation,8850,9100,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
504009,2013,Hyundai,Accent,GLS,sedan,automatic,kmhct4ae6du551145,nv,4.0,46747.0,blue,gray,merchants automotive group,8825,8700,Fri Jun 05 2015 05:00:00 GMT-0700 (PDT)
504010,2013,Hyundai,Elantra,GLS,sedan,automatic,kmhdh4ae6du972482,az,3.7,14543.0,silver,black,wells fargo dealer services,11750,11900,Thu Jun 11 2015 05:00:00 GMT-0700 (PDT)
504011,2013,Hyundai,Elantra GT,Base,hatchback,automatic,kmhd35le2du125489,tn,4.2,31402.0,silver,gray,landers mclarty dge chry jeep,12350,11300,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
504012,2013,Hyundai,Elantra GT,Base,hatchback,automatic,kmhd35le2du146262,mn,4.4,2741.0,blue,tan,manheim minneapolis,13550,13100,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
504013,2013,Hyundai,Elantra,GLS,sedan,automatic,kmhdh4ae6du875122,fl,4.9,33190.0,blue,gray,grant motors corp,10600,11100,Wed Jun 03 2015 09:40:00 GMT-0700 (PDT)
504014,2013,Hyundai,Elantra,GLS,sedan,automatic,kmhdh4ae8du550312,ny,3.6,77289.0,black,gray,glens falls national bank & trust co,8775,8000,Thu Jun 04 2015 02:15:00 GMT-0700 (PDT)
504015,2013,Hyundai,Elantra,GLS,sedan,automatic,5npdh4ae4dh257652,wa,3.8,58391.0,black,gray,acura of seattle,9100,11200,Wed Jun 03 2015 06:20:00 GMT-0700 (PDT)
