num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
504999,2011,BMW,X5,xDrive35i,suv,automatic,5uxzv4c52bl403467,wa,4.5,43460.0,silver,black,h & h motors inc,28300,29200,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
505000,2011,BMW,X5,xDrive35i,suv,automatic,5uxzv4c59bl405099,pa,4.0,38620.0,beige,black,r hollenshead auto sales inc,29000,25000,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
505001,2011,Chevrolet,Silverado 1500,LT,crew cab,automatic,3gcpkse37bg259414,mo,3.3,47537.0,white,black,hendrick chevrolet shawnee mission,25200,24500,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
505002,2011,Cadillac,CTS,Premium,sedan,automatic,1g6ds5ed8b0101569,mi,4.0,66329.0,black,black,erhard bmw of farmington hills,19150,17500,Thu Jun 04 2015 02:30:00 GMT-0700 (PDT)
505003,2011,BMW,5 Series Gran Turismo,535i xDrive,hatchback,automatic,wbasp2c55bc337589,il,2.3,53415.0,gray,gray,remarketing by ge/manheim chicago,24900,18600,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
505004,2011,BMW,5 Series,535i xDrive,sedan,automatic,wbafu7c56bdu53675,pa,4.1,50103.0,silver,black,r hollenshead auto sales inc,26000,24900,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
505005,2011,Cadillac,CTS,Luxury,sedan,automatic,1g6dg5ey2b0166289,tn,3.6,34371.0,gray,beige,wholesale inc # 2,19250,19000,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
505006,2011,Cadillac,CTS,Luxury,sedan,automatic,1g6de5ey6b0141269,tx,2.9,80837.0,silver,beige,remarketing by ge/five star autoplex,14500,14000,Thu Jun 18 2015 04:00:00 GMT-0700 (PDT)
505007,2011,Buick,Regal,CXL,sedan,automatic,w04gu5gc3b1047935,in,1.0,69277.0,black,black,chrysler capital,11300,3000,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
505008,2011,BMW,X3,xDrive28i,suv,automatic,5uxwx5c54bl702073,pa,3.9,156374.0,—,beige,r hollenshead auto sales inc,16900,13300,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
505009,2011,Chevrolet,Silverado 1500,LT,extended cab,automatic,1gcrcse00bz232471,fl,3.1,55815.0,gray,black,grow financial fcu,18900,19300,Thu Jun 04 2015 02:35:00 GMT-0700 (PDT)
