num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
506999,2013,Ford,Edge,SEL,suv,automatic,2fmdk3jc7dba86476,tx,4.1,90926.0,red,gray,"ford motor credit company,llc",16750,12000,Wed Jun 10 2015 03:30:00 GMT-0700 (PDT)
507000,2013,Ford,Edge,SEL,suv,automatic,2fmdk3jc9dbb05531,il,3.0,34463.0,black,beige,"ford motor credit company,llc",20600,19200,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
507001,2013,Ford,Edge,SEL,suv,automatic,2fmdk3jc8dba63398,il,4.1,33421.0,blue,black,"ford motor credit company,llc",20500,20700,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
507002,2013,Ford,Edge,SEL,suv,automatic,2fmdk4jc8dba82023,ny,4.4,35400.0,white,tan,"ford motor credit company,llc",21900,23400,Wed Jun 10 2015 02:20:00 GMT-0700 (PDT)
507003,2013,Ford,Edge,SEL,suv,automatic,2fmdk3jc6dbc37310,il,4.4,27968.0,silver,black,"ford motor credit company,llc",21200,16900,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
507004,2013,Ford,Edge,SEL,suv,automatic,2fmdk4jc4dba46877,ny,3.9,36321.0,black,black,"ford motor credit company,llc",21800,22500,Wed Jun 10 2015 02:20:00 GMT-0700 (PDT)
507005,2013,Ford,Edge,SEL,suv,automatic,2fmdk3jc0dbc16601,il,3.7,30754.0,black,black,"ford motor credit company,llc",20900,19100,Wed Jul 08 2015 10:30:00 GMT-0700 (PDT)
507006,2013,Ford,Edge,SEL,suv,automatic,2fmdk3jc8dbb43042,il,3.3,28273.0,green,gray,"ford motor credit company,llc",21100,20800,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
507007,2013,Ford,Edge,SEL,suv,automatic,2fmdk3jc2dba01382,ca,4.1,35623.0,black,black,skyhigh remarketing inc,20600,21750,Wed Jun 03 2015 05:00:00 GMT-0700 (PDT)
507008,2013,Ford,Edge,SE,suv,automatic,2fmdk3gc8dba44017,tx,3.8,80291.0,blue,black,hacienda ford,13150,11100,Wed Jun 03 2015 03:20:00 GMT-0700 (PDT)
507009,2013,Ford,Edge,SEL,suv,automatic,2fmdk4jc5dba05870,ny,3.9,41512.0,white,black,"ford motor credit company,llc",21100,22000,Wed Jun 10 2015 02:20:00 GMT-0700 (PDT)
507010,2013,Ford,Edge,SEL,suv,automatic,2fmdk3jc1dbc65676,il,4.8,18967.0,black,black,"ford motor credit company,llc",22400,22100,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
