num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
507999,2005,Volkswagen,New Beetle,GL,hatchback,automatic,3vwbk31c25m414816,ca,1.9,139043.0,blue,gray,honda of serramonte,1900,1550,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
508000,2004,Chevrolet,Cavalier,LS,coupe,automatic,1g1jh12f847241430,ca,3.8,157785.0,blue,gray,trade in solutions,1025,1100,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
508001,2004,Ford,Altima,Base,Sedan,automatic,2c8gm68424r367778,wa,3.1,112085.0,blue,black,tacoma dodge chrysler jeep,2525,2800,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
508002,2004,Chevrolet,Silverado 1500,Z71,crew cab,automatic,2gcek13tx41432200,tx,4.0,120692.0,beige,beige,westlake financial services,10150,9700,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
508003,2004,Chevrolet,Tahoe,LS,suv,automatic,1gnek13z04r250332,tx,2.9,211208.0,black,beige,westlake financial services,3900,2800,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
508004,2004,Ford,F-150,Lariat,supercrew,automatic,1ftpw12584kd31463,ca,2.4,72560.0,black,gray,remarketing by ge/manheim california,10150,9750,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
508005,2004,Ford,Expedition,Eddie Bauer,suv,automatic,1fmeu17w44lb84904,ga,3.2,184796.0,red,gray,davis automotive,3100,3900,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
508006,2004,Ford,F-150,XL,supercab,automatic,1ftrx14wx4na19381,nc,2.5,112998.0,blue,gray,santander consumer,4475,8700,Mon Jun 15 2015 02:30:00 GMT-0700 (PDT)
508007,2004,Ford,Explorer,XLS Sport,suv,automatic,1fmzu72k44ub57978,pa,2.0,121947.0,black,gray,1 cochran of monroeville,1700,1750,Wed Jun 03 2015 05:00:00 GMT-0700 (PDT)
508008,2004,Honda,Odyssey,EX-L,minivan,automatic,5fnrl18724b073271,nj,4.3,186625.0,gray,gray,dream cars by bussinger ltd,2250,3400,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
