num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
510999,2004,Chevrolet,Suburban,1500 LS,suv,automatic,1gnec16zx4j230791,tx,2.4,244606.0,blue,gray,automotive remarketing inc,2000,1700,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
511000,2004,Chevrolet,Tahoe,LS,suv,automatic,1gnek13z54r202485,sc,2.5,156070.0,green,gray,pee dee auto buyers,5100,6300,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
511001,2014,Chevrolet,Cruze,1LT,sedan,automatic,1g1pc5sb8e7296944,ga,4.6,14433.0,white,gray,santander consumer,12650,12700,Mon Jun 08 2015 17:00:00 GMT-0700 (PDT)
511002,2014,Chevrolet,Cruze,1LT,sedan,automatic,1g1pc5sbxe7125497,fl,3.5,34963.0,silver,black,avis corporation,11400,11000,Fri Jun 19 2015 03:20:00 GMT-0700 (PDT)
511003,2014,Chevrolet,Cruze,2LT,sedan,automatic,1g1pe5sb0e7128497,nc,3.3,48116.0,blue,gray,santander consumer,11850,11700,Mon Jun 08 2015 02:30:00 GMT-0700 (PDT)
511004,2014,Chevrolet,Cruze,1LT,sedan,automatic,1g1pc5sb9e7337744,oh,4.4,5749.0,silver,black,ge fleet services for itself/servicer,13150,13100,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
511005,2014,Chevrolet,Cruze,Diesel,sedan,automatic,1g1p75sz7e7262205,oh,3.5,18659.0,black,black,wells fargo dealer services,15100,13200,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
511006,2014,Chevrolet,Cruze,LS,sedan,automatic,1g1pa5sh2e7450333,tn,3.6,5045.0,green,black,gm financial,11950,13100,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
511007,2014,Chevrolet,Cruze,1LT,sedan,automatic,1g1pc5sb1e7359396,mn,4.6,17676.0,white,black,select lane,12450,13600,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
511008,2014,Chevrolet,Cruze,1LT,sedan,automatic,1g1pc5sb2e7309302,oh,4.4,24918.0,white,black,wells fargo dealer services,12050,12700,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
511009,2014,Chevrolet,Cruze,1LT,sedan,automatic,1g1pc5sb2e7160213,la,2.0,40928.0,white,black,hertz/tra,11100,7400,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
511010,2014,Chevrolet,Cruze,2LT,sedan,automatic,1g1pe5sb7e7283726,fl,3.0,18471.0,silver,brown,gm remarketing,13350,12600,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
