num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
513999,2015,Ford,Explorer,Limited,suv,automatic,1fm5k7f88fga55975,fl,4.9,17926.0,silver,beige,enterprise veh exchange/rental,29900,29600,Tue Jun 09 2015 02:15:00 GMT-0700 (PDT)
514000,2015,Ford,Escape,SE,suv,automatic,1fmcu0g93fua44755,fl,4.3,14040.0,black,black,enterprise veh exchange/rental,20400,20600,Tue Jun 09 2015 02:15:00 GMT-0700 (PDT)
514001,2015,Ford,Escape,SE,suv,automatic,1fmcu9g97fua11276,ga,2.0,10588.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,22300,17000,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
514002,2015,Ford,Escape,SE,suv,automatic,1fmcu0g99fua44727,fl,4.6,14161.0,white,black,enterprise veh exchange/rental,20400,20900,Tue Jun 09 2015 02:15:00 GMT-0700 (PDT)
514003,2015,Ford,Fiesta,SE,hatchback,automatic,3fadp4ej4fm105786,il,4.6,27494.0,blue,black,avis budget group,10250,10800,Tue Jun 16 2015 04:00:00 GMT-0700 (PDT)
514004,2015,Ford,Fusion,S,sedan,automatic,3fa6p0g79fr191019,il,5.0,793.0,brown,gray,"ford motor credit company,llc",16100,17900,Tue Jun 16 2015 04:00:00 GMT-0700 (PDT)
514005,2015,Ford,Explorer,Sport,suv,automatic,1fm5k8gt1fgc10956,pa,5.0,2049.0,—,black,r hollenshead auto sales inc,39400,40300,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
514006,2013,Toyota,Camry,SE,sedan,automatic,4t1bf1fk0du271270,mn,3.7,40073.0,gray,gray,hertz car exchange inc/oklahoma city,13400,12500,Wed Jun 10 2015 03:30:00 GMT-0700 (PDT)
514007,2013,Toyota,Corolla,LE,sedan,automatic,2t1bu4ee2dc042240,mn,2.7,46639.0,silver,gray,hertz car exchange inc/oklahoma city,10300,10100,Wed Jun 10 2015 03:30:00 GMT-0700 (PDT)
514008,2013,Toyota,Camry,SE,sedan,automatic,4t1bf1fk1du680166,oh,2.9,47364.0,white,black,the hertz corporation,12850,12000,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
514009,2013,Toyota,Corolla,S,sedan,automatic,2t1bu4ee6dc096785,md,2.2,49991.0,red,black,the hertz corporation,11600,9900,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
514010,2013,Toyota,Camry,SE,sedan,automatic,4t1bf1fk4du218135,md,3.9,61760.0,gray,black,the hertz corporation,11700,12300,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
514011,2013,Toyota,Corolla,LE,sedan,automatic,5yfbu4ee3dp106933,ca,2.8,61123.0,silver,gray,the hertz corporation,9475,9500,Tue Jun 09 2015 05:30:00 GMT-0700 (PDT)
514012,2013,Toyota,Corolla,S,sedan,automatic,5yfbu4ee4dp218382,mn,3.5,46105.0,gray,black,hertz car exchange inc/oklahoma city,11850,11500,Wed Jun 10 2015 03:30:00 GMT-0700 (PDT)
514013,2013,Toyota,Camry,SE,sedan,automatic,4t1bf1fkxdu235490,oh,2.5,58343.0,silver,black,the hertz corporation,11800,12200,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
514014,2013,Toyota,Camry,SE,sedan,automatic,4t1bf1fk7du268320,fl,3.6,54833.0,black,black,the hertz corporation,12250,12100,Tue Jun 09 2015 02:15:00 GMT-0700 (PDT)
514015,2013,Toyota,Highlander,Base,suv,automatic,5tdzk3eh1ds117431,az,3.9,30237.0,white,gray,jim click ford lincoln mercury,22700,26250,Thu Jun 04 2015 05:00:00 GMT-0700 (PDT)
514016,2013,Toyota,Camry,SE,sedan,automatic,4t1bf1fkxdu224361,md,2.7,59455.0,white,black,the hertz corporation,11900,11500,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
514017,2013,Toyota,Camry,SE,sedan,automatic,4t1bf1fk2du230106,oh,3.8,44309.0,white,black,the hertz corporation,13050,13100,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
514018,2013,Toyota,Camry,SE,sedan,automatic,4t1bf1fk5du246428,mn,3.3,48312.0,white,black,hertz car exchange inc/oklahoma city,12750,12600,Wed Jun 10 2015 03:30:00 GMT-0700 (PDT)
514019,2013,Toyota,Camry,SE,sedan,automatic,4t1bf1fk8du287202,oh,3.1,54775.0,black,black,the hertz corporation,12250,12000,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
514020,2013,Toyota,Corolla,LE,sedan,automatic,5yfbu4eexdp160570,md,3.5,51393.0,silver,gray,the hertz corporation,10000,9700,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
514021,2013,Toyota,Camry,SE,sedan,automatic,4t1bf1fk7du269693,oh,4.1,50152.0,gray,black,the hertz corporation,12600,12500,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
514022,2013,Toyota,Corolla,LE,sedan,automatic,5yfbu4ee0dp120904,md,2.5,58220.0,silver,gray,the hertz corporation,9625,9200,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
514023,2013,Toyota,Camry,SE,sedan,automatic,4t1bf1fk4du266699,mn,3.4,40466.0,silver,black,hertz car exchange inc/oklahoma city,13350,12900,Wed Jun 10 2015 03:30:00 GMT-0700 (PDT)
514024,2013,Toyota,Prius,Two,hatchback,automatic,jtdkn3du7d1616948,mn,3.8,54403.0,blue,gray,hertz car exchange inc/oklahoma city,11100,12000,Tue Jun 09 2015 17:00:00 GMT-0700 (PDT)
514025,2013,Toyota,Tacoma,V6,access cab,automatic,5tfuu4en8dx068920,oh,2.8,36395.0,gray,gray,the hertz corporation,24200,22500,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
514026,2013,Toyota,RAV4,LE,suv,automatic,2t3bfrev6dw028807,mn,3.6,49001.0,white,gray,hertz car exchange inc/oklahoma city,16200,15800,Wed Jun 10 2015 03:30:00 GMT-0700 (PDT)
514027,2013,Toyota,Yaris,LE,hatchback,automatic,jtdktud31dd568610,mn,4.1,45531.0,gray,gray,hertz car exchange inc/oklahoma city,9150,9600,Wed Jun 10 2015 03:30:00 GMT-0700 (PDT)
514028,2013,Toyota,Prius,Two,hatchback,automatic,jtdkn3du9d5639267,md,4.1,53998.0,white,gray,the hertz corporation,11150,11000,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
514029,2013,Toyota,Sienna,Limited 7-Passenger,minivan,automatic,5tdyk3dc5ds295005,oh,4.2,57461.0,white,gray,toyota motor sales usa inc,23100,20600,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
514030,2013,Toyota,Yaris,LE,hatchback,automatic,jtdktud31dd543299,md,2.9,48653.0,blue,black,the hertz corporation,8950,8700,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
514031,2013,Toyota,Yaris,LE,hatchback,automatic,jtdktud36dd551558,mn,4.1,45724.0,black,black,hertz car exchange inc/oklahoma city,9150,9700,Wed Jun 10 2015 03:30:00 GMT-0700 (PDT)
514032,2013,Toyota,Land Cruiser,Base,suv,automatic,jtmhy7aj4d4019127,pa,4.0,22297.0,gray,black,cadillac of mahwah llc,56700,55000,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
514033,2013,Toyota,Yaris,L,hatchback,automatic,jtdktud37dd550953,fl,4.8,41572.0,gray,—,achieva credit union,9425,8000,Thu Jun 11 2015 08:00:00 GMT-0700 (PDT)
514034,2013,Toyota,Yaris,LE,hatchback,automatic,jtdktud34dd560890,ma,3.4,52937.0,black,black,the hertz corporation,8675,8200,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
514035,2013,Volkswagen,Passat,SE PZEV,sedan,automatic,1vwbp7a38dc014672,md,4.3,63625.0,white,black,the hertz corporation,10200,10600,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
514036,2013,Volkswagen,Jetta SportWagen,S PZEV,wagon,automatic,3vwpp7aj3dm671737,oh,2.7,54056.0,gold,black,the hertz corporation,12150,11800,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
514037,2013,Volkswagen,Jetta,SE PZEV,sedan,automatic,3vwdp7aj6dm428930,md,3.9,48258.0,white,black,"all car leasing,inc",10200,10500,Mon Jun 08 2015 17:00:00 GMT-0700 (PDT)
514038,2013,Volkswagen,Jetta,S,sedan,automatic,3vw2k7ajxdm274504,md,4.1,48034.0,black,black,"all car leasing,inc",9150,10400,Mon Jun 08 2015 17:00:00 GMT-0700 (PDT)
514039,2013,Volkswagen,Golf,2.5L PZEV,hatchback,automatic,wvwdb7aj1dw127600,md,3.5,44633.0,black,black,"all car leasing,inc",9975,10200,Mon Jun 08 2015 17:00:00 GMT-0700 (PDT)
514040,2013,Volkswagen,Touareg,VR6 Executive,suv,automatic,wvgef9bp4dd010379,oh,4.1,71399.0,black,gray,pauley motor car co preowned vehicles llc,28000,21000,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
514041,2013,Volkswagen,Jetta SportWagen,S PZEV,wagon,automatic,3vwpp7aj0dm671517,oh,3.0,43617.0,white,black,the hertz corporation,12800,12500,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
514042,2013,Toyota,Yaris,LE,hatchback,automatic,jtdktud33dd553333,md,3.6,62961.0,silver,gray,the hertz corporation,8050,8200,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
514043,2013,Volkswagen,Jetta,SE PZEV,sedan,automatic,3vwdp7aj7dm429410,md,3.7,44492.0,black,black,"all car leasing,inc",10450,11000,Mon Jun 08 2015 17:00:00 GMT-0700 (PDT)
514044,2013,Volkswagen,Tiguan,S 4Motion,suv,automatic,wvgbv3ax5dw569562,ca,3.4,60357.0,silver,black,the hertz corporation,11600,12401,Mon Jun 08 2015 09:00:00 GMT-0700 (PDT)
514045,2013,Volkswagen,Jetta SportWagen,S PZEV,wagon,automatic,3vwpp7aj4dm671813,mn,3.5,42164.0,silver,black,hertz car exchange inc/oklahoma city,13300,12600,Wed Jun 10 2015 03:30:00 GMT-0700 (PDT)
514046,2013,Toyota,Yaris,LE,hatchback,automatic,jtdktud32dd557812,oh,2.9,51744.0,silver,gray,the hertz corporation,8750,8400,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
514047,2012,Audi,A7,Premium quattro,sedan,automatic,wau2gafc9cn083122,pa,4.0,39057.0,—,brown,r hollenshead auto sales inc,40300,39500,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
514048,2012,Audi,Q7,3.0T Premium quattro,suv,automatic,wa1lgafe0cd006793,pa,3.9,73933.0,—,gray,wheels exchange llc,27600,29300,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
514049,2012,Audi,A7,Premium quattro,sedan,automatic,wausgafc5cn013519,pa,4.2,39679.0,gray,black,r hollenshead auto sales inc,40100,40000,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
514050,2012,Audi,A4,2.0T Premium quattro,sedan,automatic,wauffafl2cn020724,pa,4.0,20352.0,blue,beige,r hollenshead auto sales inc,24200,24200,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
514051,2012,Acura,TL,Technology Package,sedan,automatic,19uua8f54ca018856,pa,4.2,42044.0,white,black,jones dealerships inc,19800,21800,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
514052,2012,Audi,Q5,2.0T Premium quattro,suv,automatic,wa1cfbfp6ca044718,pa,4.9,63699.0,white,black,wheels exchange llc,21300,21900,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
514053,2012,Audi,Q5,2.0T Premium quattro,suv,automatic,wa1lfafp5ca047927,pa,4.4,67325.0,black,black,adcock brothers inc,22000,22750,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
514054,2012,BMW,5 Series,550i xDrive,sedan,automatic,wbafu9c5xcdy70004,pa,3.8,57147.0,black,black,arb/psi return,30500,29500,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
514055,2012,Ford,Altima,Base,Sedan,automatic,wbakc8c51cc437527,oh,3.6,67842.0,black,beige,meridian remarketing,31300,30800,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
514056,2012,Chevrolet,Silverado 1500,LT,crew cab,automatic,3gcpcse02cg106234,tx,3.5,94740.0,black,black,wells fargo dealer services,18300,18900,Wed Jun 10 2015 03:00:00 GMT-0700 (PDT)
514057,2012,Buick,Enclave,Premium Group,suv,automatic,5gakvded3cj260311,pa,4.9,28303.0,brown,beige,worldwide auto wholesalers inc,29200,29250,Fri Jun 12 2015 02:15:00 GMT-0700 (PDT)
514058,2012,Chevrolet,Silverado 1500,LTZ,crew cab,automatic,3gcpkte75cg171892,mo,2.0,79274.0,white,black,ars/ford-lincoln dealer program,24800,23900,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
514059,2012,BMW,X5,xDrive35d,suv,automatic,5uxzw0c55cl664647,pa,4.4,74348.0,black,black,charles & son auto sls inc,27000,25750,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
514060,2012,Chevrolet,Cruze,1LT,sedan,automatic,1g1pf5sc8c7101339,il,2.6,59439.0,beige,black,gateway one lending & finance,9100,8200,Tue Jun 09 2015 03:00:00 GMT-0700 (PDT)
