num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
514999,2008,Audi,TT,2.0T,hatchback,automatic,truaf38jx81034587,pa,4.0,39798.0,—,black,r hollenshead auto sales inc,16650,17800,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
515000,2008,BMW,5 Series,535xi,sedan,automatic,wbanv93578c131355,pa,3.9,88595.0,black,beige,a and a ii llc,12050,12500,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
515001,2008,Audi,A4,2.0T quattro,sedan,automatic,waudf98e28a072406,fl,3.6,80603.0,black,black,meridian remarketing,9550,6800,Thu Jun 04 2015 08:00:00 GMT-0700 (PDT)
515002,2008,BMW,X3,3.0si,suv,automatic,wbxpc93498wj01297,nc,3.6,83109.0,white,black,hendrick bmw northlake,11550,13400,Wed Jun 10 2015 07:00:00 GMT-0700 (PDT)
515003,2008,BMW,X5,3.0si,suv,automatic,5uxfe43548l036082,nc,4.0,84747.0,gray,brown,atlantic coast remarketing inc/kdi,15350,15900,Mon Jun 08 2015 02:30:00 GMT-0700 (PDT)
515004,2008,Cadillac,DTS,Base,sedan,automatic,1g6kd57y18u192381,pa,3.5,63189.0,blue,tan,jim coleman cadillac infiniti,9275,9800,Fri Jun 05 2015 02:15:00 GMT-0700 (PDT)
515005,2008,Chevrolet,Malibu,LT,sedan,automatic,1g1zj57b884308619,nc,3.3,84959.0,gray,black,rick hendrick chevrolet buick gmc,6975,7300,Mon Jun 08 2015 02:15:00 GMT-0700 (PDT)
515006,2008,Chevrolet,Impala,LS,sedan,automatic,2g1wb58n889254521,pa,1.9,83116.0,gray,black,lease & rental management,5175,3300,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
515007,2008,Chevrolet,HHR,LS,wagon,automatic,3gnda13d18s528743,tx,2.0,133101.0,gold,black,dt credit corporation,2775,800,Tue Jun 09 2015 02:15:00 GMT-0700 (PDT)
515008,2008,Cadillac,Escalade,Base,suv,automatic,1gyfk43868r247201,fl,3.9,111466.0,white,brown,coral cadillac inc,19900,21700,Fri Jun 05 2015 02:35:00 GMT-0700 (PDT)
515009,2008,Cadillac,STS,V8 Luxury,sedan,automatic,1g6dz67ax80170745,pa,4.8,88445.0,gray,black,my car llc,8425,10400,Fri Jun 05 2015 02:30:00 GMT-0700 (PDT)
515010,2008,Chevrolet,Impala,LT,sedan,automatic,2g1wt58n489212389,mi,5.0,60475.0,brown,tan,kevins marysville auto sales inc,7025,8900,Thu Jun 18 2015 02:30:00 GMT-0700 (PDT)
515011,2008,Chevrolet,Impala,LS,sedan,automatic,2g1wb58k581339210,tx,2.8,79615.0,gray,black,texas direct auto,5575,4400,Wed Jun 10 2015 03:20:00 GMT-0700 (PDT)
515012,2008,Chevrolet,Express Cargo,2500,van,automatic,1gcgg25c581106023,fl,2.5,110072.0,white,gray,suntrust bank,8925,10000,Wed Jun 17 2015 02:45:00 GMT-0700 (PDT)
515013,2008,Chevrolet,Cobalt,LT,sedan,automatic,1g1al58f287155601,md,1.9,75477.0,gray,beige,credit acceptance corp/vrs/southfield,4475,3200,Tue Jun 09 2015 06:00:00 GMT-0700 (PDT)
515014,2008,Cadillac,STS,V6,sedan,automatic,1g6dw67v780149718,ms,3.8,112051.0,silver,black,gm financial,6875,6500,Thu Jun 11 2015 03:30:00 GMT-0700 (PDT)
515015,2008,Dodge,Charger,Base,sedan,automatic,2b3ka43r08h153509,tx,2.0,124015.0,red,gray,"ez corp,inc.",5500,5100,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
515016,2008,Dodge,Grand Caravan,SXT,minivan,automatic,2d8hn54xx8r636422,fl,2.7,107113.0,gold,beige,dt credit corporation,5725,4800,Tue Jun 09 2015 02:15:00 GMT-0700 (PDT)
515017,2008,Dodge,Grand Caravan,SXT,minivan,automatic,2d8hn54x68r648017,nv,3.4,70828.0,gold,gray,chapmans las vegas dodge,7325,7900,Thu Jun 04 2015 04:45:00 GMT-0700 (PDT)
515018,2008,Chrysler,Sebring,LX,sedan,automatic,1c3lc46r08n174218,pa,1.9,126182.0,gray,gray,lease & rental management,3450,1500,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
