num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
516999,2012,Ford,Fusion,SEL,sedan,automatic,3fahp0ja0cr334674,ca,3.7,98777.0,silver,gray,wheels exchange llc,8425,8500,Wed Jun 10 2015 05:30:00 GMT-0700 (PDT)
517000,2012,Ford,Fusion,SEL,sedan,automatic,3fahp0ja5cr339689,fl,3.5,66659.0,gray,black,autonation ford sanford,10150,10000,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
517001,2012,GMC,Acadia,Denali,suv,automatic,1gkkvted9cj223745,pa,4.1,44077.0,white,beige,adcock brothers inc,29000,29200,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
517002,2012,Honda,Accord,LX,sedan,automatic,1hgcp2f31ca149944,il,1.9,31216.0,silver,black,"ahfc/honda lease trust/hvt, inc. eot",11850,10000,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
517003,2012,Honda,Accord,EX-L,coupe,automatic,1hgcs1b89ca009389,mo,4.3,27510.0,black,black,jackson ford inc,13850,16600,Tue Jun 09 2015 04:00:00 GMT-0700 (PDT)
517004,2012,Honda,Accord,LX-P,sedan,automatic,1hgcp2f47ca161038,fl,5.0,25446.0,blue,gray,holman honda of fort lauderdale,12900,13700,Fri Jun 05 2015 02:35:00 GMT-0700 (PDT)
517005,2012,GMC,Yukon,Denali,suv,automatic,1gks2eef8cr288917,tx,3.9,30056.0,silver,black,td auto finance,40300,38600,Wed Jun 10 2015 03:00:00 GMT-0700 (PDT)
517006,2012,Honda,Accord,LX,sedan,automatic,1hgcp2f37ca180678,il,3.8,28279.0,white,beige,"ahfc/honda lease trust/hvt, inc. eot",11950,13600,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
517007,2012,GMC,Terrain,SLE-1,suv,automatic,2gkflrek6c6298490,co,4.9,44921.0,white,gray,lease plan usa,16850,17900,Tue Jun 09 2015 05:00:00 GMT-0700 (PDT)
517008,2012,GMC,Terrain,SLE-1,suv,automatic,2gkflrek0c6264187,co,3.7,51225.0,white,beige,lease plan usa,16450,17000,Tue Jun 09 2015 05:00:00 GMT-0700 (PDT)
517009,2012,Honda,Accord,LX,sedan,automatic,1hgcp2f34ca222398,fl,2.0,30578.0,gray,black,santander consumer,11900,10400,Wed Jun 10 2015 02:05:00 GMT-0700 (PDT)
517010,2012,Honda,Accord,LX,sedan,automatic,1hgcp2f32ca163643,il,4.4,44787.0,gray,gray,"ahfc/honda lease trust/hvt, inc. eot",11300,12700,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
517011,2012,Honda,Accord,LX,sedan,automatic,1hgcp2f35ca155858,il,3.0,25691.0,silver,gray,southgate leasing corp,12100,12700,Tue Jun 09 2015 04:00:00 GMT-0700 (PDT)
517012,2012,GMC,Terrain,SLT-2,suv,automatic,2gkflxe58c6252013,pa,4.5,20219.0,black,black,adcock brothers inc,24300,25500,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
517013,2012,Honda,Accord,LX,sedan,automatic,1hgcp2f39ca170329,il,3.7,31889.0,gray,black,"ahfc/honda lease trust/hvt, inc. eot",11800,12300,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
517014,2012,GMC,Acadia,SLT-1,suv,automatic,1gkkvred0cj330377,tx,4.1,35091.0,silver,gray,lease plan usa,24700,24900,Tue Jun 09 2015 03:00:00 GMT-0700 (PDT)
517015,2012,GMC,Sierra 2500HD,SLE,crew cab,automatic,1gt120cg4cf214272,oh,3.6,39937.0,white,black,stratton auto sales inc,25900,26750,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
517016,2012,Honda,Civic,LX,sedan,automatic,19xfb2f51ce060285,il,4.0,35525.0,black,gray,"ahfc/honda lease trust/hvt, inc. eot",10500,11700,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
517017,2012,Honda,Civic,Hybrid,sedan,automatic,jhmfb4f28cs008830,il,4.1,35697.0,silver,gray,"ahfc/honda lease trust/hvt, inc. eot",12050,12800,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
517018,2012,Honda,Civic,LX,sedan,automatic,19xfb2f58ce065340,il,4.2,31767.0,gray,gray,"ahfc/honda lease trust/hvt, inc. eot",10650,12200,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
517019,2012,Honda,Civic,EX,sedan,automatic,19xfb2f80ce078481,il,3.4,27379.0,white,gray,"ahfc/honda lease trust/hvt, inc. eot",11850,12800,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
517020,2012,Honda,Civic,LX,sedan,automatic,19xfb2f53ce070249,tx,3.1,51058.0,brown,beige,the hertz corporation,10750,10300,Wed Jun 10 2015 03:00:00 GMT-0700 (PDT)
517021,2012,Honda,Civic,EX,sedan,automatic,19xfb2f89ce372543,va,3.9,36900.0,black,gray,ourismans rockmont chevrolet,11400,12600,Thu Jun 11 2015 02:35:00 GMT-0700 (PDT)
517022,2012,Honda,Civic,LX,sedan,automatic,19xfb2f54ce067876,il,4.4,43889.0,blue,gray,"ahfc/honda lease trust/hvt, inc. eot",10150,11500,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
517023,2012,Honda,Accord,SE,sedan,automatic,1hgcp2f69ca079846,il,4.2,31655.0,black,beige,"ahfc/honda lease trust/hvt, inc. eot",12750,14100,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
517024,2012,Honda,CR-V,EX-L,suv,automatic,2hkrm4h71ch615278,pa,4.1,88686.0,silver,black,r hollenshead auto sales inc,16850,16300,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
517025,2012,Honda,Civic,EX,sedan,automatic,2hgfb2f80ch605036,pa,4.7,32647.0,black,gray,gnm auto sales inc,11600,12700,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
517026,2012,Hyundai,Genesis Coupe,3.8 R-Spec,genesis coupe,automatic,kmhhu6kh8cu068486,pa,2.2,18999.0,black,black,hyundai motor finance,17750,15500,Thu Jun 11 2015 06:15:00 GMT-0700 (PDT)
517027,2012,Honda,Pilot,LX,suv,automatic,5fnyf4h28cb036717,co,4.6,16373.0,gray,gray,american honda motor company,20700,17200,Wed Jun 10 2015 04:45:00 GMT-0700 (PDT)
517028,2012,Honda,Crosstour,EX-L,hatchback,automatic,5j6tf3h5xcl000761,il,3.8,39111.0,black,black,"ahfc/honda lease trust/hvt, inc. eot",16400,17000,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
517029,2012,Honda,Pilot,EX,suv,automatic,5fnyf4h49cb060431,nj,4.4,23546.0,gray,gray,holman automotive grp inc,21200,24000,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
517030,2012,Honda,Odyssey,EX-L,minivan,automatic,5fnrl5h69cb095796,nj,3.0,34615.0,gray,gray,ht automotive llc,22000,23250,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
517031,2012,Honda,Pilot,EX-L,suv,automatic,5fnyf4h52cb080979,pa,3.4,42291.0,silver,black,adcock brothers inc,22900,23200,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
517032,2012,Honda,Odyssey,EX-L,minivan,automatic,5fnrl5h66cb018223,pa,3.7,35500.0,red,beige,adcock brothers inc,21900,24100,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
517033,2012,Infiniti,FX,FX35,suv,automatic,jn8as1mw7cm151504,pa,4.2,34789.0,gray,black,nissan infiniti lt,29400,30600,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517034,2012,Infiniti,FX,FX35,suv,automatic,jn8as1mw8cm152290,il,3.0,70187.0,black,beige,nissan infiniti lt,25000,23400,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
517035,2012,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac7ch500812,pa,2.1,30821.0,white,beige,hyundai motor finance,11750,10200,Thu Jun 11 2015 06:15:00 GMT-0700 (PDT)
517036,2012,Infiniti,EX,EX35,suv,automatic,jn1aj0hr3cm450438,il,2.9,86118.0,gray,black,meridian remarketing,18000,16800,Tue Jun 16 2015 03:00:00 GMT-0700 (PDT)
517037,2012,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac4ch432002,pa,2.2,13633.0,red,tan,hyundai motor finance,12650,10800,Thu Jun 11 2015 06:15:00 GMT-0700 (PDT)
517038,2012,Hyundai,Veloster,Base,hatchback,automatic,kmhtc6ad2cu081228,fl,3.8,42461.0,red,gray,remarketing by ge/arkansas federal credit union,11650,11800,Wed Jun 10 2015 02:00:00 GMT-0700 (PDT)
517039,2012,Hyundai,Sonata,Limited PZEV,sedan,automatic,5npec4acxch349851,fl,3.5,71653.0,—,gray,remarketing by ge/space coast credit union,9575,10200,Wed Jun 10 2015 02:00:00 GMT-0700 (PDT)
517040,2012,Infiniti,FX,FX35,suv,automatic,jn8as1mw5cm151131,pa,2.4,47683.0,blue,black,nissan infiniti lt,29300,26600,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517041,2012,Hyundai,Sonata,GLS,sedan,automatic,5npeb4acxch331787,il,3.7,99774.0,gray,gray,meridian remarketing,9050,8900,Tue Jun 16 2015 03:00:00 GMT-0700 (PDT)
517042,2012,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac7ch439896,pa,2.1,52376.0,black,tan,hyundai motor finance,10650,9500,Thu Jun 11 2015 06:15:00 GMT-0700 (PDT)
517043,2012,Hyundai,Tucson,GLS,suv,automatic,km8ju3ac5cu469127,tn,3.7,48287.0,—,gray,primeritus remarketing/compass bank,13250,13200,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
517044,2012,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac0ch462288,md,4.2,30757.0,blue,gray,santander consumer,11850,11800,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
517045,2012,Infiniti,G Sedan,G25,g sedan,automatic,jn1dv6ap2cm811932,fl,3.2,38048.0,white,black,nissan infiniti lt,16350,17200,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
517046,2012,Infiniti,G Sedan,G25,g sedan,automatic,jn1dv6ap5cm700727,fl,1.9,42682.0,black,black,nissan infiniti lt,16000,14600,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
517047,2012,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap3cm931962,tx,4.3,26112.0,blue,beige,nissan infiniti lt,19350,19000,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
517048,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar7cm976954,pa,2.8,11735.0,—,black,nissan infiniti lt,20900,20000,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517049,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar9cm681094,pa,4.1,29124.0,—,black,nissan infiniti lt,19300,20000,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517050,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar4cm673808,pa,4.2,24553.0,black,beige,nissan infiniti lt,19700,20800,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517051,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar7cm974976,pa,4.2,30426.0,blue,black,nissan infiniti lt,19200,19000,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517052,2012,Infiniti,G Convertible,G37,g convertible,automatic,jn1cv6fe3cm201850,tx,4.7,30876.0,blue,gray,nissan infiniti lt,27000,27800,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
517053,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar6cm673244,pa,2.5,31377.0,gray,black,nissan infiniti lt,19100,17800,Thu Jun 11 2015 06:00:00 GMT-0700 (PDT)
517054,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar8cm972511,pa,3.7,34032.0,black,black,nissan infiniti lt,18900,17600,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517055,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar2cm671099,pa,4.2,28597.0,gray,gray,nissan infiniti lt,19350,19200,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517056,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6arxcm972381,pa,3.6,35747.0,black,tan,nissan infiniti lt,18750,17600,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517057,2012,Infiniti,G Sedan,G25x,g sedan,automatic,jn1dv6ar0cm730722,il,2.1,33196.0,gray,black,nissan infiniti lt,17200,15600,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
517058,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar5cm978055,pa,4.2,24997.0,black,black,nissan infiniti lt,19700,19200,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517059,2012,Infiniti,G Sedan,G25x,g sedan,automatic,jn1dv6ar6cm860603,pa,4.8,37650.0,blue,gray,nissan infiniti lt,16850,17800,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517060,2012,Infiniti,G Sedan,G25x,g sedan,automatic,jn1dv6ar3cm730374,pa,4.4,28703.0,black,black,nissan infiniti lt,17500,17000,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517061,2012,Infiniti,G Sedan,G25x,g sedan,automatic,jn1dv6ar2cm731158,pa,3.9,29283.0,black,black,nissan infiniti lt,17450,17600,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517062,2012,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap9cm628569,tx,4.2,30054.0,gray,black,nissan infiniti lt,19000,18200,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
517063,2012,Infiniti,G Coupe,G37x,g coupe,automatic,jn1cv6el0cm470095,pa,3.8,32322.0,blue,gray,nissan infiniti lt,21500,23200,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517064,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar2cm973685,pa,4.6,31861.0,blue,black,nissan infiniti lt,19100,20800,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517065,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar3cm680152,pa,4.3,38016.0,black,black,nissan infiniti lt,18550,19800,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517066,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar2cm973427,pa,4.3,35228.0,black,black,nissan infiniti lt,18800,18800,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517067,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6arxcm676373,pa,2.3,18965.0,silver,black,nissan infiniti lt,20200,17900,Thu Jun 11 2015 06:00:00 GMT-0700 (PDT)
517068,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar5cm971428,pa,4.1,32997.0,black,black,nissan infiniti lt,19000,19600,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517069,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar3cm681222,pa,4.5,34171.0,—,beige,nissan infiniti lt,18850,19400,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517070,2012,Infiniti,G Sedan,G25x,g sedan,automatic,jn1dv6arxcm730971,pa,4.6,39139.0,black,black,nissan infiniti lt,16750,17200,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517071,2012,Infiniti,G Coupe,G37x,g coupe,automatic,jn1cv6el7cm471325,pa,3.5,26363.0,blue,black,nissan infiniti lt,22100,19400,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517072,2012,Infiniti,G Sedan,G25x,g sedan,automatic,jn1dv6ar6cm862674,fl,2.5,15428.0,gray,black,nissan infiniti lt,18350,17000,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
517073,2012,Infiniti,G Sedan,G25x,g sedan,automatic,jn1dv6ar3cm730147,pa,3.9,27270.0,gray,gray,nissan infiniti lt,17600,17600,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517074,2012,Infiniti,G Sedan,G25x,g sedan,automatic,jn1dv6ar9cm730881,pa,3.4,30568.0,black,gray,nissan infiniti lt,17350,16800,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517075,2012,Infiniti,G Coupe,G37,g coupe,automatic,jn1cv6ek8cm422321,tx,4.5,17404.0,gray,black,nissan infiniti lt,22900,24200,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
517076,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar7cm680185,pa,4.1,39679.0,gray,black,nissan infiniti lt,18400,17000,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517077,2012,Infiniti,G Coupe,G37x,g coupe,automatic,jn1cv6el6cm472739,pa,4.6,26096.0,blue,black,nissan infiniti lt,22200,22000,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517078,2012,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap2cm626775,tx,4.8,9366.0,—,beige,nissan infiniti lt,20800,22800,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
517079,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6arxcm971635,pa,4.6,25859.0,silver,black,nissan infiniti lt,19600,20000,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517080,2012,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6apxcm936687,nv,3.9,30979.0,white,beige,alliance automotive marketing,18900,19250,Fri Jun 05 2015 05:00:00 GMT-0700 (PDT)
517081,2012,Infiniti,G Coupe,G37,g coupe,manual,jn1cv6ekxcm420697,pa,4.4,43389.0,black,black,nissan infiniti lt,22600,22400,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517082,2012,Infiniti,G Coupe,G37,g coupe,automatic,jn1cv6ek9cm424546,tx,3.5,26124.0,white,beige,nissan infiniti lt,22100,20000,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
517083,2012,Infiniti,G Coupe,G37x,g coupe,automatic,jn1cv6el3cm472598,pa,4.3,12540.0,white,beige,nissan infiniti lt,23600,24000,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517084,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar7cm972662,pa,4.2,12392.0,gray,gray,nissan infiniti lt,20800,22200,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517085,2012,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap3cm625523,tx,4.3,35172.0,gray,—,nissan infiniti lt,18550,19600,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
517086,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar9cm676994,pa,4.0,37209.0,gray,black,nissan infiniti lt,29400,29000,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
517087,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar9cm673707,pa,4.4,12578.0,black,tan,nissan infiniti lt,20800,23000,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517088,2012,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap6cm620803,tx,4.3,28618.0,gray,black,nissan infiniti lt,19100,21400,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
517089,2012,Infiniti,G Sedan,G25x,g sedan,automatic,jn1dv6ar0cm860130,pa,4.8,22963.0,black,black,nissan infiniti lt,17950,18800,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517090,2012,Infiniti,M,M37x,sedan,automatic,jn1by1ar7cm395542,il,2.8,68295.0,white,beige,nissan infiniti lt,20400,20300,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
517091,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar4cm974160,pa,4.2,45233.0,white,tan,nissan infiniti lt,17900,17600,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517092,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar8cm974842,pa,4.4,52203.0,white,beige,nissan infiniti lt,17250,18200,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517093,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar9cm671066,pa,4.9,53751.0,black,—,nissan infiniti lt,18500,20400,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517094,2012,Infiniti,M,M37x,sedan,automatic,jn1by1arxcm394417,pa,3.5,46298.0,white,tan,nissan infiniti lt,22900,23200,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517095,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar4cm676207,pa,4.4,41042.0,gray,tan,nissan infiniti lt,18250,19200,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517096,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar1cm680067,pa,2.7,46598.0,black,black,nissan infiniti lt,17750,16500,Thu Jun 11 2015 06:00:00 GMT-0700 (PDT)
517097,2012,Infiniti,QX,QX56,suv,automatic,jn8az2ne9c9019354,pa,3.5,56173.0,black,black,great neck nissan llc,38800,39000,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
517098,2012,Infiniti,G Coupe,G37x,g coupe,automatic,jn1cv6el5cm471596,pa,4.4,42905.0,gray,black,nissan infiniti lt,20300,19400,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517099,2012,Infiniti,M,M37x,sedan,automatic,jn1by1ar1cm394516,pa,4.0,98708.0,gray,black,nissan infiniti lt,19750,16600,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517100,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar8cm675254,il,4.1,63395.0,gray,black,nissan infiniti lt,16300,16400,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
517101,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar6cm970417,pa,3.8,45953.0,blue,beige,nissan infiniti lt,17850,17000,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517102,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar1cm971555,pa,4.7,48815.0,blue,beige,nissan infiniti lt,17550,19400,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517103,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar1cm677735,il,3.5,57862.0,gray,—,nissan infiniti lt,16750,16400,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
517104,2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar9cm679569,pa,3.1,61120.0,black,gray,nissan infiniti lt,16500,17200,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
517105,2012,Infiniti,M,M37x,sedan,automatic,jn1by1ar4cm396308,pa,4.8,48521.0,white,beige,nissan infiniti lt,22700,24200,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
