num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
518999,2014,Ford,Escape,SE,suv,automatic,1fmcu9g99euc53887,mo,3.8,26057.0,blue,gray,avis budget group,19600,18600,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
519000,2014,Ford,Edge,Limited,suv,automatic,2fmdk3kc3eba07983,fl,4.5,29514.0,—,black,ars/avis budget group,22400,22700,Wed Jun 10 2015 03:00:00 GMT-0700 (PDT)
519001,2014,Ford,Escape,SE,suv,automatic,1fmcu9g99eua42513,ny,4.3,25599.0,black,gray,"ford motor credit company,llc",18900,18800,Fri Jul 03 2015 06:00:00 GMT-0700 (PDT)
519002,2014,Ford,Edge,Limited,suv,automatic,2fmdk3kc6eba39195,fl,4.3,42647.0,—,gray,ars/avis budget group,19850,20300,Thu Jun 18 2015 02:00:00 GMT-0700 (PDT)
519003,2014,Ford,Escape,SE,suv,automatic,1fmcu9g98euc31234,co,4.2,30571.0,orange,gray,lease plan usa,19000,18300,Tue Jun 09 2015 05:00:00 GMT-0700 (PDT)
519004,2014,Ford,Escape,SE,suv,automatic,1fmcu9g96eub82129,pa,3.6,11529.0,gray,black,tdaf remarketing,20900,19900,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
519005,2014,Ford,Escape,SE,suv,automatic,1fmcu9g97euc09581,co,4.7,28708.0,orange,gray,lease plan usa,19250,19300,Tue Jun 09 2015 05:00:00 GMT-0700 (PDT)
519006,2014,Ford,Escape,SE,suv,automatic,1fmcu9g92euc31228,co,4.6,17777.0,white,gray,lease plan usa,20700,19800,Tue Jun 09 2015 05:00:00 GMT-0700 (PDT)
519007,2014,Ford,Escape,S,suv,automatic,1fmcu0f79eua31393,fl,4.3,35401.0,gray,black,northwestern chrys/j/d/ge,14250,13800,Wed Jun 10 2015 02:00:00 GMT-0700 (PDT)
519008,2014,Ford,Escape,SE,suv,automatic,1fmcu0gx1eud36840,mo,3.6,6143.0,blue,gray,"ford motor credit company,llc pd",18200,16800,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
519009,2014,Ford,Escape,SE,suv,automatic,1fmcu0gx8eud66613,mo,4.8,26185.0,brown,gray,lease plan usa,16450,15900,Tue Jun 09 2015 04:00:00 GMT-0700 (PDT)
519010,2014,Ford,Escape,SE,suv,automatic,1fmcu0gx2eua37874,tx,4.5,12302.0,gray,gray,"ford motor credit company,llc",17650,17600,Wed Jun 10 2015 03:30:00 GMT-0700 (PDT)
519011,2014,Ford,Escape,Titanium,suv,automatic,1fmcu0j99eua75953,fl,4.4,19806.0,—,tan,"ford motor credit company,llc pd",22200,21600,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
519012,2014,Ford,Escape,Titanium,suv,automatic,1fmcu9j96eud74398,pa,4.9,7881.0,gold,black,usautoland inc,25000,23300,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
519013,2014,Ford,Escape,Titanium,suv,automatic,1fmcu9j90eua33997,ny,4.0,21445.0,black,black,"ford motor credit company,llc",23500,23500,Wed Jun 10 2015 02:20:00 GMT-0700 (PDT)
