num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
520999,2013,Toyota,Camry,LE,sedan,automatic,4t1bf1fk1du251576,il,3.4,54017.0,black,gray,the hertz corporation,11500,11900,Tue Jun 16 2015 03:00:00 GMT-0700 (PDT)
521000,2013,Toyota,Camry,SE,sedan,automatic,4t1bf1fk5du229788,oh,2.9,54008.0,silver,black,the hertz corporation,12100,12300,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
521001,2013,Toyota,Camry,LE,sedan,automatic,4t4bf1fk3dr285962,az,2.9,55079.0,gray,gray,wells fargo dealer services,11400,12300,Thu Jun 11 2015 05:00:00 GMT-0700 (PDT)
521002,2013,Toyota,Corolla,LE,sedan,automatic,2t1bu4ee6dc987417,ga,4.1,25062.0,gray,gray,world omni financial corporation,11450,11600,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
521003,2013,Toyota,Corolla,LE,sedan,automatic,2t1bu4ee9dc964052,il,3.9,50788.0,blue,black,ars/ford-lincoln dealer program,9950,11400,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
521004,2013,Toyota,RAV4,LE,suv,automatic,2t3bfrevxdw064337,pa,3.7,51378.0,white,black,the hertz corporation,15800,16000,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
521005,2013,Toyota,Corolla,LE,sedan,automatic,5yfbu4ee3dp108116,nc,1.9,54333.0,black,gray,manheim statesville,9675,8100,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
521006,2013,Toyota,Highlander,Base,suv,automatic,5tdza3ehxds039492,wi,3.6,69000.0,black,gray,wheels exchange llc,18400,16500,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
521007,2013,Toyota,Highlander,Limited,suv,automatic,5tddk3eh3ds194649,az,3.5,28402.0,silver,black,larry h miller toyota peoria,30500,30500,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
521008,2013,Toyota,Corolla,LE,sedan,automatic,5yfbu4ee8dp157814,nc,3.5,54627.0,silver,gray,the hertz corporation,9750,10100,Tue Jul 07 2015 07:00:00 GMT-0700 (PDT)
521009,2013,Toyota,Prius,Two,hatchback,automatic,jtdkn3du0d1681799,pa,3.6,49066.0,blue,—,the hertz corporation,11850,11300,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
521010,2013,Toyota,Corolla,S,sedan,automatic,2t1bu4ee6dc043584,in,2.4,39293.0,red,black,frankfort toyota,12350,12800,Thu Jun 11 2015 03:10:00 GMT-0700 (PDT)
521011,2013,Toyota,Corolla,LE,sedan,automatic,2t1bu4ee2dc934200,ga,3.5,59892.0,beige,beige,dollar thrifty automotive group,9300,9900,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
521012,2013,Toyota,Corolla,LE,sedan,automatic,5yfbu4ee2dp135260,az,4.0,47856.0,gray,gray,the hertz corporation,10100,11100,Thu Jun 11 2015 05:30:00 GMT-0700 (PDT)
521013,2013,Toyota,Corolla,LE,sedan,automatic,5yfbu4ee7dp101234,ga,3.4,41008.0,gray,gray,southern auto finance co/ft. lauderdale,10500,9500,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
521014,2013,Toyota,Highlander,SE,suv,automatic,5tdbk3eh6ds227330,pa,4.2,27629.0,green,tan,manheim imports,27700,27200,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
521015,2013,Toyota,Corolla,LE,sedan,automatic,5yfbu4ee7dp159344,il,3.6,52938.0,white,gray,the hertz corporation,9750,10000,Tue Jun 16 2015 03:00:00 GMT-0700 (PDT)
521016,2013,Toyota,Corolla,S,sedan,automatic,2t1bu4ee1dc035960,wi,2.9,43347.0,black,gray,toyota financial services,12050,11900,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
521017,2013,Toyota,FJ Cruiser,Base,suv,automatic,jtebu4bf1dk163123,tx,4.0,40277.0,orange,black,bravo cadillac hummer,30000,27250,Thu Jun 11 2015 05:00:00 GMT-0700 (PDT)
