num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
521999,2012,Dodge,Avenger,SXT,sedan,automatic,1c3cdzcb6cn223481,co,1.9,90173.0,gray,black,rally motor credit,6925,6800,Tue Jun 16 2015 05:00:00 GMT-0700 (PDT)
522000,2012,Chrysler,200,Limited,sedan,automatic,1c3ccbcb2cn330165,oh,4.2,16330.0,gray,black,fiserv/usb dealer services northstar exchange,12650,13000,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
522001,2012,Chevrolet,Volt,Base,hatchback,automatic,1g1rh6e45cu121952,ca,4.5,15420.0,black,black,fiserv/usb dealer services northstar exchange,15400,18500,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
522002,2012,Chevrolet,Malibu,LTZ,sedan,automatic,1g1ze5eu7cf367845,mi,4.2,45549.0,silver,black,tdaf remarketing,11450,13000,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
522003,2012,Chrysler,200,Touring,sedan,automatic,1c3ccbbb1cn205563,mi,5.0,55176.0,white,black,kevins marysville auto sales inc,8775,10400,Thu Jun 18 2015 02:30:00 GMT-0700 (PDT)
522004,2012,Chevrolet,Sonic,LS,sedan,automatic,1g1ja5sh9c4132939,tx,1.9,83397.0,white,gray,gm financial,5200,4700,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
522005,2012,Chrysler,200,LX,sedan,automatic,1c3ccbab2cn256765,mi,3.2,92935.0,black,black,remarketing by ge/michigan schools & govt cu,7100,7400,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
522006,2012,Dodge,Avenger,SE,sedan,automatic,1c3cdzab5cn294478,fl,2.8,79364.0,black,black,santander consumer,7425,7500,Thu Jun 11 2015 02:35:00 GMT-0700 (PDT)
522007,2012,Dodge,Challenger,SXT,coupe,automatic,2c3cdyag8ch292268,ms,1.9,53720.0,black,black,gm financial,15900,14400,Thu Jun 11 2015 03:30:00 GMT-0700 (PDT)
522008,2012,Chrysler,300,Limited,sedan,automatic,2c3ccacgxch243015,la,3.1,47377.0,black,black,"jpmorgan chase bank,n.a.",16550,15400,Wed Jun 17 2015 04:00:00 GMT-0700 (PDT)
522009,2012,Chevrolet,Sonic,LT,hatchback,automatic,1g1jc6sh2c4107705,ne,3.8,77335.0,red,gray,"gregg young chevrolet, inc.",6400,6900,Thu Jun 11 2015 04:00:00 GMT-0700 (PDT)
522010,2012,Chrysler,200,LX,sedan,automatic,1c3ccbab0cn319555,ga,3.6,53446.0,silver,black,capital one auto finance,8750,9500,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
522011,2012,Chrysler,300,Limited,sedan,automatic,2c3ccacg8ch216914,ca,4.5,38829.0,red,beige,fiserv/usb dealer services northstar exchange,17000,18500,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
522012,2012,Chrysler,200,Limited,sedan,automatic,1c3ccbcg5cn254114,fl,3.7,34715.0,silver,beige,fiserv/usb dealer services northstar exchange,12550,12900,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
522013,2012,Chevrolet,Malibu,LT,sedan,automatic,1g1ze5e08cf263426,pa,4.3,11805.0,white,brown,us bank,14750,14800,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
