num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
522999,2012,Infiniti,G Convertible,G37,g convertible,automatic,jn1cv6fe2cm201760,fl,4.5,22405.0,white,beige,nissan infiniti lt,28200,29200,Thu Jun 11 2015 02:15:00 GMT-0700 (PDT)
523000,2012,Infiniti,FX,FX35,suv,automatic,jn8as1mu9cm121645,fl,4.5,38836.0,black,beige,nissan infiniti lt,26800,28200,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523001,2012,Infiniti,G Coupe,IPL,g coupe,automatic,jn1cv6ek7cm420303,fl,4.5,13730.0,—,red,nissan infiniti lt,28600,29800,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523002,2012,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap9cm624067,fl,4.8,41472.0,black,black,nissan infiniti lt,17700,17800,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523003,2012,Infiniti,G Sedan,G25,g sedan,automatic,jn1dv6ap0cm811072,fl,3.2,46728.0,black,black,nissan infiniti lt,15600,15800,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523004,2012,Infiniti,FX,FX35,suv,automatic,jn8as1mw7cm151969,nj,4.4,46107.0,gray,black,nissan infiniti lt,27800,28000,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
523005,2012,Infiniti,G Sedan,G25,g sedan,automatic,jn1dv6ap2cm812756,fl,4.2,23069.0,gray,gray,nissan infiniti lt,17550,17000,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523006,2012,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap0cm932972,fl,4.2,26954.0,blue,beige,nissan infiniti lt,19050,18000,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523007,2012,Infiniti,G Sedan,G25,g sedan,automatic,jn1dv6ap8cm811742,fl,4.5,30969.0,white,gray,nissan infiniti lt,16900,18000,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523008,2012,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap6cm622468,fl,3.5,33420.0,gray,gray,nissan infiniti lt,18450,17600,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523009,2012,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap1cm625858,fl,4.3,32698.0,black,beige,nissan infiniti lt,18500,17800,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523010,2012,Infiniti,FX,FX35,suv,automatic,jn8as1mw2cm152978,nj,4.2,61555.0,black,black,nissan infiniti lt,25900,25750,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
523011,2012,Infiniti,G Sedan,G25x,g sedan,automatic,jn1dv6ar0cm861228,oh,4.4,54225.0,black,black,infiniti financial services,15650,15900,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
523012,2012,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap1cm628369,fl,4.3,31209.0,—,beige,nissan infiniti lt,18650,17000,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523013,2012,Infiniti,G Sedan,G25,g sedan,automatic,jn1dv6ap7cm811974,fl,2.3,52717.0,black,gray,nissan infiniti lt,15100,14600,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523014,2012,Infiniti,G Sedan,G25x,g sedan,automatic,jn1dv6ar7cm860934,il,3.9,23163.0,black,black,infiniti financial services,17900,17400,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
523015,2012,Infiniti,G Convertible,G37,g convertible,automatic,jn1cv6fe5cm200764,fl,3.7,40160.0,gray,beige,nissan infiniti lt,25400,26400,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
523016,2012,Infiniti,G Sedan,G25,g sedan,automatic,jn1dv6ap6cm810881,fl,4.8,47543.0,black,black,nissan infiniti lt,15500,16600,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523017,2012,Infiniti,G Coupe,G37,g coupe,automatic,jn1cv6ek1cm423889,fl,4.6,22993.0,white,black,nissan infiniti lt,22000,21800,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523018,2012,Infiniti,FX,FX35,suv,automatic,jn8as1mu7cm121451,fl,3.1,45205.0,—,beige,nissan infiniti lt,26000,26000,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523019,2012,Infiniti,G Sedan,G25,g sedan,automatic,jn1dv6ap6cm811867,fl,4.3,31201.0,white,black,nissan infiniti lt,16900,17600,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523020,2012,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap5cm935026,fl,4.7,26238.0,white,black,nissan infiniti lt,19100,19800,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523021,2012,Hyundai,Veloster,Base,hatchback,automatic,kmhtc6ad1cu072701,pa,3.5,27251.0,white,gray,hyundai motor finance,12200,12500,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
523022,2012,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap9cm622755,fl,3.4,30986.0,—,black,nissan infiniti lt,18750,17200,Thu Jun 11 2015 02:15:00 GMT-0700 (PDT)
523023,2012,Hyundai,Veracruz,Limited,suv,automatic,km8nu4cc9cu191627,fl,4.7,23103.0,black,tan,hyundai motor finance,19550,20800,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
523024,2012,Infiniti,G Sedan,G25,g sedan,automatic,jn1dv6ap9cm811880,fl,3.4,46603.0,black,gray,nissan infiniti lt,15600,16000,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523025,2012,Infiniti,G Coupe,G37,g coupe,automatic,jn1cv6ek3cm422386,fl,4.3,25701.0,black,black,nissan infiniti lt,21800,22800,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523026,2012,Infiniti,G Sedan,G25,g sedan,automatic,jn1dv6ap4cm700671,fl,3.5,38392.0,white,gray,nissan infiniti lt,16300,16400,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523027,2012,Infiniti,G Coupe,G37,g coupe,automatic,jn1cv6ek9cm421842,fl,4.3,19479.0,gray,black,nissan infiniti lt,22400,21000,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523028,2012,Infiniti,FX,FX35,suv,automatic,jn8as1mw1cm154205,tn,3.5,56244.0,black,—,nissan infiniti lt,26500,29000,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
523029,2012,Hyundai,Veloster,Base,hatchback,manual,kmhtc6ad1cu032389,ga,4.2,41864.0,black,red,hyundai motor finance,11600,10000,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
523030,2012,Infiniti,G Sedan,G25,g sedan,automatic,jn1dv6apxcm810740,fl,3.3,41737.0,white,gray,nissan infiniti lt,16000,16200,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523031,2012,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap5cm932465,fl,4.2,32580.0,blue,beige,nissan infiniti lt,18500,17600,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523032,2012,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap8cm622407,fl,4.3,31666.0,gray,black,nissan infiniti lt,18600,17000,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523033,2012,Infiniti,G Coupe,IPL,g coupe,automatic,jn1cv6ek2cm421455,fl,2.8,48323.0,—,red,nissan infiniti lt,23300,22600,Thu Jun 11 2015 02:15:00 GMT-0700 (PDT)
523034,2012,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap5cm627984,fl,2.6,22641.0,—,gray,nissan infiniti lt,19550,17600,Thu Jun 11 2015 02:15:00 GMT-0700 (PDT)
523035,2012,Infiniti,G Sedan,G25x,g sedan,automatic,jn1dv6ar3cm860476,oh,2.9,43330.0,blue,gray,infiniti financial services,16400,16200,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
523036,2012,Infiniti,G Sedan,G25,g sedan,automatic,jn1dv6ap5cm812377,fl,3.0,36142.0,black,black,nissan infiniti lt,17400,15800,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523037,2012,Infiniti,FX,FX35,suv,automatic,jn8as1mu9cm121189,fl,4.4,53119.0,white,black,nissan infiniti lt,25100,26800,Thu Jun 11 2015 02:15:00 GMT-0700 (PDT)
523038,2012,Infiniti,G Coupe,G37,g coupe,automatic,jn1cv6ek5cm421434,fl,3.5,26757.0,silver,black,nissan infiniti lt,21700,20000,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523039,2012,Infiniti,G Sedan,G25x,g sedan,automatic,jn1dv6ar9cm862412,oh,4.1,25330.0,silver,black,infiniti financial services,17650,18000,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
523040,2012,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap9cm625882,fl,4.4,30185.0,—,beige,nissan infiniti lt,18750,19600,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523041,2012,Hyundai,Veloster,Base,hatchback,automatic,kmhtc6ad2cu056362,oh,3.5,36504.0,gray,black,hyundai motor finance,11950,12500,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
523042,2012,Infiniti,G Sedan,G25,g sedan,automatic,jn1dv6ap2cm811560,fl,4.4,14342.0,black,black,nissan infiniti lt,18800,17800,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523043,2012,Infiniti,G Convertible,G37,g convertible,automatic,jn1cv6fe6cm202295,fl,2.8,25626.0,—,beige,nissan infiniti lt,27700,26200,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523044,2012,Infiniti,G Sedan,G25,g sedan,automatic,jn1dv6apxcm812018,fl,4.2,23673.0,gray,black,nissan infiniti lt,17500,17600,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523045,2012,Infiniti,FX,FX50,suv,automatic,jn8bs1mw8cm180045,oh,4.1,25287.0,black,black,infiniti financial services,39800,37000,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
523046,2012,Infiniti,G Coupe,IPL,g coupe,automatic,jn1cv6ek8cm423873,fl,4.3,35035.0,—,red,nissan infiniti lt,25300,27800,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523047,2012,Infiniti,G Sedan,G25,g sedan,automatic,jn1dv6ap8cm810770,fl,3.5,25663.0,gray,black,nissan infiniti lt,17350,17800,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523048,2012,Infiniti,G Sedan,G25,g sedan,automatic,jn1dv6ap1cm811131,fl,4.5,25978.0,white,gray,nissan infiniti lt,17300,18000,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523049,2012,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap6cm933804,fl,5.0,33933.0,white,black,nissan infiniti lt,18400,18600,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523050,2012,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap2cm628316,fl,4.4,12469.0,gray,beige,nissan infiniti lt,20400,21200,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523051,2012,Infiniti,FX,FX35,suv,automatic,jn8as1mu9cm120477,hi,4.5,20043.0,black,gray,nissan infiniti lt,29400,26000,Wed Jun 17 2015 10:15:00 GMT-0700 (PDT)
523052,2012,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap1cm627335,fl,3.3,23696.0,black,beige,nissan infiniti lt,19350,18400,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523053,2012,Infiniti,G Sedan,G25x,g sedan,automatic,jn1dv6ar1cm730759,nj,3.5,27292.0,blue,gray,nissan infiniti lt,17550,17200,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
523054,2012,Infiniti,FX,FX35,suv,automatic,jn8as1mw3cm151208,nj,4.5,53189.0,gray,brown,nissan infiniti lt,26900,29000,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
523055,2012,Infiniti,G Convertible,G37,g convertible,automatic,jn1cv6fe3cm200617,fl,4.3,17572.0,—,beige,nissan infiniti lt,29000,29200,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523056,2012,Infiniti,G Sedan,G25,g sedan,automatic,jn1dv6ap8cm812650,fl,3.5,23451.0,black,black,nissan infiniti lt,17550,17800,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523057,2012,Hyundai,Veloster,Base,hatchback,automatic,kmhtc6ad4cu051891,pa,4.7,34946.0,yellow,black,hyundai motor finance,11900,13000,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
523058,2012,Infiniti,G Sedan,G25,g sedan,automatic,jn1dv6ap2cm812370,fl,4.4,17216.0,white,beige,nissan infiniti lt,18600,18600,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523059,2012,Infiniti,G Coupe,G37,g coupe,automatic,jn1cv6ekxcm422109,fl,4.1,16030.0,white,gray,nissan infiniti lt,22700,21400,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
523060,2012,Infiniti,G Sedan,G25x,g sedan,automatic,jn1dv6ar3cm860509,il,1.9,37319.0,gray,black,nissan infiniti lt,16900,15300,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
523061,2012,Infiniti,G Sedan,G25,g sedan,automatic,jn1dv6ap9cm810454,fl,3.9,21385.0,gray,gray,nissan infiniti lt,17700,17800,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
