num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
523999,2012,Nissan,Altima,2.5 S,sedan,automatic,1n4al2ap7cn513942,oh,4.5,38910.0,white,tan,nissan-infiniti lt,11300,11600,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
524000,2012,Nissan,Altima,2.5 S,sedan,automatic,1n4al2ap1cn461398,nj,4.7,48092.0,gray,black,nissan-infiniti lt,10800,11000,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
524001,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap5cn490340,pa,4.4,12853.0,red,beige,nissan-infiniti lt,12950,16200,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
524002,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2apxcc158843,pa,3.7,29192.0,black,black,nissan-infiniti lt,11950,13600,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
524003,2012,Nissan,Altima,2.5 S,sedan,automatic,1n4al2ap3cc244818,nj,3.5,62608.0,black,black,nissan-infiniti lt,9925,8600,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
524004,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap8cc190691,pa,4.1,26956.0,silver,black,nissan-infiniti lt,12100,13700,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
524005,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap3cc147621,il,4.5,31653.0,white,—,nissan-infiniti lt,11800,14000,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
524006,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap7cn506232,tn,3.6,41172.0,white,black,nissan-infiniti lt,11200,13400,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
524007,2012,Nissan,Altima,2.5 S,coupe,automatic,1n4al2epxcc184059,fl,2.5,38930.0,silver,red,nissan-infiniti lt,12750,13800,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
524008,2012,Nissan,Altima,2.5 S,sedan,automatic,1n4al2ap5cc156286,nj,3.9,51176.0,white,black,nissan-infiniti lt,10600,10300,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
524009,2012,Nissan,Altima,2.5 S,sedan,automatic,1n4al2ap1cc203166,nc,1.9,98908.0,white,black,dt credit corporation,8225,10000,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
524010,2012,Nissan,Altima,2.5 S,sedan,automatic,1n4al2ap7cn536928,nj,3.4,35826.0,silver,black,nissan-infiniti lt,11500,10800,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
524011,2012,Nissan,Altima,2.5 S,sedan,automatic,1n4al2ap3cn504610,nj,4.1,43099.0,blue,black,nissan-infiniti lt,11100,11100,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
