num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
524999,2011,Audi,A4,2.0T Premium,sedan,automatic,wauafafl1bn001123,ca,2.4,85314.0,white,black,vw credit,11600,11250,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525000,2011,BMW,3 Series,328i xDrive,sedan,automatic,wbapk5g59bnn79158,co,4.7,14608.0,gray,black,financial services remarketing (lease),21800,23250,Wed Jun 17 2015 04:30:00 GMT-0700 (PDT)
525001,2011,BMW,3 Series,328i,sedan,automatic,wbaph7c51be675995,pa,2.7,106884.0,blue,tan,eagle automotives inc,11850,10400,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
525002,2011,BMW,3 Series,335i,sedan,automatic,wbapm5c59be577670,ca,4.5,34709.0,black,black,financial services remarketing (lease),22000,21500,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525003,2011,Acura,RDX,Base,suv,automatic,5j8tb2h52ba000437,fl,4.3,92043.0,black,black,napleton's palm beach acura,15850,13600,Thu Jun 11 2015 02:25:00 GMT-0700 (PDT)
525004,2011,Acura,TL,Base,sedan,automatic,19uua8f52ba007241,pa,3.5,89819.0,brown,beige,carriage traders,15550,15300,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
525005,2012,Volkswagen,Passat,V6 SEL Premium,sedan,automatic,1vwcm7a37cc065771,ca,4.8,18443.0,gray,black,volkswagen credit inc/sc,17550,15250,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525006,2012,Volkswagen,Passat,SE,sedan,automatic,1vwbh7a31cc050344,pa,4.2,62566.0,blue,beige,alexandria volkswagen,10050,12000,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
525007,2011,BMW,3 Series,328i xDrive,coupe,automatic,wbakf5c53be395953,pa,4.1,57264.0,blue,brown,bmw of manhattan inc,17550,17700,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
525008,2011,BMW,3 Series,328i,sedan,automatic,wbaph5g56bnm79873,ca,4.1,48924.0,black,black,financial services remarketing (lease),15900,16000,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525009,2012,Volvo,S60,T5,sedan,automatic,yv1622fs0c2136107,oh,2.5,54378.0,black,black,fiserv/usb dealer services northstar exchange,13550,12400,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
525010,2011,Acura,TL,Base,sedan,automatic,19uua8f5xba008928,pa,1.9,38514.0,black,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",19400,16500,Thu Jun 11 2015 06:15:00 GMT-0700 (PDT)
525011,2011,BMW,3 Series,328i,convertible,automatic,wbadw3c57be439661,fl,4.2,35940.0,silver,black,coggin deland honda,22200,23800,Thu Jun 11 2015 02:45:00 GMT-0700 (PDT)
525012,2012,Volvo,S60,T5,sedan,automatic,yv1622fs2c2126274,pa,2.8,39365.0,black,black,fiserv/usb dealer services northstar exchange,14600,13700,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
525013,2012,Volvo,XC60,T6 R-Design,suv,automatic,yv4902dzxc2315261,pa,3.9,21505.0,gray,black,fiserv/usb dealer services northstar exchange,28600,27800,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
525014,2011,BMW,3 Series,328i,convertible,automatic,wbadw7c53be443892,pa,4.4,51488.0,gray,beige,dulles jeep kia subaru,20500,21000,Fri Jun 19 2015 02:30:00 GMT-0700 (PDT)
525015,2012,Volkswagen,Tiguan,SE,suv,automatic,wvgav7ax2cw544278,ca,4.8,34671.0,black,black,vw credit prequalified,13700,15500,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525016,2011,Audi,S5,3.0T Premium Plus quattro,convertible,automatic,waucgafh1bn005724,pa,4.2,72683.0,black,black,r hollenshead auto sales inc,25500,26700,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
525017,2012,Volkswagen,Passat,SE PZEV,sedan,automatic,1vwbp7a31cc083752,ca,4.6,40270.0,gray,black,vw credit prequalified,11550,13250,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525018,2011,BMW,3 Series,328i xDrive,sedan,automatic,wbapk7c5xbf086052,pa,4.2,42481.0,black,black,fuccillo chrysler jeep dodge,18250,19000,Fri Jun 12 2015 02:15:00 GMT-0700 (PDT)
525019,2012,Volkswagen,Passat,SE PZEV,sedan,automatic,1vwbp7a31cc073271,ca,2.0,48669.0,gray,black,vw credit,11050,11250,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525020,2012,Volkswagen,Passat,SE,sedan,automatic,1vwbh7a31cc072845,ca,1.9,47351.0,—,black,vw credit,11150,10250,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525021,2011,BMW,3 Series,328i,sedan,automatic,wbaph7c5xbe676501,ga,2.9,61094.0,silver,black,mercedes benz of buckhead,15250,15200,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
525022,2011,BMW,1 Series,128i,convertible,automatic,wbaun1c5xbvh83298,pa,4.6,6595.0,gray,black,alans autos,23800,24000,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
525023,2011,BMW,3 Series,328i,sedan,automatic,wbaph7g50bnn03905,fl,2.9,56813.0,red,tan,financial services remarketing (lease),15600,14400,Thu Jun 11 2015 03:55:00 GMT-0700 (PDT)
525024,2012,Volkswagen,Tiguan,S,suv,automatic,wvgav7ax1cw004744,ca,4.9,29227.0,—,black,vw credit prequalified,13100,14250,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525025,2012,Volkswagen,Passat,SE PZEV,sedan,automatic,1vwbp7a33cc074275,nj,2.0,44529.0,—,black,"vw credit, inc",11300,10400,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
525026,2011,Audi,A8,4.2 quattro,sedan,automatic,wauavafd2bn001207,pa,3.7,27897.0,black,brown,r hollenshead auto sales inc,37200,37500,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
525027,2012,Volkswagen,Passat,SEL PZEV,sedan,automatic,1vwcp7a36cc079071,ca,3.5,25809.0,—,black,vw credit,14600,16250,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525028,2011,BMW,3 Series,328i,convertible,automatic,wbadw3c55be539712,ga,4.2,76574.0,black,black,financial services remarketing (lease),17750,19600,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
525029,2011,BMW,3 Series,328i,sedan,automatic,wbaph5c59ba448162,ca,3.3,37920.0,black,tan,financial services remarketing (lease),16900,17000,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525030,2011,BMW,3 Series,328i xDrive,sedan,automatic,wbapk5g57bnn80521,co,4.6,40306.0,white,tan,financial services remarketing (lease),18300,22750,Wed Jun 17 2015 04:30:00 GMT-0700 (PDT)
525031,2011,Audi,Q5,2.0T Premium quattro,suv,automatic,wa1lfafp8ba048245,fl,4.3,78324.0,white,brown,prestige audi,19650,16900,Wed Jun 17 2015 04:05:00 GMT-0700 (PDT)
525032,2012,Volvo,S60,T5,sedan,automatic,yv1622fs1c2136567,pa,4.7,36162.0,black,tan,fiserv/usb dealer services northstar exchange,14850,16300,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
525033,2012,Volvo,S60,T5,sedan,automatic,yv1622fs5c2137012,fl,3.5,39540.0,white,black,fiserv/usb dealer services northstar exchange,14650,14200,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
525034,2011,BMW,3 Series,328i xDrive,sedan,automatic,wbapk5c54bf125108,co,3.9,68175.0,black,black,financial services remarketing (lease),15000,14500,Wed Jun 17 2015 04:30:00 GMT-0700 (PDT)
525035,2012,Volvo,S60,T5,sedan,automatic,yv1622fs8c2137523,oh,4.1,122226.0,black,beige,mike albert limited,10950,9700,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
525036,2012,Volkswagen,Tiguan,LE,suv,automatic,wvgav7ax3cw547481,ca,4.3,34666.0,gray,black,vw credit,12550,13000,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525037,2012,Volkswagen,Passat,SE PZEV,sedan,automatic,1vwbp7a30cc072466,nj,1.9,47202.0,—,black,"vw credit, inc",11100,10400,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
525038,2011,Audi,A4,2.0T Premium,sedan,automatic,wauefafl3bn002713,fl,4.9,28830.0,gray,black,the collection,16950,18800,Thu Jun 11 2015 02:15:00 GMT-0700 (PDT)
525039,2011,Audi,S5,Premium Plus quattro,coupe,automatic,wau3vafr2ba002238,tx,4.1,41493.0,black,black,vroom,31900,29800,Thu Jun 11 2015 04:00:00 GMT-0700 (PDT)
525040,2012,Volvo,S60,T5,sedan,automatic,yv1622fs0c2136768,pa,4.3,38117.0,gray,gray,fiserv/usb dealer services northstar exchange,14700,16200,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
525041,2011,BMW,3 Series,328i,sedan,automatic,wbaph7g50bnn07842,ca,3.4,30817.0,gray,black,financial services remarketing (lease),17550,17250,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525042,2011,BMW,3 Series,328i xDrive,sedan,automatic,wbapk5c58bf125077,oh,2.7,34807.0,black,black,financial services remarketing (lease),19300,16750,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
525043,2012,Volkswagen,Tiguan,SE,suv,automatic,wvgav7ax6cw542680,ca,3.7,36107.0,white,black,vw credit,13600,14750,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525044,2012,Volkswagen,Passat,SE PZEV,sedan,automatic,1vwbp7a30cc068885,ca,2.6,44870.0,—,black,vw credit,11300,11500,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525045,2011,Acura,TL,SH-AWD,sedan,automatic,19uua9f5xba000916,pa,3.3,58996.0,gray,black,"ahfc/honda lease trust/hvt, inc acuras",20000,20000,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
525046,2011,Audi,A6,3.0T Premium quattro,sedan,automatic,waukgafb9bn003680,pa,4.1,46405.0,silver,black,r hollenshead auto sales inc,23500,24000,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
525047,2012,Volvo,S60,T5,sedan,automatic,yv1622fs5c2143067,pa,3.2,42195.0,silver,black,fiserv/usb dealer services northstar exchange,14400,15000,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
525048,2011,Audi,A4,2.0T Premium quattro,sedan,automatic,waubfaflxbn039387,ga,3.0,69004.0,silver,black,jim ellis,14700,14800,Thu Jun 18 2015 02:30:00 GMT-0700 (PDT)
525049,2011,BMW,3 Series,328i,convertible,automatic,wbadw7c54be544102,nv,3.5,41591.0,silver,beige,findlay kia,21600,22250,Fri Jun 12 2015 05:00:00 GMT-0700 (PDT)
525050,2011,BMW,1 Series,128i,coupe,automatic,wbaup9c5xbvl90276,ga,2.8,81153.0,black,black,innovative auto llc,13300,9600,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
525051,2011,BMW,3 Series,328i,sedan,automatic,wbaph5c51ba444090,ca,2.0,53405.0,white,black,financial services remarketing (lease),15550,14500,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
525052,2011,Audi,A4,2.0T Premium quattro,sedan,automatic,wauffafl0bn056359,pa,2.8,88354.0,gray,black,r hollenshead auto sales inc,13300,15600,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
525053,2012,Volkswagen,Touareg,TDI Sport,suv,automatic,wvgfk9bp4cd002782,ca,2.7,83224.0,—,black,vw credit,23800,20500,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525054,2011,BMW,3 Series,328i,sedan,automatic,wbaph5c57bf093530,oh,2.0,47782.0,black,tan,financial services remarketing (lease),16100,17000,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
525055,2012,Volkswagen,Passat,SE,sedan,automatic,1vwbh7a36cc027450,ca,3.5,42958.0,—,black,vw credit,11400,11750,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525056,2011,BMW,3 Series,328i,sedan,automatic,wbaph7c58be674732,nv,3.5,56406.0,gray,black,financial services remarketing (lease),15650,17000,Thu Jun 11 2015 07:30:00 GMT-0700 (PDT)
525057,2012,Volvo,S60,T5,sedan,automatic,yv1622fs4c2042876,fl,3.8,32413.0,black,gray,fiserv/usb dealer services northstar exchange,15150,14400,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
525058,2011,Audi,R8,5.2 quattro Spyder,convertible,manual,wuatnafg8bn001480,ca,4.9,17391.0,—,black,vw credit,100000,89000,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525059,2011,Audi,A4,2.0T Premium quattro,sedan,automatic,wauffaflxbn048785,pa,4.2,34209.0,black,black,jack pfister autos,18900,21000,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
525060,2012,Volkswagen,Tiguan,SE,suv,automatic,wvgav7ax1cw084725,ca,4.0,22868.0,—,black,vw credit,14450,15000,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525061,2012,Volvo,C30,T5 R-Design,hatchback,automatic,yv1672mk8c2278287,tx,4.3,23985.0,orange,black,cowboy motors of vidor,16800,15000,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
525062,2011,BMW,3 Series,328i xDrive,sedan,automatic,wbapk5c50bf126370,co,4.2,10872.0,red,tan,financial services remarketing (lease),22300,23750,Wed Jun 17 2015 04:30:00 GMT-0700 (PDT)
525063,2012,Volkswagen,Touareg,TDI Sport,suv,automatic,wvgek9bp8cd009925,pa,4.4,26008.0,blue,black,big tree auto brokers,32400,29750,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
525064,2012,Volvo,S60,T5,sedan,automatic,yv1622fs2c2145035,pa,2.9,19173.0,blue,tan,fiserv/usb dealer services northstar exchange,16150,16500,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
525065,2011,BMW,3 Series,328i,convertible,automatic,wbadw3c55be536549,ca,3.4,43642.0,black,off-white,financial services remarketing (lease),21700,20925,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
525066,2011,BMW,3 Series,328i,sedan,automatic,wbaph7c52ba800820,ga,2.4,86372.0,black,black,financial services remarketing (lease),12950,10800,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
525067,2012,Volvo,S60,T5,sedan,automatic,yv1622fsxc2134655,pa,4.2,24158.0,black,black,fiserv/usb dealer services northstar exchange,15750,15000,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
525068,2011,Audi,Q5,2.0T Premium quattro,suv,automatic,wa1lfafp5ba021827,pa,4.1,56377.0,brown,beige,r hollenshead auto sales inc,23400,22900,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
525069,2011,BMW,3 Series,328i,sedan,automatic,wbaph5g59bnm83528,ca,4.2,48678.0,white,black,financial services remarketing (lease),15950,17750,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525070,2011,BMW,3 Series,328i,sedan,automatic,wbaph5c57bf093477,ca,3.8,39173.0,blue,gray,financial services remarketing (lease),16800,18500,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
525071,2011,Acura,MDX,Base,suv,automatic,2hnyd2h63bh515756,pa,4.3,114131.0,black,black,daniel thomas sales,17800,17500,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
525072,2011,BMW,3 Series,328i,sedan,automatic,wbaph5c5xba444962,ca,3.3,47425.0,black,black,financial services remarketing (lease),16100,14750,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
525073,2012,Volvo,S60,T5,sedan,automatic,yv1622fs5c2055300,pa,3.8,37728.0,silver,black,fiserv/usb dealer services northstar exchange,14750,17200,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
525074,2012,Volkswagen,Tiguan,LE,suv,automatic,wvgav7ax7cw544339,ca,3.9,22893.0,black,black,vw credit,13200,11750,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
