num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
527999,2008,Toyota,Highlander,Limited,suv,automatic,jteds42a482001544,ga,3.9,108191.0,gray,gray,gm financial,14550,14100,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
528000,2008,Toyota,Sequoia,Platinum,suv,automatic,5tdby67a68s022452,fl,4.3,39396.0,white,beige,braman motorcars,23100,29600,Thu Jun 11 2015 02:40:00 GMT-0700 (PDT)
528001,2008,Toyota,Highlander,Sport,suv,automatic,jtees43a082017405,fl,2.1,130505.0,blue,black,dab auto world & leasing,12600,10200,Tue Jun 16 2015 08:00:00 GMT-0700 (PDT)
528002,2008,Scion,xD,Base,hatchback,automatic,jtkku10468j006888,ga,2.8,111571.0,silver,black,automobile acceptance corp,5300,5700,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
528003,2008,Toyota,RAV4,Limited,suv,automatic,jtmbd31v785208948,va,2.7,138652.0,silver,gray,carex inc,8000,8500,Thu Jun 11 2015 02:35:00 GMT-0700 (PDT)
528004,2008,Subaru,Forester,2.5 X,wagon,automatic,jf1sg63618h716464,pa,3.5,89511.0,gold,beige,meridian remarketing,7775,5600,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
528005,2008,Toyota,Highlander,Base,suv,automatic,jteds41a882043183,oh,3.2,66098.0,black,tan,santander consumer,11850,12200,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
528006,2008,Saturn,Aura,XE,sedan,automatic,1g8zs57n18f256246,fl,2.5,95946.0,black,silver,santander consumer,4000,4900,Thu Jun 11 2015 02:35:00 GMT-0700 (PDT)
528007,2008,Toyota,Camry Hybrid,Base,sedan,automatic,jtnbb46k283046390,az,1.9,122659.0,blue,gray,toyota financial services,6325,5000,Thu Jun 11 2015 05:00:00 GMT-0700 (PDT)
528008,2008,Toyota,Camry,XLE,sedan,automatic,4t1be46k98u741418,fl,2.8,100970.0,black,gray,mercedes benz of tampa,8175,7600,Thu Jun 11 2015 09:20:00 GMT-0700 (PDT)
