num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
529999,2004,Ford,Altima,Base,Sedan,manual,wp0ca29984s651278,pa,4.6,36961.0,gray,brown,adcock brothers inc,36000,36000,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
530000,2004,Nissan,Quest,3.5 S,minivan,automatic,5n1bv28u64n307674,nj,1.9,98063.0,gray,gray,westlake financial services,3025,2500,Tue Jun 16 2015 03:30:00 GMT-0700 (PDT)
530001,2004,Nissan,Xterra,XE,suv,automatic,5n1ed28tx4c606815,fl,2.4,149555.0,white,gray,the collection,3400,3400,Thu Jun 11 2015 02:15:00 GMT-0700 (PDT)
530002,2004,Pontiac,Sunfire,Base,coupe,automatic,1g2jb12f447289925,nc,1.9,1.0,silver,gray,crossroads ford lincoln of shelby,1225,1300,Mon Jul 06 2015 06:00:00 GMT-0700 (PDT)
530003,2004,Nissan,Sentra,SE-R,sedan,manual,3n1ab51d64l463026,ga,2.0,159031.0,silver,—,onpoint financial corp,1125,850,Tue Jun 16 2015 06:10:00 GMT-0700 (PDT)
530004,2004,Ford,Altima,Base,Sedan,manual,wp0ca29964s653417,pa,4.4,29781.0,gray,black,adcock brothers inc,29500,31500,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
530005,2004,Pontiac,Grand Prix,GT1,sedan,automatic,2g2wp522641367517,va,2.9,78921.0,silver,gray,king buick gmc llc,3400,2600,Thu Jun 11 2015 02:35:00 GMT-0700 (PDT)
530006,2004,Nissan,Maxima,3.5 SL,sedan,automatic,1n4ba41e64c888738,pa,2.4,109457.0,gray,black,r hollenshead auto sales inc,3400,5500,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
530007,2004,Nissan,Murano,SL,suv,automatic,jn8az08t24w224435,fl,3.0,127311.0,blue,beige,uw credit union,3950,3600,Fri Jun 12 2015 02:15:00 GMT-0700 (PDT)
530008,2004,Toyota,Sequoia,SR5,suv,automatic,5tdzt34a44s236575,tx,3.7,128615.0,gray,gray,rii,6375,7000,Thu Jun 11 2015 04:00:00 GMT-0700 (PDT)
530009,2004,Nissan,Sentra,1.8,sedan,manual,3n1cb51d74l865551,va,2.0,77075.0,black,gray,browns fairfax mazda,2500,2600,Thu Jun 11 2015 02:05:00 GMT-0700 (PDT)
530010,2004,Saturn,ION,Red Line,coupe,manual,1g8ay12p34z220581,fl,1.0,149787.0,orange,black,coggin chevrolet at the avenues,1900,900,Thu Jun 11 2015 06:00:00 GMT-0700 (PDT)
530011,2004,Nissan,Sentra,1.8,sedan,automatic,3n1cb51d84l467202,va,3.1,140204.0,silver,gray,browns honda city,1825,1700,Thu Jun 11 2015 02:05:00 GMT-0700 (PDT)
530012,2004,Pontiac,GTO,Base,coupe,manual,6g2vx12gx4l214233,pa,4.8,38403.0,blue,blue,adcock brothers inc,10500,14600,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
530013,2004,Toyota,Camry,SE,sedan,automatic,4t1be32k24u882891,va,2.3,183251.0,beige,beige,brown's dulles nissan,3375,2850,Thu Jun 11 2015 02:05:00 GMT-0700 (PDT)
530014,2004,Porsche,Cayenne,S,suv,automatic,wp1ab29p84la68270,va,3.4,167591.0,silver,black,a&r motors llc,5800,6600,Thu Jun 11 2015 02:05:00 GMT-0700 (PDT)
530015,2004,Toyota,Camry,LE,sedan,automatic,4t1be32k54u932215,ga,2.7,185531.0,gold,tan,amigo auto sales inc,2750,2600,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
530016,2004,Toyota,Celica,GT,hatchback,automatic,jtddr32t740169275,fl,3.5,45558.0,blue,black,grieco nissan,3950,6300,Thu Jun 11 2015 03:10:00 GMT-0700 (PDT)
530017,2004,Nissan,Murano,SL,suv,automatic,jn8az08t64w220758,fl,2.7,113055.0,blue,tan,coggin nissan,4150,3900,Thu Jun 11 2015 06:00:00 GMT-0700 (PDT)
530018,2004,Toyota,Avalon,XLS,sedan,automatic,4t1bf28b34u356607,oh,1.9,147725.0,gray,tan,repo remarketing inc,4100,2100,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
530019,2004,Nissan,Murano,SL,suv,automatic,jn8az08w24w311035,fl,1.9,124045.0,blue,black,cfs of south florida,3975,2000,Fri Jun 12 2015 02:15:00 GMT-0700 (PDT)
530020,2004,Nissan,Sentra,1.8,sedan,automatic,3n1cb51dx4l822810,fl,1.9,129521.0,beige,black,brandon mitsubishi,1750,1450,Thu Jun 11 2015 09:00:00 GMT-0700 (PDT)
530021,2004,Nissan,Maxima,3.5 SL,sedan,automatic,1n4ba41e84c807321,nj,3.8,119988.0,blue,black,auto lender liquidation center,3275,3900,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
530022,2004,Subaru,Impreza,WRX STi,sedan,manual,jf1gd70664l503705,nj,1.9,109328.0,blue,blue,lester glenn buick,11250,11000,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
530023,2004,Toyota,Sequoia,SR5,suv,automatic,5tdzt34a94s236295,va,1.9,154751.0,blue,tan,prince frederick chrysler jeep dodge inc,5400,4500,Thu Jun 11 2015 02:35:00 GMT-0700 (PDT)
530024,2004,Pontiac,Vibe,Base,wagon,automatic,5y2sl62814z428022,va,1.9,101121.0,red,black,dt credit corporation,3075,2800,Thu Jun 11 2015 01:50:00 GMT-0700 (PDT)
