num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
530999,2014,Chevrolet,Impala,LTZ,sedan,automatic,2g1155s35e9118609,nv,4.1,29197.0,silver,black,malco enterprise of nevada/dba budget,23700,23000,Fri Jun 19 2015 05:00:00 GMT-0700 (PDT)
531000,2014,Chevrolet,Malibu,LT,sedan,automatic,1g11e5sl8ef260816,ca,4.2,38120.0,silver,gray,enterprise vehicle exchange/orange,13750,13700,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
531001,2014,Chevrolet,Impala,LTZ,sedan,automatic,2g1155s39e9120296,nv,3.7,34609.0,silver,black,malco enterprise of nevada/dba budget,23200,22000,Fri Jun 19 2015 05:00:00 GMT-0700 (PDT)
531002,2014,Chevrolet,Malibu,LTZ,sedan,automatic,1g11h5sl0ef201959,tx,4.1,33658.0,gray,black,enterprise veh exchange/rental,16100,16500,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
531003,2014,Chevrolet,Sonic,LT,sedan,automatic,1g1jd5sh2e4149284,tx,4.1,17046.0,gray,black,mid city mcandrew motors,10300,9300,Thu Jun 11 2015 04:00:00 GMT-0700 (PDT)
531004,2014,Chevrolet,Traverse,LS,suv,automatic,1gnkrfed2ej235005,ga,4.2,51341.0,gray,gray,lease plan usa,17000,18000,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
531005,2014,Chevrolet,Traverse,LTZ,suv,automatic,1gnkvjkd6ej371737,nv,4.6,11860.0,white,black,riverton elko chevrolet buick gmc cadillac,33200,34500,Fri Jun 12 2015 05:00:00 GMT-0700 (PDT)
531006,2014,Chevrolet,Suburban,LT 1500,suv,automatic,1gnskje72er168991,mi,4.9,21798.0,white,black,larry hudson chevrolet buick gmc inc,38800,38000,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
531007,2014,Chevrolet,Sonic,LT,sedan,automatic,1g1jc5sg6e4110269,ca,2.5,50629.0,gray,black,the hertz corporation,9150,8500,Thu Jun 11 2015 05:30:00 GMT-0700 (PDT)
531008,2014,Chrysler,200,Limited,sedan,automatic,1c3ccbcg2en156399,mi,4.4,16539.0,black,black,chrysler capital,14350,13900,Thu Jun 18 2015 02:30:00 GMT-0700 (PDT)
531009,2014,Chevrolet,Traverse,LS,suv,automatic,1gnkrfed9ej227869,ga,4.6,51841.0,white,gray,lease plan usa,16950,19100,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
