num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
531999,2014,Hyundai,Sonata Hybrid,Base,sedan,automatic,kmhec4a4xea108502,ca,4.8,16873.0,white,gray,hyundai motor america,15050,15700,Tue Jun 16 2015 05:00:00 GMT-0700 (PDT)
532000,2014,Hyundai,Santa Fe,GLS,suv,automatic,km8sm4hf9eu046791,ca,4.7,16343.0,brown,beige,hyundai motor america,23400,23200,Tue Jun 16 2015 05:00:00 GMT-0700 (PDT)
532001,2014,Hyundai,Santa Fe Sport,Sport,suv,automatic,5xyztdlb8eg162236,ca,4.5,14888.0,blue,beige,hyundai motor america/co car,19650,21300,Tue Jun 16 2015 05:00:00 GMT-0700 (PDT)
532002,2014,Hyundai,Tucson,SE,suv,automatic,km8jucag4eu879438,tx,4.8,37052.0,silver,black,remarketing by ge/manheim arena illinois,17700,16300,Thu Jun 11 2015 04:00:00 GMT-0700 (PDT)
532003,2014,Hyundai,Elantra,SE,sedan,automatic,5npdh4ae4eh506310,fl,2.7,19337.0,blue,gray,hyundai motor finance,12150,10700,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
532004,2014,Hyundai,Sonata Hybrid,Base,sedan,automatic,kmhec4a42ea108543,ca,4.7,17749.0,silver,gray,hyundai motor america,15000,15300,Tue Jun 16 2015 05:00:00 GMT-0700 (PDT)
532005,2014,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac7eh855580,sc,3.6,35364.0,blue,gray,enterprise veh exchange/rental,12450,12100,Thu Jun 11 2015 02:15:00 GMT-0700 (PDT)
532006,2014,Hyundai,Elantra,SE,sedan,automatic,5npdh4ae1eh486937,ca,4.4,16073.0,white,gray,hyundai motor america,12350,12200,Tue Jun 16 2015 05:00:00 GMT-0700 (PDT)
532007,2014,Hyundai,Santa Fe Sport,Sport 2.0T,suv,automatic,5xyzwdla0eg132274,pa,4.0,39592.0,black,black,r hollenshead auto sales inc,23600,22700,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
532008,2014,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac3eh816906,ca,4.6,2576.0,white,gray,hyundai buybacks,14750,12500,Tue Jun 16 2015 05:00:00 GMT-0700 (PDT)
