num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
532999,2013,BMW,3 Series,328i xDrive,sedan,automatic,wba3b3c54df536322,co,3.5,39157.0,black,brown,financial services remarketing (lease),23700,27000,Wed Jun 17 2015 04:30:00 GMT-0700 (PDT)
533000,2013,BMW,5 Series,535i xDrive,sedan,automatic,wbafu7c52ddu70329,oh,4.1,22354.0,black,tan,financial services remarketing (lease),37100,37000,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
533001,2013,Audi,RS 5,quattro,coupe,automatic,wuac6afr6da900055,pa,4.3,38322.0,black,black,global motor sports inc,52600,53500,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
533002,2013,BMW,3 Series,335i xDrive,sedan,automatic,wba3b9c52dj437370,oh,4.2,47723.0,black,black,financial services remarketing (lease),27900,29425,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
533003,2013,BMW,5 Series,528i,sedan,automatic,wbaxg5c56ddy31433,ca,3.5,56855.0,white,black,financial services remarketing (lease),22400,23250,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
533004,2013,BMW,3 Series,328i,sedan,automatic,wba3a5c51df603683,ca,3.9,27497.0,black,black,financial services remarketing (lease),22600,22250,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
533005,2013,BMW,3 Series,328i xDrive,sedan,automatic,wba3b3c5xdf541928,oh,2.4,21697.0,black,black,financial services remarketing (repos),26300,22000,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
533006,2013,Audi,Q5,2.0T Premium quattro,suv,automatic,wa1cfafp7da033870,fl,4.1,24174.0,black,beige,prestige audi,27700,25500,Wed Jun 17 2015 04:15:00 GMT-0700 (PDT)
533007,2013,BMW,3 Series,335i,convertible,automatic,wbadx7c53de746719,ca,4.4,21015.0,gray,gray,financial services remarketing (lease),33800,32500,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
533008,2013,BMW,3 Series,328i,convertible,automatic,wbadw7c55de730931,ca,3.9,20189.0,white,tan,financial services remarketing (lease),30700,30500,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
533009,2013,BMW,3 Series,328i,sedan,automatic,wba3a5c55df353493,fl,3.9,47150.0,gray,black,financial services remarketing (lease),21000,19800,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
533010,2013,Audi,Q5,2.0T Prestige quattro,suv,automatic,wa1c8afp2da094909,pa,4.1,22122.0,black,brown,oak avenue auto sales,36300,37400,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
533011,2013,BMW,5 Series,550i,sedan,automatic,wbafr9c55ddx80049,ca,4.2,44582.0,gray,black,financial services remarketing (lease),36900,38500,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
533012,2013,BMW,5 Series,528i,sedan,automatic,wbaxg5c54dd233521,fl,3.5,22266.0,blue,—,financial services remarketing (lease),28100,26800,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
533013,2013,BMW,3 Series,328i,coupe,automatic,wbake5c5xdj106998,ca,4.3,22392.0,white,—,financial services remarketing (lease),22300,24625,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
533014,2013,BMW,3 Series,328i,sedan,automatic,wba3a5c59dj462360,ca,3.0,35197.0,brown,black,financial services remarketing (lease),22200,21750,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
