num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
533999,2013,Ford,Explorer,Limited,suv,automatic,1fm5k7f82dgc07309,tx,3.7,47108.0,green,tan,fusion autoplex,24700,22500,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
534000,2013,Ford,Explorer,XLT,suv,automatic,1fm5k8d82dgc79040,oh,3.5,29766.0,black,gray,"ford motor credit company,llc",25800,26900,Tue Jun 16 2015 02:00:00 GMT-0700 (PDT)
534001,2013,Ford,Explorer,Limited,suv,automatic,1fm5k7f81dgb34806,ga,4.4,56403.0,black,black,cameron motor sports,23600,24800,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
534002,2013,Ford,Explorer,XLT,suv,automatic,1fm5k8d82dgc85761,mo,4.7,22850.0,—,black,"ford motor credit company,llc pd",27000,28500,Tue Jun 16 2015 06:30:00 GMT-0700 (PDT)
534003,2013,Ford,Explorer,Sport,suv,automatic,1fm5k8gt7dgc79244,mi,4.4,49449.0,black,brown,"ford motor credit company,llc",29500,31500,Thu Jun 18 2015 02:00:00 GMT-0700 (PDT)
534004,2013,Ford,Explorer,XLT,suv,automatic,1fm5k7d86dgc77642,ms,3.9,25438.0,—,gray,"ford motor credit company,llc",25000,27100,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
534005,2013,Ford,Explorer,Base,suv,automatic,1fm5k7b87dgc68922,tn,4.5,21196.0,—,gray,"ford motor credit company,llc",21300,21100,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
534006,2013,Ford,Explorer,Base,suv,automatic,1fm5k8b81dgb81149,pa,2.6,17166.0,red,beige,"ford motor credit company,llc",21800,17500,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
534007,2013,Ford,Explorer,XLT,suv,automatic,1fm5k8d87dgc33784,mo,4.6,23321.0,white,black,"ford motor credit company,llc pd",26900,29700,Tue Jun 16 2015 06:30:00 GMT-0700 (PDT)
534008,2013,Ford,Explorer,Base,suv,automatic,1fm5k7b86dgc24183,ga,4.7,20513.0,white,gray,"ford motor credit company,llc pd",21400,21000,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
534009,2013,Ford,Escape,SEL,suv,automatic,1fmcu0h99dua01646,ga,2.7,25985.0,black,black,ford motor credit company,18650,14100,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
