num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
537999,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap3cc149837,mo,3.1,36862.0,white,black,nissan-infiniti lt,11450,12900,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
538000,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap8cn499212,il,4.2,20679.0,gray,black,nissan-infiniti lt,12400,14400,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
538001,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap9cn522478,mo,4.6,34638.0,white,black,nissan-infiniti lt,11600,13900,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
538002,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap2cn479974,mo,3.1,25333.0,red,brown,nissan-infiniti lt,12150,13300,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
538003,2012,Nissan,Leaf,SV,hatchback,automatic,jn1az0cp2ct017262,co,4.4,28356.0,white,gray,nissan-infiniti lt,7700,7800,Tue Jun 16 2015 05:00:00 GMT-0700 (PDT)
538004,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap3cn488876,il,3.6,40436.0,white,black,nissan-infiniti lt,11250,13000,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
538005,2012,Nissan,Altima,2.5 S,sedan,automatic,1n4al2ap5cn570107,ny,4.1,51526.0,silver,black,santander consumer,10550,10400,Wed Jun 17 2015 04:25:00 GMT-0700 (PDT)
538006,2012,Nissan,Juke,SV,hatchback,automatic,jn8af5mr8ct112268,fl,5.0,28334.0,blue,black,orlando kia west,13750,15100,Wed Jun 17 2015 02:25:00 GMT-0700 (PDT)
538007,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap1cc140053,il,3.7,59383.0,white,tan,nissan-infiniti lt,10100,11600,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
538008,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap1cc160383,mo,2.4,25099.0,burgundy,black,nissan-infiniti lt,12150,12500,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
538009,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap8cc186477,mo,3.6,31868.0,red,tan,nissan-infiniti lt,11750,12700,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
538010,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap4cc153783,il,4.2,41269.0,gray,black,nissan-infiniti lt,11200,13200,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
538011,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap5cc186193,il,3.1,37468.0,white,beige,nissan-infiniti lt,11400,13100,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
538012,2012,Nissan,Leaf,SV,hatchback,automatic,jn1az0cp0ct019592,ca,3.1,51218.0,black,gray,nissan-infiniti lt,6925,6250,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
538013,2012,Nissan,Altima,3.5 SR,coupe,automatic,1n4bl2epxcc163006,tx,2.4,31370.0,white,black,nissan motor acceptance corporation,16650,13200,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
538014,2012,Nissan,Altima,2.5 S,sedan,automatic,1n4al2ap9cn433090,ca,2.3,97441.0,—,gray,nissan motor acceptance corporation,8225,8250,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
538015,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap8cn447157,ca,4.2,42089.0,beige,beige,nissan-infiniti lt,11150,12250,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
538016,2012,Nissan,Leaf,SL,hatchback,automatic,jn1az0cp6ct021167,ca,4.5,25279.0,white,beige,nissan-infiniti lt,8100,7900,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
538017,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap6cn518159,mo,4.4,37890.0,—,black,nissan-infiniti lt,11400,13700,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
538018,2012,Nissan,NV,2500 SV,van,automatic,1n6af0ly8cn104910,ca,4.4,90799.0,white,gray,nissan motor acceptance corporation,12700,14250,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
538019,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap2cn505117,il,2.7,22014.0,blue,black,nissan-infiniti lt,12350,13800,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
538020,2012,Nissan,Altima,2.5 S,sedan,automatic,1n4al2ap1cc221067,ga,2.9,88091.0,white,black,"consolidated asset recovery systems, inc.",8350,7800,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
538021,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap2cc162496,ca,2.4,13769.0,black,black,nissan-infiniti lt,12850,13250,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
538022,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap7cn514542,ca,4.4,34409.0,white,black,nissan-infiniti lt,11600,14250,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
538023,2012,Nissan,Leaf,SL,hatchback,automatic,jn1az0cp5ct018809,ca,4.5,36980.0,white,beige,nissan-infiniti lt,7325,8250,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
538024,2012,Nissan,Altima,3.5 SR,sedan,automatic,1n4bl2ap9cc179767,nc,3.1,79903.0,gray,black,wheels exchange llc,12050,11500,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
538025,2012,Nissan,Maxima,3.5 S,sedan,automatic,1n4aa5ap3cc812296,ca,2.6,40587.0,—,gray,nissan-infiniti lt,16450,14000,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
538026,2012,Nissan,Juke,SL,hatchback,automatic,jn8af5mr9ct105524,tx,4.3,45444.0,white,—,hacienda ford,13800,14000,Wed Jun 17 2015 03:20:00 GMT-0700 (PDT)
538027,2012,Nissan,Altima,2.5 S,sedan,automatic,1n4al2ap5cn467334,ca,3.9,113651.0,gray,black,nissan-infiniti lt,8225,7500,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
538028,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap5cn475059,mo,3.5,45852.0,black,black,nissan-infiniti lt,10900,12000,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
538029,2012,Nissan,Maxima,3.5 S,sedan,automatic,1n4aa5apxcc832271,il,3.8,34971.0,black,black,nissan-infiniti lt,16750,14400,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
538030,2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap0cn485773,ca,3.7,36008.0,white,beige,nissan-infiniti lt,11500,14000,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
538031,2012,Nissan,Maxima,3.5 S,sedan,automatic,1n4aa5ap6cc814964,co,4.3,46628.0,gray,black,nissan-infiniti lt,15950,14900,Tue Jun 16 2015 05:00:00 GMT-0700 (PDT)
538032,2012,Nissan,Maxima,3.5 SV,sedan,automatic,1n4aa5ap3cc827218,il,3.7,32073.0,silver,black,nissan-infiniti lt,17000,17700,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
538033,2012,Nissan,Quest,S,minivan,automatic,jn8ae2kp4c9036290,pa,1.9,44425.0,gray,gray,hann financial services,13650,12200,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
538034,2012,Nissan,Maxima,3.5 S,sedan,automatic,1n4aa5ap5cc800408,il,4.4,37116.0,silver,black,nissan-infiniti lt,16600,16500,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
538035,2012,Nissan,Murano,LE,suv,automatic,jn8az1mw3cw216123,ca,1.9,28343.0,white,tan,nissan-infiniti lt,23300,18500,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
538036,2012,Nissan,Quest,LE,minivan,automatic,jn8ae2kp5c9031924,tn,4.9,49298.0,—,gray,"roberts nissan, inc.",20900,21900,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
538037,2012,Nissan,Maxima,3.5 SV,sedan,automatic,1n4aa5ap1cc824852,tx,3.7,56996.0,white,black,nissan-infiniti lt,15050,16600,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
