num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
539999,2015,Mitsubishi,Lancer,ES,sedan,automatic,ja32u2fu4fu000490,tn,3.6,12439.0,black,black,chrysler capital,11450,11100,Tue Jun 16 2015 03:30:00 GMT-0700 (PDT)
540000,2015,Nissan,Versa Note,1.6 SV,hatchback,automatic,3n1ce2cpxfl372785,ca,4.5,4535.0,red,black,nissan north america inc.,12750,13500,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
540001,2015,Nissan,Versa,1.6 SL,sedan,automatic,3n1cn7ap2fl819951,ca,4.9,7009.0,purple,black,nissan motor acceptance corporation,10850,11500,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
540002,2015,Mercedes-Benz,S-Class,S63 AMG 4MATIC,sedan,automatic,wddug7jb2fa105072,ca,4.6,8628.0,—,beige,mercedes-benz usa,128000,108000,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
540003,2015,Nissan,Altima,2.5 S,sedan,automatic,1n4al3ap9fn300758,mo,3.5,23218.0,black,black,roper kia,14500,13300,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
540004,2015,Nissan,Altima,2.5 S,sedan,automatic,1n4al3ap7fn338232,ca,4.8,12736.0,silver,black,nissan north america inc.,15350,15750,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
540005,2015,Mercedes-Benz,S-Class,S63 AMG 4MATIC,sedan,automatic,wddug7jb6fa088714,ca,4.4,5891.0,—,black,mercedes-benz usa,131000,107000,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
540006,2015,Nissan,Altima,2.5 SV,sedan,automatic,1n4al3ap4fc127985,il,4.1,14214.0,white,beige,nissan motor acceptance corporation,16950,16200,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
540007,2015,Nissan,Leaf,S,hatchback,automatic,1n4az0cp0fc316434,ca,4.5,40.0,blue,black,nissan north america inc.,13650,13250,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
540008,2015,Nissan,Altima,2.5 S,sedan,automatic,1n4al3ap3fc195582,il,2.8,5612.0,gray,black,nissan-infiniti lt,15850,13200,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
540009,2015,Nissan,Versa,1.6 SL,sedan,automatic,3n1cn7ap5fl855245,fl,4.8,4357.0,silver,black,santander consumer,10750,11200,Wed Jun 17 2015 02:05:00 GMT-0700 (PDT)
540010,2015,Nissan,Altima,2.5 S,sedan,automatic,1n4al3ap6fn349741,ca,4.7,2157.0,white,black,nissan-infiniti lt,16000,17000,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
540011,2015,Nissan,Altima,2.5 S,sedan,automatic,1n4al3ap0fc278631,md,1.0,4607.0,silver,black,hertz/tra,15850,11000,Tue Jun 16 2015 06:00:00 GMT-0700 (PDT)
540012,2015,Nissan,Altima,2.5 SV,sedan,automatic,1n4al3ap6fc180364,ga,4.2,9431.0,silver,gray,santander consumer,17050,18000,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
540013,2015,Nissan,Frontier,SV,crew cab,automatic,1n6ad0ev9fn736005,ga,4.8,14322.0,gray,gray,ars/thrifty car rental/greer,23900,25100,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
540014,2015,Nissan,Altima,2.5 S,sedan,automatic,1n4al3ap9fn325112,il,4.4,9714.0,—,black,nissan-infiniti lt,15550,16000,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
540015,2015,Mitsubishi,Lancer,ES,sedan,automatic,ja32u2fu1fu010667,tx,4.8,2685.0,blue,black,mission mitsubishi,12050,12500,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
540016,2015,Nissan,Altima,3.5 SL,sedan,automatic,1n4bl3ap7fc120940,ga,4.3,12941.0,red,black,fifth third bank,21400,22100,Thu Jun 18 2015 02:30:00 GMT-0700 (PDT)
540017,2015,Mitsubishi,Mirage,ES,hatchback,automatic,ml32a4hjxfh039881,mo,5.0,1244.0,blue,black,remarketing by ge/meritrust credit union,9650,10400,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
540018,2015,Mitsubishi,Mirage,ES,hatchback,automatic,ml32a4hj0fh032387,mo,4.9,486.0,white,black,santander consumer,9675,10300,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
540019,2015,Nissan,Pathfinder,Platinum,suv,automatic,5n1ar2mm0fc617002,ca,4.6,13178.0,gray,black,nissan north america inc.,33500,34000,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
540020,2015,Nissan,Frontier,SV,crew cab,automatic,1n6ad0fvxfn709605,fl,4.6,7928.0,black,gray,tdaf remarketing,24000,22200,Tue Jun 16 2015 02:00:00 GMT-0700 (PDT)
540021,2015,Nissan,Altima,2.5 SV,sedan,automatic,1n4al3ap8fc196548,ca,4.0,900.0,gray,gray,nissan motor acceptance corporation,17400,16750,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
540022,2015,Mitsubishi,Lancer,ES,sedan,automatic,ja32u2fu4fu005074,md,2.9,15038.0,blue,black,santander consumer,11300,9800,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
540023,2015,Mitsubishi,Lancer,ES,sedan,automatic,ja32u2fu1fu009888,fl,4.7,2188.0,black,beige,"mmca, inc",12100,13400,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
540024,2015,Mitsubishi,Mirage,ES,hatchback,automatic,ml32a4hj2fh013405,tx,4.4,7214.0,white,black,santander consumer,9450,10200,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
540025,2015,Nissan,Versa Note,1.6 SV,hatchback,automatic,3n1ce2cp3fl352071,ca,4.6,15791.0,silver,black,meridian remarketing,10500,11200,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
540026,2015,Nissan,Versa Note,1.6 SV,hatchback,automatic,3n1ce2cp2fl363627,fl,4.9,5967.0,white,black,bb&t asset disposal,10850,12600,Wed Jun 17 2015 02:00:00 GMT-0700 (PDT)
540027,2015,Mitsubishi,Outlander Sport,ES,suv,automatic,4a4ap3au2fe016823,tx,2.3,6143.0,black,black,santander consumer,14400,11500,Thu Jul 09 2015 07:30:00 GMT-0700 (PDT)
540028,2015,Nissan,Versa,1.6 SL,sedan,automatic,3n1cn7ap4fl852093,ca,4.1,6983.0,silver,black,nissan north america inc.,12200,13250,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
540029,2015,Mitsubishi,Outlander Sport,ES,suv,automatic,4a4ap3au8fe013330,tx,4.5,8472.0,blue,black,santander consumer,14050,14800,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
540030,2015,Nissan,Altima,2.5,sedan,automatic,1n4al3apxfc167505,ga,2.8,11533.0,black,black,santander consumer,15450,14300,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
540031,2015,Nissan,Altima,2.5,sedan,automatic,1n4al3ap1fn380654,fl,3.7,8676.0,red,black,florida auto financial group,15600,14600,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
540032,2015,Mitsubishi,Mirage,DE,hatchback,automatic,ml32a3hj7fh010235,tx,4.4,5401.0,white,black,santander consumer,9100,9800,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
540033,2009,Toyota,Camry,XLE,sedan,automatic,4t4be46k19r109505,ma,2.7,76734.0,gray,gray,lexus of watertown,8900,6900,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
540034,2009,Toyota,Corolla,LE,sedan,automatic,jtdbl40ex99076353,fl,1.9,51289.0,silver,gray,autonation chevrolet pembroke pines,7225,5500,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
540035,2009,Toyota,Corolla,S,sedan,automatic,1nxbu40e59z047560,in,2.7,95519.0,silver,black,santander consumer,7225,6700,Thu Jun 18 2015 03:10:00 GMT-0700 (PDT)
540036,2009,Toyota,Corolla,Base,sedan,manual,1nxbu40e09z003627,fl,1.0,144480.0,blue,gray,world omni financial corporation,5300,1900,Wed Jun 17 2015 01:30:00 GMT-0700 (PDT)
540037,2009,Toyota,Sienna,XLE 7-Passenger,minivan,automatic,5tdzk22c19s227616,fl,4.1,80415.0,white,tan,universal motors of miami inc,13100,13800,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
540038,2009,Toyota,Camry,Base,sedan,automatic,4t1be46k69u266294,fl,2.5,138655.0,silver,beige,remarketing by ge/first florida credit union,6325,5200,Fri Jun 19 2015 02:15:00 GMT-0700 (PDT)
540039,2009,Toyota,Matrix,S,hatchback,automatic,2t1ke40e89c007925,fl,2.4,97455.0,gold,black,capital one auto finance,7525,5900,Wed Jun 17 2015 02:10:00 GMT-0700 (PDT)
540040,2009,Volkswagen,Jetta,SE PZEV,sedan,automatic,3vwrz71kx9m056718,ma,3.7,158426.0,gray,gray,volkswagen gallery,3850,3350,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
540041,2009,Toyota,Matrix,S,hatchback,automatic,2t1ke40e09c009717,oh,1.9,87255.0,gray,gray,wells fargo dealer services,7950,5800,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
540042,2009,Toyota,Camry,SE,sedan,automatic,4t1be46k49u882141,tn,2.5,86793.0,blue,black,exeter finance corp,8225,8400,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
540043,2009,Toyota,Highlander,Base,suv,automatic,jteds41a692075034,md,3.9,137186.0,silver,gray,kia of waldorf,9975,10700,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
540044,2009,Volkswagen,Jetta,S PZEV,sedan,automatic,3vwjz71kx9m162776,nj,3.8,64620.0,red,black,wells fargo dealer services,5750,6700,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
540045,2009,Toyota,Camry,LE,sedan,automatic,4t1be46k99u329582,nj,2.1,119976.0,blue,gray,route 22 nissan inc,6725,3900,Tue Jun 16 2015 04:15:00 GMT-0700 (PDT)
540046,2009,Volkswagen,Jetta,SE,sedan,automatic,3vwrm71k49m156697,fl,2.9,77883.0,white,black,autonation toyota scion weston,6425,7300,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
540047,2009,Toyota,RAV4,Base,suv,automatic,jtmzf33v89d015267,ga,1.0,91574.0,blue,tan,capital one auto finance,9600,6800,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
540048,2009,Toyota,Corolla,LE,sedan,automatic,2t1bu40e09c109769,md,2.4,117964.0,silver,gray,hampton roads finance company,6125,5100,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
540049,2009,Toyota,Camry,XLE,sedan,automatic,4t4be46k79r117091,ma,3.0,74299.0,blue,tan,boch new to you superstore,8950,9200,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
540050,2009,Toyota,RAV4,Base,suv,automatic,jtmzf33v395006082,fl,2.5,31026.0,white,gray,capital one auto finance,10000,9000,Wed Jun 17 2015 02:10:00 GMT-0700 (PDT)
540051,2009,Subaru,Impreza,WRX,hatchback,manual,jf1gh76619g804698,ca,3.5,55591.0,gray,gray,subaru of america,15350,12100,Thu Jun 18 2015 06:00:00 GMT-0700 (PDT)
540052,2009,smart,fortwo,BRABUS coupe,hatchback,automatic,wmeej31x89k245907,ca,4.2,59760.0,red,black,trade in solutions irvine,3950,3800,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
540053,2009,Volvo,S40,2.4i,sedan,automatic,yv1ms390292453001,ca,3.0,66420.0,silver,black,i 10 toyota,8425,8900,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
540054,2009,Volkswagen,Jetta,SE,sedan,automatic,3vwrm71k69m129291,fl,3.4,36390.0,silver,black,regional acceptance corporation / greenville,7750,7600,Wed Jun 17 2015 02:00:00 GMT-0700 (PDT)
540055,2009,Volkswagen,GTI,Base,hatchback,manual,wvwed71k79w124781,ca,3.9,90965.0,black,black,elite remarketing,8575,9100,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
540056,2009,Subaru,Forester,2.5X,suv,automatic,jf2sh61639h701882,nj,3.8,98507.0,blue,beige,wells fargo dealer services,7750,9100,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
540057,2009,Volkswagen,New Beetle,2.5L,convertible,automatic,3vwrf31y79m402732,fl,3.9,58480.0,white,black,tdaf remarketing,7675,10200,Tue Jun 16 2015 02:00:00 GMT-0700 (PDT)
540058,2009,Volkswagen,Eos,Komfort,convertible,automatic,wvwba71f19v013700,fl,3.4,66796.0,blue,beige,tdaf remarketing,9325,10400,Tue Jun 16 2015 02:00:00 GMT-0700 (PDT)
540059,2009,Toyota,Camry,LE,sedan,automatic,4t1be46k99u901881,fl,2.6,98831.0,white,gray,santander consumer,7375,6200,Wed Jun 17 2015 02:05:00 GMT-0700 (PDT)
540060,2009,Toyota,Prius,Base,hatchback,automatic,jtdkb20u693481417,ny,2.6,119258.0,silver,gray,fleet lease disposal,6300,5200,Wed Jun 17 2015 05:50:00 GMT-0700 (PDT)
540061,2009,Toyota,Matrix,Base,hatchback,automatic,2t1ku40e99c104540,nj,2.4,88712.0,silver,black,auto lender liquidation center,5725,5100,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
540062,2009,Saab,9-3,Comfort,sedan,automatic,ys3fb49y791003949,tx,2.8,101397.0,black,gray,gm financial,4875,3500,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
540063,2009,Subaru,Legacy,2.5i,sedan,automatic,4s3bl616797224103,ca,2.1,106781.0,brown,beige,budget car truck,6625,4500,Wed Jun 17 2015 04:30:00 GMT-0700 (PDT)
540064,2009,Toyota,Corolla,S,sedan,automatic,2t1bu40ex9c182132,nj,2.9,44574.0,silver,black,jk motors inc,8800,7200,Tue Jun 16 2015 03:45:00 GMT-0700 (PDT)
540065,2009,Volkswagen,CC,VR6 Sport,sedan,automatic,wvweu73c29e527501,ga,3.3,46529.0,silver,gray,mercedes benz of buckhead,13550,12900,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
