num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
546999,2002,Ford,Altima,Base,Sedan,automatic,saltl15412a751247,pa,2.9,116977.0,silver,beige,chevrolet 21 inc,1625,2650,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
547000,2002,Nissan,Altima,3.5 SE,sedan,automatic,1n4bl11d52c106443,ma,1.9,116168.0,green,gray,clay nissan of newton inc.,2300,1000,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
547001,2002,Kia,Sportage,Base,suv,automatic,kndjb723525150397,nc,1.9,136005.0,white,gray,rick hendrick toyota scion,825,1200,Mon Jun 15 2015 02:15:00 GMT-0700 (PDT)
547002,2002,Nissan,Altima,2.5 SL,sedan,automatic,1n4al11d02c196807,ca,2.5,180670.0,black,black,nextgear capital,1400,1050,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
547003,2002,Lincoln,Continental,Base,sedan,automatic,1lnhm97v02y687560,fl,3.9,63788.0,off-white,beige,tdaf remarketing,2425,4500,Tue Jun 23 2015 02:00:00 GMT-0700 (PDT)
547004,2002,Mitsubishi,Montero,Limited,suv,automatic,ja4mw51r02j058627,ca,2.4,213457.0,red,beige,newport acceptance corp,1950,1300,Wed Jun 17 2015 05:05:00 GMT-0700 (PDT)
547005,2002,Mercury,Cougar,Base,hatchback,automatic,1zwht61l725608571,nj,2.1,106098.0,red,black,ramsey volvo,1400,1050,Tue Jun 16 2015 03:00:00 GMT-0700 (PDT)
547006,2002,Pontiac,Firebird,Trans Am,hatchback,automatic,2g2fv22g122140744,tn,2.1,87856.0,white,brown,wholesale inc # 2,7850,7100,Tue Jun 16 2015 03:30:00 GMT-0700 (PDT)
547007,2002,Porsche,911,Carrera,convertible,automatic,wp0ca29902s652325,fl,2.7,89906.0,gray,gray,flag/bert smith euro collection,16900,16500,Wed Jun 17 2015 03:05:00 GMT-0700 (PDT)
547008,2002,Volkswagen,Jetta,GLS,sedan,manual,3vwsk69m22m108189,ma,2.0,156911.0,blue,black,clay nissan of newton inc.,1150,300,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
547009,2002,Toyota,Highlander,Base,suv,automatic,jtegd21a020037845,ma,1.9,94971.0,red,tan,clay nissan of newton inc.,7900,4500,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
547010,2002,Saturn,S-Series,SL1,sedan,automatic,1g8zh52832z309163,pa,3.0,147501.0,blue,beige,pauls autos inc/hanchick & lerch,825,400,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
547011,2002,Toyota,Camry Solara,SE V6,convertible,automatic,2t1ff28p92c595509,ca,3.4,102417.0,white,beige,acura of riverside,3825,3600,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
547012,2001,BMW,X5,3.0i,suv,automatic,wbafa535x1lm86423,ca,3.1,101401.0,blue,tan,prestige auto wholesale inc,3675,3700,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
547013,2002,Toyota,ECHO,Base,coupe,manual,jtdat123020244985,ca,2.5,183596.0,black,gray,volkswagen of murrieta,1300,500,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
547014,2001,Chevrolet,Tahoe,Base,suv,automatic,1gnek13t61j204235,nc,2.7,193355.0,green,beige,williams buick gmc,2675,3350,Tue Jun 16 2015 03:00:00 GMT-0700 (PDT)
547015,2001,Ford,Escort,ZX2,coupe,automatic,3fafp13p41r221497,ca,1.9,149219.0,white,gray,enterprise car sales/orange,700,500,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
547016,2001,Honda,Passport,EX,suv,automatic,4s6ck58w914406997,ga,1.9,202913.0,black,tan,mercedes benz of buckhead,1200,1000,Tue Jun 16 2015 06:00:00 GMT-0700 (PDT)
547017,2001,Nissan,Xterra,SE,suv,automatic,5n1ed28y61c532140,md,2.0,179030.0,green,gray,darcars chrysler jeep,1575,1400,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
547018,2001,Honda,Civic,LX,sedan,automatic,jhmes16591s010037,ca,2.1,162703.0,gold,beige,honda of el cerrito,1700,1700,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
