num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
547999,2012,Infiniti,QX,QX56,suv,automatic,jn8az2nd6c9715645,tx,3.5,62263.0,white,black,nissan infiniti lt,36800,38200,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
548000,2012,Kia,Optima,LX,sedan,automatic,5xxgm4a74cg048237,fl,3.5,67317.0,burgundy,tan,gainesville buick gmc,9925,10100,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
548001,2012,Kia,Soul,+,wagon,automatic,kndjt2a68c7740286,tx,4.3,37907.0,black,black,santander consumer,11100,11200,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
548002,2012,Kia,Sorento,LX,suv,automatic,5xykt3a63cg211163,az,4.2,50528.0,white,black,"jpmorgan chase bank,n.a.",12550,12600,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
548003,2012,Lexus,RX 350,Base,suv,automatic,2t2bk1baxcc148354,nj,4.4,38174.0,black,black,scott london auto sales of nj,26400,27700,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
548004,2012,Lexus,GX 460,Base,suv,automatic,jtjbm7fx9c5037272,pa,4.1,52368.0,black,black,hann financial services,33900,31500,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
548005,2012,Lincoln,MKZ,Hybrid,sedan,automatic,3lndl2l3xcr822797,tx,4.2,35505.0,red,tan,randolph brooks fcu,15850,15800,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
548006,2012,MINI,Cooper,Base,hatchback,automatic,wmwsu3c59ct543224,nj,3.9,19665.0,black,black,manheim new jersey,12000,11400,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
548007,2012,MINI,Cooper,S,hatchback,automatic,wmwsv3c50cty29119,on,3.9,65542.0,green,black,bmw group financial services canada,14750,14800,Tue Jun 16 2015 03:00:00 GMT-0700 (PDT)
548008,2012,Mazda,Mazda2,Sport,hatchback,automatic,jm1de1ky0c0141800,fl,4.5,53984.0,black,black,central florida chrysler jeep dodge,7875,8500,Tue Jun 16 2015 02:10:00 GMT-0700 (PDT)
548009,2012,MINI,Cooper Countryman,S ALL4,wagon,automatic,wmwzc5c58cwl62644,nc,3.7,63766.0,green,black,hrft finance inc,15700,17100,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
548010,2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,sedan,automatic,wddgf8bb1ca602520,mn,2.9,46667.0,black,black,matt saxe chevrolet buick inc,19550,19300,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
548011,2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,sedan,automatic,wddgf8bb1ca639244,ga,4.9,69243.0,white,black,toyota of mcdonough scion of mcdonough,17850,17200,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
548012,2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,sedan,automatic,wddgf8bb0cr237765,fl,4.3,10501.0,white,—,mercedes-benz finc wholesale advantage,22400,23000,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
548013,2012,Mercedes-Benz,CL-Class,CL550 4MATIC,coupe,automatic,wddej9eb8ca028974,fl,3.9,36506.0,black,—,mercedes-benz finc wholesale advantage,48900,51000,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
548014,2012,Mercedes-Benz,C-Class,C250 Sport,sedan,automatic,wddgf4hb0cr219458,fl,4.9,25536.0,white,—,mercedes-benz finc wholesale advantage,19550,22250,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
548015,2012,Mercedes-Benz,C-Class,C250 Sport,sedan,automatic,wddgf4hb6ca602528,fl,4.3,33891.0,white,gray,mercedes-benz finc wholesale advantage,18950,22500,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
548016,2012,Mercedes-Benz,CLS-Class,CLS550,sedan,automatic,wddlj7db5ca052078,fl,4.0,18531.0,red,beige,c & k auto imports south inc,42200,42500,Wed Jun 17 2015 03:40:00 GMT-0700 (PDT)
548017,2012,Mercedes-Benz,C-Class,C250,coupe,automatic,wddgj4hb9cf763537,tn,4.4,36050.0,silver,black,sullivan auto group llc,20900,21600,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
548018,2012,Mercedes-Benz,C-Class,C250 Sport,sedan,automatic,wddgf4hb7ca710415,fl,4.8,21685.0,black,black,mercedes-benz finc wholesale advantage,19850,20000,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
548019,2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,sedan,automatic,wddgf8bb2cr203276,fl,4.2,17617.0,white,—,mercedes-benz finc wholesale advantage,21800,22000,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
548020,2012,Mercedes-Benz,CLS-Class,CLS63 AMG,sedan,automatic,wddlj7eb6ca039077,oh,4.5,27963.0,gray,black,bobb automotive inc,59700,58500,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
548021,2012,Mazda,Mazda3,i Sport,sedan,automatic,jm1bl1uf3c1500365,fl,4.3,60673.0,white,black,university of iowa credit union,8225,8600,Wed Jun 17 2015 04:15:00 GMT-0700 (PDT)
548022,2012,Mercedes-Benz,C-Class,C250,coupe,automatic,wddgj4hb2cf882448,fl,4.3,26574.0,silver,black,mercedes-benz finc wholesale advantage,21500,21000,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
548023,2012,Mercedes-Benz,E-Class,E550,convertible,automatic,wddkk7df7cf153735,fl,4.1,13621.0,black,red,the motor group collection inc,40300,46000,Wed Jun 17 2015 04:40:00 GMT-0700 (PDT)
548024,2012,Nissan,Altima,2.5 S,sedan,automatic,1n4al2ap8cn499758,tx,3.7,13352.0,white,tan,nissan-infiniti lt,12850,13200,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
548025,2012,Nissan,370Z,Base,convertible,automatic,jn1az4fh8cm370661,fl,4.2,7000.0,gray,gray,universal nissan,23700,26700,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
548026,2012,Mercedes-Benz,E-Class,E350 Luxury,sedan,automatic,wddhf5kb1ca576455,ms,3.9,32338.0,black,black,the hertz corporation,25800,25300,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
548027,2012,Mercedes-Benz,R-Class,R350 BlueTEC,wagon,automatic,4jgcb2fe2ca150482,nj,2.9,117395.0,black,black,delacom inc,13900,17400,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
