num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
550999,2007,Aston Martin,V8 Vantage,Base,coupe,automatic,scfbf03b67gc06191,ca,3.7,3835.0,green,brown,desert european motorcars,50500,57500,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
551000,2008,Volkswagen,Jetta,SEL,sedan,automatic,3vwrm71k58m046109,md,4.3,172910.0,gray,black,ourisman of clarksville inc,400,2000,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
551001,2007,BMW,5 Series,525i,sedan,automatic,wbane53527cy08058,fl,2.9,141530.0,silver,black,flag/reeves import motorca,6050,6500,Thu Jun 25 2015 03:35:00 GMT-0700 (PDT)
551002,2007,BMW,5 Series,530i,sedan,automatic,wbane73517cm58353,ca,3.2,62519.0,silver,gray,coast sports cars inc,10750,10800,Wed Jun 17 2015 05:15:00 GMT-0700 (PDT)
551003,2007,Acura,TL,Type-S,sedan,automatic,19uua76647a011429,tx,3.3,135471.0,black,black,autoflex leasing,10100,7900,Wed Jun 17 2015 03:20:00 GMT-0700 (PDT)
551004,2008,Volvo,S40,2.4i,sedan,automatic,yv1ms382x82389033,in,2.2,194399.0,silver,black,santander consumer,4625,2400,Wed Jun 17 2015 17:00:00 GMT-0700 (PDT)
551005,2007,BMW,6 Series,650i,convertible,automatic,wbaek13557cn81336,nj,3.2,94601.0,silver,black,manheim new jersey,16700,15300,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
551006,2007,Audi,A4,3.2 Avant quattro,wagon,automatic,waukh78e17a030667,ny,3.5,109079.0,silver,gray,danbury auto group inc,7725,6500,Wed Jun 17 2015 02:00:00 GMT-0700 (PDT)
551007,2007,BMW,3 Series,328i,sedan,automatic,wbavc53547fz81102,ca,4.1,148607.0,black,black,auto finance solutions dba abc remarketing,4900,5600,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
551008,2007,Acura,TSX,Base,sedan,automatic,jh4cl96877c009680,tx,3.1,134113.0,black,beige,pm standley motorcars,7575,7600,Wed Jun 17 2015 03:20:00 GMT-0700 (PDT)
551009,2007,Acura,RDX,Base,suv,automatic,5j8tb18587a009161,tx,4.7,92966.0,silver,gray,whites auto sales llc,10900,10000,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
551010,2007,BMW,3 Series,328i,sedan,automatic,wbava33597pv67995,fl,3.6,105204.0,silver,black,greenway chrysler jeep dodge inc,7300,7800,Tue Jun 16 2015 10:30:00 GMT-0700 (PDT)
551011,2007,BMW,3 Series,335i,coupe,automatic,wbawb73537p038275,nj,2.9,80300.0,black,black,jack pfister autos,12950,12300,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
