num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
551999,2013,Chevrolet,Cruze,LS,sedan,automatic,1g1pa5sh1d7193339,il,2.0,22788.0,blue,gray,ally,9925,8000,Thu Jun 18 2015 07:00:00 GMT-0700 (PDT)
552000,2013,Chevrolet,Cruze,2LT,sedan,automatic,1g1pe5sb8d7227485,pa,2.7,55008.0,blue,black,the hertz corporation,9825,9400,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
552001,2013,Chevrolet,Cruze,2LT,sedan,automatic,1g1pe5sb0d7124416,pa,1.9,56936.0,blue,black,the hertz corporation,9675,8900,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
552002,2013,Chevrolet,Cruze,2LT,sedan,automatic,1g1pe5sb0d7127462,ca,2.9,31504.0,gold,black,avis corporation,11600,12000,Tue Jun 16 2015 05:45:00 GMT-0700 (PDT)
552003,2013,Chevrolet,Equinox,LT,suv,automatic,1gnaldek6dz101856,fl,4.5,19340.0,gray,black,gm financial leasing,17450,17600,Thu Jun 18 2015 02:35:00 GMT-0700 (PDT)
552004,2013,Chevrolet,Impala,LS Fleet,sedan,automatic,2g1wf5e3xd1261308,pa,3.8,50274.0,black,gray,dtg operations inc,9200,9400,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
552005,2013,Chevrolet,Express Cargo,1500,van,automatic,1gcsgafx2d1146026,fl,3.8,51213.0,white,gray,pinellas fcu,16500,17000,Wed Jun 17 2015 08:10:00 GMT-0700 (PDT)
552006,2013,Chevrolet,Equinox,LT,suv,automatic,2gnflnek4d6277277,tn,3.6,80451.0,blue,gray,wholesale inc # 2,12700,14250,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
552007,2013,Chevrolet,Equinox,LS,suv,automatic,2gnalbek6d6315584,fl,4.2,42282.0,black,black,gm financial,13950,13800,Thu Jun 18 2015 02:35:00 GMT-0700 (PDT)
552008,2013,Chevrolet,Equinox,LT,suv,automatic,2gnaldek2d6196704,va,3.5,66310.0,gray,gray,ari,13950,13300,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
552009,2013,Chevrolet,Equinox,LT,suv,automatic,2gnalpek3d6157993,tn,4.6,28114.0,—,gray,t & s motors,16950,18900,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
552010,2013,Chevrolet,Equinox,LT,suv,automatic,2gnaldek6d6103053,ga,3.8,60586.0,black,gray,gwinnett place ford,14400,14800,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
552011,2013,Chevrolet,Equinox,LT,suv,automatic,2gnalpek8d1124937,fl,2.5,38335.0,red,black,gm financial leasing,16000,11100,Thu Jun 18 2015 02:35:00 GMT-0700 (PDT)
552012,2013,Chevrolet,Impala,LS Fleet,sedan,automatic,2g1wf5e36d1168222,fl,4.9,61742.0,black,black,ge fleet services for itself/servicer,8825,9200,Fri Jun 19 2015 02:15:00 GMT-0700 (PDT)
552013,2015,Chevrolet,Tahoe,LT,suv,automatic,1gnskbkc7fr148115,mn,2.7,28356.0,silver,black,capital city motor worx,44100,45000,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
552014,2013,Chevrolet,Malibu,LT,sedan,automatic,1g11e5sa8df310207,fl,4.6,54448.0,blue,tan,ge fleet services for itself/servicer,11250,12400,Fri Jun 19 2015 02:15:00 GMT-0700 (PDT)
552015,2013,Chevrolet,Malibu,LT,sedan,automatic,1g11e5sa6df241629,fl,3.7,52351.0,red,gray,ge fleet services for itself/servicer,11400,12600,Fri Jun 19 2015 02:15:00 GMT-0700 (PDT)
552016,2013,Chevrolet,Impala,LT Fleet,sedan,automatic,2g1wg5e35d1259379,co,3.8,81436.0,gray,black,automotive solutions inc,7900,9000,Tue Jun 16 2015 05:00:00 GMT-0700 (PDT)
552017,2013,Chevrolet,Malibu,Eco,sedan,automatic,1g11f5rr9df101356,wi,3.8,32542.0,gray,gray,fiserv/usb dealer services northstar exchange,13500,14600,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
552018,2013,Chevrolet,Impala,LT Fleet,sedan,automatic,2g1wg5e34d1235932,fl,3.3,54786.0,gray,gray,contemporary mitsubishi,9200,10300,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
552019,2013,Chevrolet,Impala,LT Fleet,sedan,automatic,2g1wg5e3xd1185294,ms,2.9,51548.0,silver,gray,the hertz corporation,9425,9600,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
552020,2013,Chevrolet,Impala,LT Fleet,sedan,automatic,2g1wg5e35d1231596,mn,2.7,57996.0,gray,gray,fiserv/regional acceptance corp,9000,9300,Thu Jun 18 2015 03:45:00 GMT-0700 (PDT)
552021,2013,Chevrolet,Malibu,LS,sedan,automatic,1g11b5sa0df253204,fl,4.3,31763.0,black,gray,gm financial leasing,12000,12900,Thu Jun 18 2015 02:35:00 GMT-0700 (PDT)
552022,2013,Chevrolet,Malibu,LS Fleet,sedan,automatic,1g11a5sa2df233989,hi,3.0,32682.0,silver,gray,the hertz corporation,11900,11000,Wed Jun 17 2015 08:30:00 GMT-0700 (PDT)
552023,2013,Chevrolet,Sonic,LT,hatchback,automatic,1g1jc6sg9d4209012,pa,2.6,50710.0,red,black,the hertz corporation,7900,7400,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
552024,2013,Chevrolet,Malibu,LTZ,sedan,automatic,1g11h5sa7du135600,tx,2.2,52594.0,blue,black,the hertz corporation,12600,12400,Thu Jun 18 2015 04:00:00 GMT-0700 (PDT)
552025,2013,Chevrolet,Tahoe,LTZ,suv,automatic,1gnscce09dr105901,fl,4.4,31728.0,black,black,gm financial leasing,38000,39800,Thu Jun 18 2015 02:35:00 GMT-0700 (PDT)
552026,2013,Chevrolet,Sonic,LT,hatchback,automatic,1g1jc6sh1d4215072,pa,3.9,49836.0,blue,black,the hertz corporation,7925,8200,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
552027,2013,Chevrolet,Tahoe,LTZ,suv,automatic,1gnscce02dr127786,ca,4.2,45465.0,black,black,world auto financial llc,35900,35900,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
552028,2013,Chevrolet,Sonic,LT,hatchback,automatic,1g1jc6shxd4203552,pa,2.7,50066.0,silver,black,the hertz corporation,7925,7700,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
552029,2013,Chevrolet,Sonic,LTZ,sedan,automatic,1g1je5sb2d4243284,wa,4.6,34480.0,silver,black,dollar rac/seattle,9675,10800,Wed Jun 17 2015 06:00:00 GMT-0700 (PDT)
552030,2013,Chevrolet,Sonic,LTZ,sedan,automatic,1g1je5sh0d4169495,tx,3.9,52813.0,white,black,the hertz corporation,8275,8600,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
552031,2013,Chevrolet,Sonic,LT,hatchback,automatic,1g1jc6shxd4189457,pa,3.7,48033.0,silver,black,the hertz corporation,8000,8000,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
552032,2013,Chevrolet,Malibu,LTZ,sedan,automatic,1g11h5sa8df174233,hi,3.0,37782.0,gold,black,the hertz corporation,13800,12900,Wed Jun 17 2015 08:30:00 GMT-0700 (PDT)
552033,2013,Chevrolet,Sonic,LT,sedan,automatic,1g1jc5sh6d4131114,ga,2.5,46685.0,gray,gray,td auto finance,8150,8200,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
