num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
554999,2003,Jeep,Grand Cherokee,Limited,suv,automatic,1j4gw58s53c513211,fl,1.9,131559.0,gray,black,onemain rem/auto club of miami inc dba north dad,3100,2100,Tue Jun 16 2015 10:30:00 GMT-0700 (PDT)
555000,2003,Ford,Altima,Base,Sedan,automatic,jtjbt20x030013342,az,3.6,113915.0,silver,gray,earnhardt,8500,10000,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
555001,2003,Infiniti,G35,Base,coupe,automatic,jnkcv54e93m210531,tx,3.1,87261.0,blue,beige,d&m leasing,6425,5400,Wed Jun 17 2015 03:15:00 GMT-0700 (PDT)
555002,2003,Hyundai,Santa Fe,Base,suv,automatic,km8sb12b53u483047,ny,3.7,128642.0,red,gray,adk auto brokers inc,1925,1500,Thu Jun 18 2015 02:45:00 GMT-0700 (PDT)
555003,2003,Mazda,Protege5,Base,wagon,automatic,jm1bj245531128403,ca,2.9,124932.0,blue,black,billion dodge chrysler jeep,1575,2200,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
555004,2003,Mercedes-Benz,CLK-Class,CLK430,convertible,automatic,wdblk70g73t131229,ca,3.6,43231.0,—,gray,apexcars net,6650,9100,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
555005,2003,Ford,Altima,Base,Sedan,automatic,wdcyr49e03x140487,tx,3.6,89759.0,black,black,motor trends,30100,30100,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
555006,2003,Ford,Altima,Base,Sedan,automatic,wdbtj76h43f039304,ca,3.3,125215.0,black,black,hoehn motors inc,5375,6600,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
555007,2003,Nissan,Maxima,GLE,sedan,automatic,jn1da31a63t429981,ca,2.9,111654.0,gray,black,hoehn honda,2175,3000,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
555008,2003,Nissan,Altima,2.5 SL,sedan,automatic,1n4al11d83c181926,ca,2.9,145333.0,silver,black,pacific auto center,1825,1900,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
555009,2003,Nissan,Altima,2.5 SL,sedan,automatic,1n4al11d93c245679,fl,1.9,140844.0,red,beige,courtesy nissan of tampa,2225,500,Thu Jun 18 2015 09:20:00 GMT-0700 (PDT)
555010,2003,Mercedes-Benz,SL-Class,SL500,convertible,automatic,wdbsk75f83f030095,fl,3.2,68204.0,white,beige,palm beach auto group,13950,17400,Wed Jun 17 2015 03:40:00 GMT-0700 (PDT)
555011,2003,Mercedes-Benz,SL-Class,SL500,convertible,automatic,wdbsk75f33f051727,ga,2.5,114856.0,black,black,wells fargo dealer services,10300,9100,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
555012,2003,Pontiac,Grand Am,GT,sedan,automatic,1g2nw52ex3m571796,fl,1.9,97080.0,green,—,courtesy chrysler jeep dodge,1675,1100,Thu Jun 18 2015 09:20:00 GMT-0700 (PDT)
555013,2003,Nissan,Murano,SE,suv,automatic,jn8az08t23w123135,ca,3.4,176925.0,white,tan,stg auto group,2875,2900,Wed Jun 17 2015 05:00:00 GMT-0700 (PDT)
555014,2014,Chevrolet,Silverado 1500,LTZ,crew cab,automatic,3gcuksec1eg425241,co,4.3,30686.0,silver,black,tdaf remarketing,35200,32400,Wed Jun 17 2015 04:45:00 GMT-0700 (PDT)
555015,2014,Chevrolet,Silverado 1500,LT,double cab,automatic,1gcrcrec2ez131665,ca,4.8,34098.0,white,black,gm financial,24700,26000,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
555016,2014,Cadillac,Escalade,Luxury,suv,automatic,1gys3bef3er207469,nv,3.7,30977.0,brown,beige,avis corporation,45800,44000,Fri Jun 19 2015 05:45:00 GMT-0700 (PDT)
555017,2014,Cadillac,SRX,Performance,suv,automatic,3gyfnfe32es521328,co,4.2,23306.0,gold,tan,"spradley barr ford, inc.",35600,36300,Wed Jun 17 2015 04:45:00 GMT-0700 (PDT)
555018,2014,Chevrolet,Silverado 1500,LT,crew cab,automatic,3gcukreh6eg513139,tx,4.4,20268.0,white,black,enterprise veh exchange/rental,27400,27700,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
555019,2003,Toyota,Matrix,Base,wagon,automatic,2t1kr32e03c002351,fl,1.9,168191.0,blue,black,courtesy toyota of brandon,2675,2600,Thu Jun 18 2015 09:20:00 GMT-0700 (PDT)
555020,2003,Toyota,Camry,LE,sedan,automatic,4t1be30k03u244558,ca,2.7,95590.0,blue,gray,j m auto imports corp,3750,5000,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
555021,2003,Volkswagen,Passat,GLX,sedan,automatic,wvwrh63b03p271281,fl,1.9,96153.0,black,gray,mercedes benz of tampa,1950,2100,Thu Jun 18 2015 09:20:00 GMT-0700 (PDT)
555022,2003,Toyota,4Runner,SR5,suv,automatic,jtezu14r330007373,fl,3.6,94594.0,gray,gray,coggin toyota at the avenues,5825,7100,Thu Jun 18 2015 06:00:00 GMT-0700 (PDT)
555023,2002,Buick,Rendezvous,CX,suv,automatic,3g5db03e12s536199,fl,2.7,133839.0,silver,—,liquidation llc,1875,750,Thu Jun 18 2015 08:00:00 GMT-0700 (PDT)
555024,2002,Chevrolet,Tahoe,LS,suv,automatic,1gnec13v82j177166,fl,2.6,145038.0,gray,gray,zimmerman auto brokers inc,2925,2500,Fri Jun 19 2015 02:30:00 GMT-0700 (PDT)
555025,2002,Chevrolet,Tahoe,LS,suv,automatic,1gnec13v12r226984,ca,2.5,216078.0,gray,gray,onemain rem/sams auto sales,2225,2500,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
555026,2002,Chevrolet,Avalanche,1500,crew cab,automatic,3gnek13t22g176792,va,3.7,176409.0,black,gray,long island motor sales llc,4425,6600,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
555027,2002,Chevrolet,Impala,LS,sedan,automatic,2g1wh55k229221224,sc,2.7,129803.0,white,gray,carters used cars,1900,3400,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
555028,2002,Chevrolet,Tahoe,LS,suv,automatic,1gnec13z02j219249,ga,2.0,365404.0,gray,gray,purple heart,1000,1300,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
555029,2002,Chevrolet,TrailBlazer,LS,suv,automatic,1gnds13s922484960,tx,4.1,147405.0,white,gray,onemain rem/bedouin auto sales,2350,2200,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
555030,2002,Chevrolet,Avalanche,1500,crew cab,automatic,3gnec13t42g153527,nv,2.5,254151.0,white,black,hertz remarketing,1625,2300,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
555031,2002,BMW,7 Series,745i,sedan,automatic,wbagl63462dp53628,ca,2.9,127934.0,silver,black,lobel financial corp,3650,2800,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
555032,2002,Ford,Altima,Base,Sedan,automatic,1fmzu63k82zc89215,ca,2.0,167266.0,black,gray,pacific auto center,1575,1300,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
555033,2002,Ford,Expedition,XLT,suv,automatic,1fmru15w62la55757,ca,3.2,116530.0,gold,beige,low gos used cars,2325,2500,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
555034,2002,Ford,Escape,XLS Choice,suv,automatic,1fmyu011x2kd02199,ca,3.5,131224.0,green,beige,bob baker volkswagen subaru,1625,2350,Wed Jun 17 2015 05:05:00 GMT-0700 (PDT)
555035,2002,Ford,Escape,XLT Choice,suv,automatic,1fmyu041x2kd00190,ca,2.0,174445.0,gray,gray,aaero sweet corporation,1700,2250,Wed Jun 17 2015 04:30:00 GMT-0700 (PDT)
555036,2002,Ford,Mustang,GT Deluxe,convertible,manual,1fafp45x42f158415,oh,3.5,115054.0,yellow,black,luxury motor car company,4550,5200,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
555037,2002,Ford,Windstar,LX Standard,minivan,automatic,2fmza51442bb03390,ca,3.0,113445.0,white,gray,low gos used cars,1000,1600,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
555038,2002,Honda,Civic,LX,coupe,automatic,1hgem22552l090988,fl,2.3,169934.0,green,gray,coggin toyota at the avenues,1425,1500,Thu Jun 18 2015 06:00:00 GMT-0700 (PDT)
555039,2002,Ford,Altima,Base,Sedan,automatic,2fafp71w72x148609,nv,2.0,87217.0,black,black,purple heart services inc,1075,400,Thu Jun 18 2015 04:00:00 GMT-0700 (PDT)
555040,2002,Hyundai,Accent,GS,hatchback,automatic,kmhcg35c72u231871,fl,2.5,87075.0,silver,gray,courtesy nissan of tampa,900,1100,Thu Jun 18 2015 09:20:00 GMT-0700 (PDT)
555041,2002,Honda,Odyssey,EX,minivan,automatic,5fnrl18652b051933,fl,1.9,128126.0,gray,gray,coggin honda of orlando,2050,2200,Thu Jun 18 2015 09:20:00 GMT-0700 (PDT)
555042,2002,GMC,Envoy,SLT,suv,automatic,1gkdt13s622268218,pa,2.9,84965.0,black,gray,r hollenshead auto sales inc,3575,4600,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
555043,2002,Lexus,RX 300,Base,suv,automatic,jtjhf10u920275828,mo,2.0,195321.0,beige,tan,remarketing by ge/ted a rea inc,3950,4100,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
555044,2002,Lexus,LS 430,Base,sedan,automatic,jthbn30f620059992,ut,2.7,165196.0,white,beige,larry h. miller lexus murray,6350,5800,Wed Jun 17 2015 04:10:00 GMT-0700 (PDT)
555045,2002,Land Rover,Freelander,SE,suv,automatic,salny22252a200645,mo,1.9,50545.0,burgundy,gray,mccarthy olathe nissan inc,1725,3050,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
555046,2002,Mazda,Tribute,ES-V6,suv,automatic,4f2yu08112km42913,ny,1.9,146541.0,beige,tan,credit acceptance corp/vrs/southfield,1300,1050,Thu Jun 18 2015 02:15:00 GMT-0700 (PDT)
555047,2002,Nissan,Altima,2.5 SL,sedan,automatic,1n4al11ex2c164911,ga,2.9,191375.0,silver,black,auto gallery inc,1225,1550,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
555048,2002,Jeep,Liberty,Sport,suv,automatic,1j4gk48k42w342387,fl,2.5,81837.0,white,black,barnett finance company,2725,2800,Thu Jun 18 2015 08:00:00 GMT-0700 (PDT)
555049,2002,Lexus,LX 470,Base,suv,automatic,jtjht00w323518245,tx,2.4,270242.0,white,tan,texas direct auto,8125,11300,Wed Jun 17 2015 03:20:00 GMT-0700 (PDT)
555050,2002,Mercury,Grand Marquis,GS,sedan,automatic,2mefm74w52x638527,fl,3.6,100919.0,blue,gray,metro ford inc,1775,1500,Fri Jun 19 2015 02:30:00 GMT-0700 (PDT)
555051,2002,Nissan,Xterra,XE,suv,automatic,5n1ed28tx2c562358,fl,2.0,249134.0,silver,gray,coggin nissan at the avenues,1200,1200,Thu Jun 18 2015 06:00:00 GMT-0700 (PDT)
555052,2002,Porsche,911,Carrera 4,convertible,manual,wp0ca29992s652517,pa,4.1,55817.0,black,gray,hiline motorsports llc,22800,24000,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
555053,2002,Saturn,S-Series,SL2,sedan,manual,1g8zj52782z219180,ca,2.5,126766.0,blue,gray,david wilsons ford of orange,925,1100,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
555054,2002,Volkswagen,Passat,GLX 4Motion,wagon,automatic,wvwyh63b22e140679,pa,2.4,187775.0,silver,gray,r hollenshead auto sales inc,1275,900,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
555055,2002,Nissan,Frontier,XE-V6 Dessert Runner,king cab,manual,1n6ed26t22c388709,nv,3.3,109792.0,silver,black,hertz remarketing,3650,4000,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
555056,2002,Pontiac,Sunfire,SE,sedan,automatic,1g2jb52t527172123,ny,1.0,162981.0,blue,gray,charitable adult rides services/car donating is,775,275,Thu Jun 18 2015 05:15:00 GMT-0700 (PDT)
555057,2002,Volkswagen,Passat,GLX 4Motion,wagon,automatic,wvwyh63b62e001817,pa,2.1,82496.0,silver,black,r hollenshead auto sales inc,2875,3800,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
555058,2002,Toyota,Avalon,XL,sedan,automatic,4t1bf28b12u221784,fl,2.7,167306.0,black,gray,courtesy toyota of brandon,2825,3100,Thu Jun 18 2015 09:20:00 GMT-0700 (PDT)
555059,2001,Dodge,Dakota,Sport,quad cab,automatic,1b7hl2ax51s286452,mo,1.9,113892.0,burgundy,black,hendrick lexus kansas city north,2425,3900,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
555060,2001,Chevrolet,Blazer,LS,suv,automatic,1gndt13w01k261513,ny,1.0,200795.0,white,gray,fleet lease disposal,725,250,Thu Jun 18 2015 05:15:00 GMT-0700 (PDT)
555061,2001,Cadillac,Catera,Base,sedan,automatic,w06vr54r21r027183,az,1.9,72886.0,gold,beige,more mazda,1225,1300,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
555062,2001,BMW,3 Series,325i,sedan,automatic,wbaav33431ee77211,oh,3.1,108163.0,silver,black,luxury motor car company,2825,4000,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
555063,2001,Chevrolet,Silverado 2500HD,LS,extended cab,automatic,1gchk29u31e150865,ny,1.9,140905.0,gray,gray,credit acceptance corp/vrs/southfield,5000,3800,Thu Jun 18 2015 02:15:00 GMT-0700 (PDT)
555064,2001,Chevrolet,Express Cargo,3500,van,automatic,1gchg35r311108275,in,2.0,149493.0,white,gray,akins auto sales,2175,2000,Wed Jun 17 2015 06:30:00 GMT-0700 (PDT)
555065,2001,Dodge,Ram Pickup 1500,ST,regular cab,automatic,1b7hc16x11s266623,fl,2.5,166998.0,green,gray,pompano ford lincoln mercury,1050,1200,Fri Jun 19 2015 02:35:00 GMT-0700 (PDT)
555066,2001,Honda,Accord,EX,sedan,automatic,1hgcg56621a091500,oh,2.2,105219.0,silver,gray,sullivan auto group llc,2600,3700,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
555067,2001,Honda,Civic,LX,sedan,automatic,2hges16541h580926,fl,2.2,138481.0,silver,gray,coral springs honda,1825,1200,Fri Jun 19 2015 02:30:00 GMT-0700 (PDT)
555068,2001,Honda,Civic,EX,sedan,automatic,2hges26791h553776,nj,1.0,184476.0,green,beige,dch freehold llc,1725,500,Wed Jun 17 2015 05:00:00 GMT-0700 (PDT)
