num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
555999,2008,Honda,Fit,Base,hatchback,manual,jhmgd37418s043922,ca,4.3,118035.0,black,black,aaero sweet corporation,3825,4600,Wed Jun 17 2015 04:30:00 GMT-0700 (PDT)
556000,2008,GMC,Acadia,SLT-1,suv,automatic,1gkev23768j145999,pa,4.2,115142.0,gold,black,mitchell associates,10750,10300,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
556001,2008,GMC,Yukon,Denali,suv,automatic,1gkfk63818j135989,wa,4.4,131641.0,blue,black,robert larson's hyundai,15750,16100,Wed Jun 17 2015 07:20:00 GMT-0700 (PDT)
556002,2008,Ford,Taurus,SEL,sedan,automatic,1fahp24w38g152257,nj,3.5,105256.0,white,tan,semraj llc,4350,4000,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
556003,2008,Infiniti,G37,Sport,coupe,manual,jnkcv64e68m124526,ca,3.9,62523.0,blue,beige,magnussens lexus of fremont,15950,15250,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
556004,2008,Jeep,Liberty,Sport,suv,automatic,1j8gp28k58w103573,ca,3.7,94501.0,red,gray,sun community fcu,7275,7800,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
556005,2008,Jeep,Wrangler,Rubicon,suv,automatic,1j4ga64168l629669,ms,4.3,98702.0,burgundy,gray,certified preowned ford&lincoln/mercury dlr unit,17650,19500,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
556006,2008,Jeep,Patriot,Sport,suv,automatic,1j8ff28w68d746849,ny,3.6,76519.0,beige,tan,adk auto brokers inc,7000,7000,Thu Jun 18 2015 02:45:00 GMT-0700 (PDT)
556007,2008,Land Rover,Range Rover Sport,HSE,suv,automatic,salsk25478a132651,ca,3.4,103567.0,blue,tan,high bid trading co inc,16150,14250,Wed Jun 17 2015 05:15:00 GMT-0700 (PDT)
556008,2008,Infiniti,G37,Sport,coupe,automatic,jnkcv64e98m116596,ca,3.7,95017.0,gray,gray,high bid trading co inc,13800,14750,Wed Jun 17 2015 05:15:00 GMT-0700 (PDT)
556009,2008,Infiniti,M35,x,sedan,automatic,jnkay01f98m652893,pa,2.9,137963.0,white,gray,r hollenshead auto sales inc,9575,9600,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
556010,2008,Jeep,Grand Cherokee,Limited,suv,automatic,1j8hr58n58c187048,ne,2.9,76286.0,burgundy,tan,dm northwest inc,13350,13300,Thu Jun 18 2015 04:00:00 GMT-0700 (PDT)
556011,2008,Hyundai,Santa Fe,GLS,suv,automatic,5nmsg13d78h166567,fl,3.3,75498.0,blue,gray,napleton's hyundai,7750,8000,Thu Jun 18 2015 02:35:00 GMT-0700 (PDT)
556012,2008,Jeep,Wrangler,Unlimited Sahara,suv,automatic,1j8ga59178l542655,wa,4.4,87841.0,black,gray,xcar inc,18350,18900,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
556013,2008,Ford,Altima,Base,Sedan,automatic,1j4fz24108l653866,tx,4.0,95455.0,white,gray,whites auto sales llc,13650,13600,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
556014,2008,Infiniti,G35,Base,sedan,automatic,jnkbv61e08m218627,fl,3.4,154617.0,gray,black,arg inc,6800,7000,Fri Jun 19 2015 02:30:00 GMT-0700 (PDT)
556015,2008,Jeep,Grand Cherokee,Overland,suv,automatic,1j8hr68288c216036,pa,4.1,82254.0,silver,gray,r hollenshead auto sales inc,13600,14000,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
556016,2008,Infiniti,FX35,Base,suv,automatic,jnras08w08x207336,pa,3.4,68474.0,black,black,xclusive auto leasing inc,15450,16200,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
556017,2008,Lexus,GS 350,Base,sedan,automatic,jthbe96s580039779,fl,3.6,50256.0,white,tan,lauderdale imports ltd bmw pembrok pines,17200,17800,Fri Jun 19 2015 02:35:00 GMT-0700 (PDT)
556018,2008,Mercedes-Benz,M-Class,ML320 CDI,suv,automatic,4jgbb22e08a307015,wa,3.7,92957.0,silver,beige,robert larson's hyundai,14450,13800,Wed Jun 17 2015 07:20:00 GMT-0700 (PDT)
556019,2008,Mazda,Mazda3,i Sport,sedan,automatic,jm1bk32g881777076,ca,3.1,125853.0,gray,black,capitol mitsubishi,4475,4500,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
556020,2008,Lexus,IS 250,Base,sedan,automatic,jthbk262782068785,fl,3.5,117602.0,silver,gray,arg inc,9875,10200,Fri Jun 19 2015 02:30:00 GMT-0700 (PDT)
556021,2008,MINI,Cooper,S,hatchback,manual,wmwmf73548tt90737,ca,2.0,101663.0,red,black,melody toyota,6175,2700,Wed Jun 17 2015 08:10:00 GMT-0700 (PDT)
556022,2008,Mazda,Mazda3,s Sport,hatchback,automatic,jm1bk344881145200,nj,2.6,127293.0,black,black,new rochelle toyota,3875,3700,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
